Interest Rate Securities Market - Weekly,,,,,,,,,,,,,,,,
XAO 4516.5 at 16:37 11/6/2010  Report at 19:07 Friday 11/6/2010. Processed 19:26 Friday 11/6/2010.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Week's High,Week's Low,ASX Code,Security Description,Last Sale,Vol 000's,Val 000's,Quote Buy,Quote Sell,Face Value,CPN (%) p.a.,Next Cpn Date,Conv/Mat. Date,Conv/Mat. Value,YTM Conv
Hyro Ltd,HYO,0.018,0.10,5.88,,,,,,,,,,,,
Jetset Travelworld,JET,0.90,5.00,5.88,,,,,,,,,,,,
SCV Grp Ltd,SCV,0.018,0.10,5.88,,,,,,,,,,,,
Reece Aust Ltd,REH,24.34,134.00,5.83,,,,,,,,,,,,
Mikoh Corp,MIK,0.075,0.40,5.63,,,,,,,,,,,,
Adv Braking Tech,ABV,0.019,0.10,5.56,,,,,,,,,,,,
Pan Asia Corp Ltd,PZC,0.019,0.10,5.56,,,,,,,,,,,,
Prime Financial,PFG,0.19,1.00,5.56,,,,,,,,,,,,
Smarttrans Hldgs,SMA,0.019,0.10,5.56,,,,,,,,,,,,
SMS Management,SMX,5.51,29.00,5.56,,,,,,,,,,,,
Wotif Com Hldgs,WTF,5.50,28.00,5.36,,,,,,,,,,,,
Gunns Ltd forests,GNSPA,62.15,315.00,5.34,,,,,,,,,,,,
Greencap Ltd,GCG,0.079,0.40,5.33,,,,,,,,,,,,
China Century Capitl,CCY,0.06,0.30,5.26,,,,,,,,,,,,
Mirvac Industrial unt,MIX,0.04,0.20,5.26,,,,,,,,,,,,
Penrice Soda,PSH,0.40,2.00,5.26,,,,,,,,,,,,
Campbell Brothers,CPB,29.33,144.00,5.16,,,,,,,,,,,,
Karmelsonix Ltd,KSX,0.021,0.10,5,,,,,,,,,,,,
MINING RISES,,,,,,,,,,,,,,,,
Range Res Ltd opt oct10,RRSOA,0.002,0.10,100,,,,,,,,,,,,
Red Sky Energy,ROG,0.017,0.50,41.67,,,,,,,,,,,,
Austral Gold,AGD,0.25,7.00,38.89,,,,,,,,,,,,
Paradigm Metals,PDM,0.025,0.70,38.89,,,,,,,,,,,,
Jervois Min,JRV,0.004,0.10,33.33,,,,,,,,,,,,
Intermin Res opt may12,IRCO,0.045,1.10,32.35,,,,,,,,,,,,
Intermin Res ,IRC,0.17,4.00,30.77,,,,,,,,,,,,
