Interest Rate Securities Market - Weekly,,,,,,,,,,,,,,,,
XAO 4516.5 at 16:37 11/6/2010  Report at 19:07 Friday 11/6/2010. Processed 19:26 Friday 11/6/2010.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Week's High,Week's Low,ASX Code,Security Description,Last Sale,Vol 000's,Val 000's,Quote Buy,Quote Sell,Face Value,CPN (%) p.a.,Next Cpn Date,Conv/Mat. Date,Conv/Mat. Value,YTM Conv
Imperial Corp Ltd def,IMPDA,0.091,-0.90,-9,,,,,,,,,,,,
Silver Mines Ltd,SVL,0.091,-0.90,-9,,,,,,,,,,,,
Resolute Min opt dec11,RSGO,0.465,-4.50,-8.82,,,,,,,,,,,,
Petsec Energy,PSA,0.21,-2.00,-8.7,,,,,,,,,,,,
U308 Ltd,UTO,0.105,-1.00,-8.7,,,,,,,,,,,,
Mutiny Gold Ltd,MYG,0.032,-0.30,-8.57,,,,,,,,,,,,
General Min Corp,GMM,0.11,-1.00,-8.33,,,,,,,,,,,,
Lachlan Star Ltd,LSA,0.011,-0.10,-8.33,,,,,,,,,,,,
Mount Burgess Min,MTB,0.011,-0.10,-8.33,,,,,,,,,,,,
Quantum Res,QUR,0.011,-0.10,-8.33,,,,,,,,,,,,
Epsilon Energy,EPS,0.057,-0.50,-8.06,,,,,,,,,,,,
Alcyone Res Ltd,AYN,0.023,-0.20,-8,,,,,,,,,,,,
Argosy Min cdi,AGY,0.023,-0.20,-8,,,,,,,,,,,,
Ironbark Zinc Ltd,IBG,0.18,-1.50,-7.69,,,,,,,,,,,,
Peak Res opt dec10,PEKOA,0.06,-0.50,-7.69,,,,,,,,,,,,
Eden Energy Ltd,EDE,0.062,-0.50,-7.46,,,,,,,,,,,,
ORH Ltd,ORH,0.025,-0.20,-7.41,,,,,,,,,,,,
Superior Res,SPQ,0.051,-0.40,-7.27,,,,,,,,,,,,
Global Nickel Invest ctg,GNICA,0.013,-0.10,-7.14,,,,,,,,,,,,
Northern Star,NST,0.065,-0.50,-7.14,,,,,,,,,,,,
Republic Gold Ltd,RAU,0.013,-0.10,-7.14,,,,,,,,,,,,
Marion Energy,MAE,0.027,-0.20,-6.9,,,,,,,,,,,,
Carbine Res,CRB,0.345,-2.50,-6.76,,,,,,,,,,,,
Artemis Res,ARV,0.043,-0.30,-6.52,,,,,,,,,,,,
Black Range Min,BLR,0.029,-0.20,-6.45,,,,,,,,,,,,
Thundelarra Explor opt mar13,THXOA,0.29,-2.00,-6.45,,,,,,,,,,,,
Iron Road Ltd,IRD,0.60,-4.00,-6.25,,,,,,,,,,,,
Po Valley Energy,PVE,0.375,-2.50,-6.25,,,,,,,,,,,,
Carpentaria Exp,CAP,0.395,-2.50,-5.95,,,,,,,,,,,,
India Res,IRL,0.016,-0.10,-5.88,,,,,,,,,,,,
Jupiter Mines,JMS,0.24,-1.50,-5.88,,,,,,,,,,,,
Westralian Gas & Pwr,WGP,0.016,-0.10,-5.88,,,,,,,,,,,,
Cooper Energy Ltd,COE,0.405,-2.50,-5.81,,,,,,,,,,,,
Pepinnini Min,PNN,0.165,-1.00,-5.71,,,,,,,,,,,,
Boulder Steel,BGD,0.085,-0.50,-5.56,,,,,,,,,,,,
Cortona Res opt jan12,CRCO,0.085,-0.50,-5.56,,,,,,,,,,,,
Midwinter Resourc,MWN,0.17,-1.00,-5.56,,,,,,,,,,,,
Atomic Res,ATQ,0.175,-1.00,-5.41,,,,,,,,,,,,
Medusa Min Ltd,MML,4.30,-24.00,-5.29,,,,,,,,,,,,
Comet Res,CRL,0.036,-0.20,-5.26,,,,,,,,,,,,
Pioneer Res Ltd,PIO,0.036,-0.20,-5.26,,,,,,,,,,,,
Mineral Deposits,MDL,0.825,-4.50,-5.17,,,,,,,,,,,,
Marmota Energy,MEU,0.075,-0.40,-5.06,,,,,,,,,,,,
Augustus Min,AUJ,0.285,-1.50,-5,,,,,,,,,,,,
Gleneagle Gold,GLN,0.019,-0.10,-5,,,,,,,,,,,,
Green Rock Energy,GRK,0.019,-0.10,-5,,,,,,,,,,,,
Mindax Ltd,MDX,0.38,-2.00,-5,,,,,,,,,,,,
