Derivatives: Call Options - Weekly,,,,,,,,,,,,
XAO 4890.1 at 16:38 19/3/2010  Report at 19:06 Friday 19/3/2010. Processed 20:17 Friday 19/3/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Weekly Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
CALL OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $15.09,,,,,,,,,,,,
Mar,10,0.01,15.09,-,-,-,-,1.00,3.46,,,
Mar,10,13.00,2.10,0.98,-,-,17.00,1.00,3.46,,,
Mar,10,13.50,1.60,1.60,2,1,16.40,1.00,3.46,,,
Mar,10,14.00,1.10,0.74,-,14,15.80,1.00,3.46,,,
Mar,10,14.50,0.60,0.61,24,299,2.00,1.00,3.46,,,
Mar,10,15.00,0.16,0.20,19,220,13.50,0.66,24.19,,,
Mar,10,15.50,-,0.01,-,65,8.00,-,5.18,,,
Mar,10,16.00,-,0.23,-,42,8.00,-,81.20,,,
Mar,10,16.50,-,0.44,-,5,8.10,-,152.04,,,
Apr,10,0.01,15.15,-,-,-,-,-,4.03,,,
Apr,10,13.00,2.15,-,-,-,17.10,1.00,3.46,,,
Apr,10,13.50,1.66,1.10,-,-,16.80,0.98,3.74,,,
Apr,10,14.00,1.18,1.15,-,11,16.50,0.93,5.18,,,
Apr,10,14.50,0.71,0.68,-,307,13.10,0.86,6.91,,,
Apr,10,15.00,0.34,0.35,13,164,12.80,0.62,14.69,,,
Apr,10,15.50,0.14,0.12,21,24,13.30,0.33,7.77,,,
Apr,10,16.00,0.04,-,-,-,13.60,0.13,2.30,,,
May,10,0.01,15.20,-,-,-,-,-,4.15,,,
May,10,13.00,2.19,-,-,-,15.50,0.99,3.63,,,
May,10,13.50,1.71,-,-,-,15.50,0.97,4.15,,,
May,10,14.00,1.25,-,-,3,15.50,0.90,5.53,,,
May,10,14.50,0.82,0.69,-,32,14.50,0.80,8.12,,,
May,10,15.00,0.52,0.45,32,51,15.50,0.61,14.69,,,
May,10,15.50,0.25,0.26,20,12,14.00,0.41,8.47,,,
May,10,16.00,0.10,-,-,-,13.70,0.22,3.46,,,
Jun,10,0.01,15.26,-,-,-,-,-,4.32,,,
Jun,10,12.00,3.23,2.47,-,-,20.10,0.99,3.46,,,
Jun,10,12.50,2.75,2.06,-,1,20.00,0.98,3.83,,,
Jun,10,13.00,2.27,1.40,-,5,19.00,0.96,4.32,,,
Jun,10,13.50,1.78,0.65,-,5,16.80,0.93,4.81,,,
Jun,10,14.00,1.33,1.18,-,57,15.00,0.89,5.80,,,
