Derivatives: Call Options - Weekly
"Traded positions for the week ending Friday, September 18, 2015"
"Report at Friday, September 18, 2015. Processed Monday at 21/09/2015 3:58:11 PM."



ASX Code/Series,,Ex Price,Fair Value,Last Sale,Weekly Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,
CALL OPTIONS,
AGL Energy Last Sale Price $16.36,
Sep,2015,16.32,.22,.27,293,3102,23.50,.55,57.37,
Sep,2015,16.33,.22,.31,54,578,23.50,.54,58.96,
Oct,2015,16.00,.69,.51,10,1253,21.20,.67,17.26,
Oct,2015,16.50,.41,.46,102,1552,21.20,.50,22.04,
Oct,2015,17.00,.23,.15,40,2775,21.10,.34,12.22,
Nov,2015,16.50,.57,.63,54,1964,21.20,.53,18.17,
Dec,2015,13.45,3.01,2.94,64,-,23.20,.97,2.45,
Dec,2015,17.28,.41,.34,569,999,22.50,.38,9.93,
Mar,2016,14.01,2.42,2.31,67,67,22.00,.89,.77,
Mar,2016,18.50,.32,.27,171,347,21.40,.30,3.74,

Asciano Last Sale Price $8.45,
Nov,2015,8.25,.39,.44,200,-,17.50,.69,11.42,

Amcor Last Sale Price $13.06,
Oct,2015,13.00,.47,.51,100,1857,24.40,.57,27.28,
Oct,2015,13.25,.34,.30,250,650,23.80,.48,22.96,
Oct,2015,15.00,.01,.01,250,4210,21.90,.04,1.00,
Oct,2015,15.50,.00,.01,250,250,22.10,.01,.27,
Nov,2015,14.75,.06,.08,111,150,20.90,.12,2.40,
Jan,2016,14.25,.24,.23,500,-,19.50,.31,5.04,
Feb,2016,14.50,.25,.23,183,183,20.30,.30,4.34,
Mar,2016,14.25,.33,.34,132,332,20.20,.37,4.83,

AMP Last Sale Price $5.79,
Sep,2015,0.01,5.78,5.70,845,595,-,1.00,-,
Sep,2015,5.25,.55,.42,400,400,39.80,.98,4.50,
Sep,2015,6.00,.02,.08,300,5997,28.20,.17,18.01,
Sep,2015,6.51,-,.01,570,3689,26.90,-,9.01,
Sep,2015,6.75,-,.01,160,7368,26.80,-,13.51,
Sep,2015,6.76,-,.08,100,3598,26.80,-,72.05,
Oct,2015,5.75,.23,.22,1079,1813,27.00,.58,29.27,
Oct,2015,6.00,.12,.11,447,7216,25.80,.38,18.01,
Oct,2015,6.25,.06,.05,385,9555,25.30,.22,8.26,
Oct,2015,6.75,.01,.01,3653,7752,25.40,.05,1.20,
Oct,2015,7.00,.00,.01,500,793,25.80,.02,.45,
Nov,2015,6.00,.18,.20,2590,2950,25.50,.43,16.21,
Nov,2015,6.25,.10,.10,160,9312,24.60,.29,8.56,
Dec,2015,6.00,.23,.20,645,3833,26.20,.46,15.59,
Dec,2015,6.25,.14,.14,675,3397,25.50,.33,9.35,
Mar,2016,0.01,5.70,5.82,495,1930,-,-,-,
Mar,2016,6.00,.33,.34,10,748,25.40,.52,11.07,
Mar,2016,6.25,.23,.25,50,85,24.80,.43,7.71,
Mar,2016,6.26,.20,.22,34,94,24.80,.43,6.71,
Mar,2016,6.50,.16,.16,1428,2113,24.30,.34,5.20,
Mar,2016,6.51,.14,.12,200,293,24.30,.34,4.53,
Jun,2016,0.01,5.72,5.54,250,820,-,-,-,

Ansell Last Sale Price $19.84,
Oct,2015,21.50,.38,.55,5,12,35.40,.29,16.43,
Oct,2015,22.50,.17,.24,100,100,34.00,.16,7.45,
Nov,2015,21.00,.75,.88,100,100,34.40,.41,19.71,
Jan,2016,0.01,19.99,21.20,10,230,-,-,2.21,

ANZ Banking Grp Last Sale Price $28.40,
Sep,2015,0.11,28.29,27.40,3750,10135,67.80,1.00,-,
Sep,2015,25.01,3.41,2.44,5,190,48.20,.98,3.67,
Sep,2015,26.00,2.44,1.70,50,110,42.10,.95,7.34,
Sep,2015,27.00,1.50,1.25,1500,909,36.10,.87,17.44,
Sep,2015,27.01,1.49,1.12,55,1744,36.10,.87,18.36,
Sep,2015,27.50,1.06,1.06,487,2511,33.60,.79,30.29,
Sep,2015,27.51,1.05,.48,620,730,33.50,.78,30.29,
Sep,2015,28.00,.69,.77,2311,3951,31.70,.65,53.24,
Sep,2015,28.01,.69,.81,63,664,31.70,.65,54.16,
Sep,2015,28.50,.41,.41,2171,3929,30.70,.48,74.36,
Sep,2015,28.51,.40,.30,27,447,30.70,.48,73.44,
Sep,2015,29.00,.22,.19,13707,8935,30.60,.31,39.47,
Sep,2015,29.01,.21,.17,280,616,30.70,.31,38.56,
Sep,2015,29.50,.11,.07,4020,10029,31.50,.18,20.20,
Sep,2015,29.51,.11,.08,40,1007,31.60,.18,20.20,
Sep,2015,30.00,.06,.04,260,5544,33.30,.11,11.02,
Sep,2015,30.50,.04,.01,1030,4407,35.80,.07,6.43,
Sep,2015,31.00,.03,.09,50,4806,38.90,.04,4.59,
Sep,2015,33.01,.01,.01,10,2048,52.60,.01,1.65,
Sep,2015,33.50,.01,.01,2650,4840,55.50,.01,1.29,
Sep,2015,34.00,.01,.01,38,3341,57.90,-,1.10,
Sep,2015,35.00,.00,.01,40,3228,61.30,-,.55,
Oct,2015,0.01,28.45,27.89,30,185,-,-,1.99,
Oct,2015,27.00,2.02,2.14,43,308,30.60,.73,18.82,
Oct,2015,28.00,1.31,1.40,751,3256,28.10,.61,27.85,
Oct,2015,28.50,1.01,1.00,910,2819,27.00,.53,30.91,
Oct,2015,29.00,.76,.84,526,2567,26.10,.45,23.10,
Oct,2015,29.50,.55,.45,322,1780,25.20,.37,16.68,
Oct,2015,29.51,.54,.68,40,237,25.20,.37,16.52,
Oct,2015,30.00,.38,.42,261,5847,24.40,.29,11.63,
Oct,2015,30.01,.38,.23,30,1826,24.40,.29,11.48,
Oct,2015,30.50,.25,.27,318,5589,23.80,.22,7.65,
Oct,2015,31.00,.16,.17,100,4521,23.30,.16,4.90,
Oct,2015,31.01,.16,.13,10,822,23.30,.16,4.90,
Oct,2015,31.50,.10,.08,50,4986,22.90,.11,3.06,
Oct,2015,34.00,.01,.01,900,1845,22.40,.01,.21,
Nov,2015,25.51,2.75,2.41,171,171,33.30,.81,-,
Nov,2015,26.50,2.48,1.72,10,30,30.70,.75,10.56,
Nov,2015,27.01,1.69,1.46,30,190,29.70,.70,5.42,
Nov,2015,27.50,1.74,1.35,7,1259,28.70,.66,15.33,
Nov,2015,28.00,1.42,.94,16,1514,27.80,.61,18.64,
Nov,2015,28.01,1.12,.96,100,4204,27.80,.60,13.40,
Nov,2015,28.50,1.13,.98,210,1300,27.00,.55,20.75,
Nov,2015,29.00,.88,.75,238,6148,26.20,.49,16.07,
Nov,2015,29.50,.66,.50,102,12621,25.50,.43,12.12,
Nov,2015,29.51,.51,.40,140,212,25.40,.42,9.36,
Nov,2015,30.00,.48,.40,150,1024,24.80,.36,8.90,
Nov,2015,30.01,.38,.32,280,1178,24.80,.36,6.89,
Nov,2015,32.00,.12,.11,350,1513,23.40,.16,2.11,
Dec,2015,27.00,2.19,1.74,400,255,29.70,.70,11.09,
Dec,2015,27.01,1.90,1.45,5,103,29.70,.70,7.20,
Dec,2015,28.00,1.51,1.25,262,710,27.70,.61,15.68,
Dec,2015,28.01,1.31,.75,1075,1500,27.70,.61,13.06,
Dec,2015,28.50,1.23,.70,2815,3220,26.80,.56,17.30,
Dec,2015,29.00,.97,1.04,20,50,26.00,.51,13.70,
Dec,2015,30.00,.57,.46,30,3137,24.60,.39,8.05,
Dec,2015,30.01,.51,.43,20,683,24.60,.39,7.20,
Dec,2015,32.00,.17,.14,60,1200,23.30,.20,2.40,
Dec,2015,32.01,.16,1.50,175,1005,23.30,.20,2.26,
Dec,2015,33.00,.09,.10,14,2038,23.20,.13,1.27,
Dec,2015,36.51,.01,.02,12,125,23.70,.03,.14,
Dec,2015,37.51,.01,.02,8,18,23.80,.01,-,
Jan,2016,24.00,4.73,4.18,180,60,33.60,.85,3.19,
Jan,2016,30.00,.69,.47,150,1125,22.80,.43,6.62,
Jan,2016,30.01,.67,.54,14,14,22.80,.43,6.43,
Jan,2016,30.50,.53,.39,600,1085,22.20,.38,5.12,
Jan,2016,31.00,.41,.39,28,396,21.60,.33,3.91,
Jan,2016,32.00,.23,.43,110,1266,20.90,.24,2.17,
Jan,2016,33.00,.13,.17,80,170,20.40,.16,1.21,
Feb,2016,29.50,1.00,.73,4,50,23.10,.50,7.98,
Feb,2016,30.00,.81,.65,30,50,22.50,.45,6.43,
Feb,2016,31.00,.51,.49,490,390,21.40,.36,4.03,
Mar,2016,29.00,1.37,1.10,50,430,23.80,.55,9.37,
Mar,2016,29.50,1.15,.95,10,110,23.30,.51,7.86,
Jun,2016,28.00,2.10,1.57,6,206,24.80,.65,7.78,
Jun,2016,29.01,1.43,1.09,12,862,23.80,.59,6.54,
Jun,2016,29.51,1.24,1.02,7,-,23.30,.55,5.67,
Jun,2016,30.00,1.18,1.05,500,1190,22.90,.52,5.42,
Jun,2016,30.01,1.05,.98,86,2275,22.90,.52,4.84,
Jun,2016,30.51,.90,.53,60,60,22.40,.48,4.13,
Jun,2016,31.01,.76,.47,54,139,22.10,.45,3.49,
Jun,2016,32.00,.59,.64,40,1175,21.50,.38,2.73,

ASX Last Sale Price $38.72,
Sep,2015,38.51,.61,1.42,1000,1000,24.70,.59,53.87,
Sep,2015,39.50,.20,.18,5,10,24.90,.28,27.61,
Sep,2015,40.00,.11,.23,130,401,25.30,.17,14.14,
Sep,2015,40.50,.06,.28,100,69,25.80,.09,7.41,
Sep,2015,41.00,.03,.04,100,200,26.60,.05,3.37,
Oct,2015,41.00,.35,.32,20,60,21.00,.25,7.86,
Nov,2015,40.00,.96,.79,1056,1020,21.30,.43,12.93,
Mar,2016,42.00,1.05,.90,43,43,20.40,.39,5.29,
Mar,2016,42.50,.91,.78,38,38,20.30,.36,4.56,
Mar,2016,43.00,.80,.68,31,31,20.30,.33,4.01,
Mar,2016,43.50,.69,.57,39,46,20.30,.30,3.48,
Mar,2016,44.00,.60,.49,37,37,20.30,.27,3.03,
Mar,2016,45.50,.40,.31,45,45,20.40,.20,1.98,
Mar,2016,47.50,.20,.17,34,84,20.20,.13,1.00,

Alumina Last Sale Price $1.26,
Sep,2015,1.30,.02,.03,350,1950,50.80,.36,82.44,
Sep,2015,1.31,.01,.04,200,2060,50.30,.31,61.83,
Sep,2015,1.50,-,.01,350,1785,46.90,-,41.22,
Sep,2015,1.55,-,.01,500,2675,47.00,-,32.98,
Oct,2015,1.25,.09,.10,50,-,46.40,.58,48.09,
Oct,2015,1.30,.06,.06,50,350,45.10,.48,41.22,
Oct,2015,1.35,.04,.04,100,500,44.20,.37,30.91,
Oct,2015,1.40,.03,.03,20,3270,43.50,.28,20.61,
Nov,2015,1.30,.08,.08,350,350,43.40,.50,32.98,
Nov,2015,1.35,.06,.04,200,949,42.20,.42,24.73,
Jun,2016,1.50,.08,.08,500,600,36.70,.41,8.24,

Aurizon Hldgs Last Sale Price $5.17,
Oct,2015,5.00,.28,.17,25,650,26.60,.69,19.33,
Oct,2015,5.25,.14,.15,1050,4944,25.20,.48,24.37,
Nov,2015,5.25,.20,.14,230,631,24.60,.51,19.67,

Bendigo&Adelaide Bk Last Sale Price $10.45,
Oct,2015,10.75,.22,.14,15,45,24.00,.41,18.30,
Oct,2015,11.00,.14,.09,200,200,23.10,.29,11.23,
Dec,2015,9.50,1.21,1.02,50,350,29.00,.80,9.79,

BHP Billiton Last Sale Price $24.46,
Sep,2015,21.52,2.97,2.28,100,70,55.00,.97,6.40,
Sep,2015,23.38,1.23,.65,9,175,41.60,.81,30.91,
Sep,2015,23.85,.85,.54,266,1443,39.30,.71,52.23,
Sep,2015,23.86,.85,.40,20,330,39.20,.70,53.29,
Sep,2015,24.31,.56,.48,2478,5516,37.70,.57,86.34,
Sep,2015,24.32,.55,.56,371,9042,37.70,.56,86.34,
Sep,2015,24.78,.33,.24,4383,6142,36.80,.41,69.28,
Sep,2015,24.79,.32,.23,335,2686,36.80,.41,68.22,
Sep,2015,25.25,.17,.13,2749,8304,36.70,.26,37.31,
Sep,2015,25.26,.17,.12,444,2791,36.80,.26,37.31,
Sep,2015,25.72,.10,.05,3980,12780,37.40,.16,20.25,
Sep,2015,25.73,.09,.04,700,3430,37.50,.16,19.19,
Sep,2015,26.18,.05,.03,745,6685,38.80,.09,10.66,
Sep,2015,26.19,.05,.02,2156,3150,38.80,.09,10.66,
Sep,2015,26.65,.03,.04,225,6586,40.70,.05,6.40,
Sep,2015,27.12,.01,.01,110,11342,42.90,.03,3.20,
Sep,2015,27.13,.01,.03,125,2469,43.00,.03,3.20,
Sep,2015,27.59,.01,.01,31,6206,45.30,.02,2.13,
Sep,2015,28.05,.01,.01,108,3697,47.60,.01,1.49,
Sep,2015,28.52,.00,.01,16,3137,49.80,-,.85,
Sep,2015,29.00,.00,.01,20,870,51.70,-,.64,
Sep,2015,29.46,.00,.01,16,1794,53.30,-,.43,
Sep,2015,29.93,.00,.01,120,622,54.60,-,.21,
Sep,2015,31.80,-,.03,57,620,57.80,-,6.40,
Oct,2015,23.38,1.75,1.17,60,339,34.00,.70,23.63,
Oct,2015,23.85,1.42,1.43,600,269,32.80,.63,28.78,
Oct,2015,23.86,1.42,1.19,85,116,32.70,.63,28.96,
Oct,2015,24.31,1.14,1.11,3524,6785,31.60,.57,35.00,
Oct,2015,24.78,.88,.71,363,3802,30.60,.50,31.27,
Oct,2015,24.79,.88,.70,4,251,30.50,.49,31.09,
Oct,2015,25.25,.67,.70,689,4177,29.70,.42,23.63,
Oct,2015,25.26,.66,.51,235,5766,29.60,.42,23.27,
Oct,2015,25.72,.48,.47,854,2352,28.90,.34,17.23,
Oct,2015,25.73,.48,.44,50,-,28.90,.34,17.05,
Oct,2015,26.18,.34,.34,930,5521,28.20,.27,12.26,
Oct,2015,26.65,.24,.23,151,5329,27.70,.21,8.53,
Oct,2015,26.66,.23,.16,100,737,27.70,.21,8.35,
Oct,2015,27.12,.16,.13,75,2115,27.30,.16,5.68,
Oct,2015,27.13,.16,.13,1020,2399,27.30,.16,5.68,
Oct,2015,27.59,.11,.08,20,4085,27.00,.11,3.73,
Oct,2015,28.53,.04,.06,200,230,26.60,.05,1.60,
Nov,2015,24.50,1.33,1.11,1050,1150,30.70,.55,28.25,
Nov,2015,24.51,1.33,1.07,50,50,30.70,.55,28.25,
Nov,2015,25.00,1.07,.78,660,1160,29.90,.49,22.81,
Nov,2015,25.50,.85,.66,224,6434,29.20,.43,18.12,
Nov,2015,26.00,.66,.65,642,2150,28.60,.37,14.07,
Nov,2015,26.01,.66,.53,100,450,28.60,.37,13.96,
Nov,2015,26.50,.51,.49,232,8176,28.10,.31,10.77,
Nov,2015,27.00,.38,.38,159,2359,27.70,.25,7.99,
Nov,2015,27.01,.38,.28,95,3511,27.60,.25,7.99,
Nov,2015,27.50,.28,.25,30,427,27.30,.20,5.97,
Nov,2015,28.00,.20,.15,60,3338,27.10,.16,4.37,
Nov,2015,31.00,.03,.04,500,740,27.60,.03,.64,
Dec,2015,17.30,7.41,6.47,1,1,48.20,.95,4.02,
Dec,2015,17.77,6.96,6.01,251,252,47.20,.94,4.51,
Dec,2015,17.78,6.96,6.00,100,100,47.20,.94,4.51,
