Derivatives: Call Options - Weekly,,,,,,,,,,,,
XAO 4803.3 at 14:41 24/12/2009  Report at 15:45 Thursday 24/12/2009. Processed 16:53 Thursday 24/12/2009.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Weekly Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
CALL OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $14.14,,,,,,,,,,,,
Jan,10,0.01,14.19,-,-,-,-,-,3.94,,,
Jan,10,12.50,1.69,-,-,-,10.80,1.00,3.59,,,
Jan,10,13.00,1.23,1.06,-,81,10.80,1.00,1.08,,,
Jan,10,13.50,0.75,0.45,-,32,10.80,0.94,5.02,,,
Jan,10,14.00,0.34,0.30,130,194,11.60,0.67,12.37,,,
Jan,10,14.50,0.10,0.06,10,184,10.60,0.28,5.74,,,
Jan,10,15.00,0.01,0.11,-,10,10.60,0.05,0.65,,,
Feb,10,0.01,14.23,-,-,-,-,-,4.03,,,
Feb,10,12.50,1.73,-,-,-,14.50,0.99,3.63,,,
Feb,10,13.00,1.25,-,-,-,14.30,0.95,4.44,,,
Feb,10,13.50,0.84,0.77,21,21,14.10,0.84,6.45,,,
Feb,10,14.00,0.45,0.35,69,74,12.20,0.66,11.49,,,
Feb,10,14.50,0.20,0.18,22,50,12.10,0.39,7.26,,,
Feb,10,15.00,0.08,0.07,-,3,12.70,0.18,2.32,,,
Mar,10,0.01,14.01,-,-,-,-,-,-,,,
Mar,10,12.50,1.75,-,-,-,14.90,0.97,2.95,,,
Mar,10,13.00,1.27,1.42,3,12,14.80,0.91,3.79,,,
Mar,10,13.50,0.92,0.92,-,43,14.70,0.81,5.89,,,
Mar,10,14.00,0.55,0.34,2,231,13.80,0.65,9.68,,,
Mar,10,14.50,0.29,0.21,102,158,13.80,0.45,6.87,,,
Mar,10,15.00,0.13,0.11,-,288,13.50,0.27,2.81,,,
Mar,10,15.50,0.04,0.16,-,69,13.50,0.13,0.98,,,
Mar,10,16.00,0.01,0.23,-,47,13.50,0.06,0.28,,,
Mar,10,16.50,0.00,0.44,-,5,13.50,0.02,-,,,
Jun,10,0.01,14.18,-,-,-,-,-,0.63,,,
Jun,10,12.00,2.26,2.47,-,2,16.80,0.95,1.69,,,
Jun,10,12.50,1.80,-,-,-,16.80,0.91,2.33,,,
Jun,10,13.00,1.40,1.39,-,3,16.80,0.84,3.60,,,
Jun,10,13.50,1.04,-,-,-,16.70,0.76,5.64,,,
Jun,10,14.00,0.75,0.66,55,59,16.70,0.65,8.60,,,
Jun,10,14.50,0.52,0.42,169,168,16.60,0.54,7.26,,,
Jun,10,15.00,0.34,0.42,-,6,16.60,0.42,4.87,,,
Jun,10,15.50,0.18,0.20,-,72,15.30,0.30,2.54,,,
Jun,10,16.00,0.12,0.46,-,20,16.00,0.22,1.69,,,
Sep,10,0.01,14.04,-,-,-,-,-,-,,,
Sep,10,12.50,1.99,-,-,-,19.40,0.86,3.30,,,
Sep,10,13.00,1.63,-,-,-,19.30,0.80,4.57,,,
Sep,10,13.50,1.31,-,-,1,19.30,0.73,6.31,,,
Sep,10,14.00,1.02,1.11,-,43,19.00,0.66,8.29,,,
Sep,10,14.50,0.72,0.67,2,22,17.50,0.58,6.78,,,
Sep,10,15.00,0.57,0.95,-,5,18.50,0.49,5.42,,,
Sep,10,15.50,0.41,0.47,-,39,18.20,0.41,3.91,,,
Dec,10,0.01,14.20,-,-,-,-,-,0.50,,,
Dec,10,13.00,1.79,-,-,-,21.40,0.78,4.63,,,
Dec,10,15.00,0.80,-,-,-,20.80,0.54,5.66,,,
Jun,11,14.00,1.60,1.91,-,8,23.40,0.72,6.87,,,
Dec,12,13.00,2.94,-,-,-,26.70,0.77,4.25,,,
Dec,12,18.00,1.30,1.18,-,2,26.40,0.58,3.07,,,
Jun,14,16.00,2.31,-,-,-,25.20,0.73,3.61,,,
Asciano Grp Last Sale Price $1.78,,,,,,,,,,,,
Jan,10,0.01,1.77,-,-,90,-,-,2.85,,,
Jan,10,1.57,0.22,0.12,-,50,21.30,0.98,2.85,,,
Jan,10,1.66,0.16,0.10,-,620,28.20,0.82,8.54,,,
Jan,10,1.75,0.10,0.07,116,1370,20.90,0.65,25.63,,,
Jan,10,1.85,0.04,0.01,52,264,23.60,0.34,12.82,,,
Jan,10,1.96,0.00,0.04,-,85,20.50,0.08,2.28,,,
Feb,10,0.01,1.78,-,-,-,-,-,3.20,,,
Feb,10,1.57,0.24,-,-,-,32.40,0.86,9.61,,,
Feb,10,1.66,0.19,0.14,-,174,32.40,0.75,14.42,,,
Feb,10,1.75,0.13,0.10,32,395,32.00,0.61,25.63,,,
Feb,10,1.85,0.10,-,-,-,31.80,0.44,20.83,,,
Feb,10,1.96,0.05,0.07,-,25,30.40,0.27,10.41,,,
Mar,10,0.01,1.79,-,-,-,-,-,4.46,,,
Mar,10,1.13,0.66,-,-,10,36.50,1.00,2.23,,,
Mar,10,1.22,0.57,-,-,40,36.30,0.99,3.34,,,
Mar,10,1.31,0.49,-,-,20,36.20,0.97,4.46,,,
Mar,10,1.40,0.41,0.40,-,310,36.10,0.93,5.57,,,
Mar,10,1.48,0.34,-,-,90,36.00,0.88,7.80,,,
Mar,10,1.57,0.27,0.26,-,57,35.80,0.81,12.26,,,
Mar,10,1.66,0.23,0.16,100,2370,35.70,0.71,16.72,,,
Mar,10,1.75,0.17,0.13,86,600,34.50,0.61,24.52,,,
Mar,10,1.96,0.09,0.06,-,108,34.60,0.35,13.37,,,
Mar,10,2.40,0.01,0.03,-,40,34.70,0.06,1.56,,,
Jun,10,0.01,1.81,-,-,-,-,-,4.48,,,
Jun,10,1.40,0.45,0.40,-,55,36.90,0.88,7.28,,,
Jun,10,1.50,0.37,-,-,140,36.90,0.82,10.08,,,
Jun,10,1.60,0.30,0.29,-,43,36.90,0.74,13.45,,,
Jun,10,1.70,0.29,0.24,-,138,41.30,0.66,18.49,,,
Jun,10,1.80,0.20,0.16,-,113,39.60,0.58,22.97,,,
Jun,10,1.90,0.14,0.12,10,46,34.60,0.49,15.69,,,
Jun,10,2.00,0.11,-,-,-,34.30,0.41,11.77,,,
Sep,10,0.01,1.83,-,-,-,-,-,4.49,,,
Sep,10,1.60,0.34,-,-,10,36.10,0.74,12.35,,,
Sep,10,1.70,0.28,-,-,-,36.20,0.67,15.34,,,
Sep,10,1.80,0.25,0.25,10,362,37.60,0.60,18.34,,,
Sep,10,1.90,0.20,-,-,-,37.60,0.54,15.34,,,
Sep,10,2.00,0.17,0.17,-,15,37.60,0.48,12.72,,,
Dec,10,0.01,1.85,-,-,-,-,-,4.49,,,
Dec,10,1.57,0.44,-,-,-,42.80,0.74,12.92,,,
Dec,10,1.66,0.39,0.26,-,7,42.80,0.70,15.17,,,
Dec,10,1.75,0.34,0.32,-,10,42.20,0.65,17.70,,,
Dec,10,1.96,0.27,0.20,-,61,42.60,0.55,14.89,,,
Dec,12,1.13,0.98,-,-,10,52.50,0.86,6.19,,,
Dec,12,1.31,0.90,-,-,25,52.50,0.86,7.97,,,
Dec,12,1.66,0.76,0.06,-,-,52.50,0.79,11.91,,,
Dec,12,1.75,0.72,-,-,-,52.50,0.79,12.94,,,
Dec,12,1.96,0.66,-,-,-,52.50,0.69,12.29,,,
Sep,14,1.70,0.84,-,-,-,44.70,0.82,9.03,,,
Sep,14,1.80,0.81,-,-,-,44.70,0.74,9.56,,,
Amcor Ltd Last Sale Price $6.15,,,,,,,,,,,,
Jan,10,0.01,6.17,-,-,10,-,-,4.12,,,
Jan,10,5.26,0.94,0.90,3,75,19.70,1.00,2.89,,,
Jan,10,5.49,0.70,0.76,-,117,19.30,0.98,2.89,,,
Jan,10,5.72,0.49,0.18,-,271,18.90,0.91,6.18,,,
Jan,10,5.95,0.28,0.28,96,649,14.80,0.81,9.89,,,
Jan,10,6.18,0.14,0.13,33,396,14.80,0.52,19.37,,,
Jan,10,6.41,0.06,0.06,-,35,16.00,0.24,6.59,,,
Jan,10,6.64,0.03,0.06,-,50,18.20,0.11,2.56,,,
Feb,10,0.01,6.01,-,-,-,-,-,-,,,
Feb,10,4.81,1.38,0.88,-,-,19.60,1.00,3.25,,,
Feb,10,5.26,0.93,-,-,58,19.50,0.98,3.71,,,
Feb,10,5.49,0.71,-,-,50,19.40,0.94,4.64,,,
Feb,10,5.72,0.51,0.27,-,26,19.40,0.86,6.96,,,
Feb,10,5.95,0.35,0.28,-,182,19.40,0.72,11.82,,,
Feb,10,6.18,0.21,0.25,-,279,18.90,0.54,17.85,,,
Feb,10,6.41,0.12,0.13,11,110,18.40,0.35,9.51,,,
Feb,10,6.64,0.07,0.10,-,19,19.50,0.22,4.40,,,
Mar,10,0.01,6.03,-,-,-,-,-,-,,,
Mar,10,4.12,2.06,2.00,-,18,21.80,1.00,1.94,,,
Mar,10,4.81,1.38,-,-,13,21.60,0.99,2.26,,,
Mar,10,5.03,1.16,0.85,-,38,21.50,0.98,2.26,,,
Mar,10,5.26,0.94,-,-,-,21.50,0.95,2.90,,,
Mar,10,5.49,0.72,0.47,-,51,21.40,0.89,3.87,,,
Mar,10,5.72,0.53,0.35,-,502,21.40,0.81,6.13,,,
Mar,10,5.95,0.40,0.36,30,119,21.30,0.69,10.32,,,
Mar,10,6.18,0.26,0.18,-,151,20.70,0.56,15.16,,,
Mar,10,6.41,0.16,0.13,105,115,21.40,0.42,8.87,,,
Mar,10,6.64,0.11,-,-,-,21.00,0.29,4.84,,,
Apr,10,0.01,6.05,-,-,-,-,-,-,,,
Apr,10,5.26,0.96,-,-,30,27.10,0.88,3.27,,,
Apr,10,5.49,0.77,-,-,40,26.60,0.82,4.91,,,
Apr,10,5.72,0.58,0.30,-,1,25.00,0.76,7.01,,,
Apr,10,5.95,0.43,-,-,-,24.60,0.67,10.75,,,
Apr,10,6.18,0.31,0.23,-,154,24.50,0.57,14.49,,,
Apr,10,6.41,0.20,-,-,4,23.70,0.47,9.58,,,
Apr,10,6.64,0.12,-,-,-,21.80,0.35,5.37,,,
May,10,0.01,6.08,-,-,-,-,-,-,,,
May,10,5.26,0.96,-,-,-,25.00,0.88,2.68,,,
May,10,5.49,0.78,-,-,-,24.90,0.83,4.40,,,
May,10,5.72,0.57,-,-,-,22.10,0.77,5.55,,,
May,10,5.95,0.47,-,-,80,24.90,0.67,10.15,,,
May,10,6.18,0.35,-,-,1,24.70,0.58,13.40,,,
May,10,6.41,0.20,0.22,20,109,21.30,0.48,7.85,,,
May,10,6.64,0.18,-,-,-,24.00,0.40,6.89,,,
Jun,10,0.01,6.10,-,-,1557,-,-,-,,,
Jun,10,3.89,2.29,1.63,-,1,23.50,1.00,0.97,,,
Jun,10,4.12,2.06,1.46,-,29,23.40,1.00,0.97,,,
Jun,10,4.58,1.61,-,-,6,23.30,0.98,1.14,,,
Jun,10,4.81,1.38,-,-,57,23.30,0.96,1.30,,,
Jun,10,5.03,1.17,0.43,-,30,23.20,0.93,1.62,,,
Jun,10,5.26,0.96,-,-,-,23.20,0.89,2.43,,,
Jun,10,5.49,0.78,-,-,52,23.10,0.83,3.73,,,
Jun,10,5.72,0.61,0.45,-,10,23.10,0.76,6.00,,,
Jun,10,5.95,0.47,-,-,-,23.00,0.68,8.92,,,
Jun,10,6.18,0.34,0.23,-,14,21.90,0.59,11.03,,,
Jun,10,6.41,0.26,0.30,-,83,22.50,0.50,8.43,,,
Jun,10,6.64,0.19,-,-,-,22.50,0.41,6.16,,,
Sep,10,0.01,5.99,-,-,-,-,-,-,,,
Sep,10,4.75,1.48,1.49,-,30,30.00,0.90,1.73,,,
Sep,10,5.25,1.04,-,-,-,26.50,0.84,3.14,,,
Sep,10,5.50,0.85,0.73,-,1,25.50,0.79,4.44,,,
Sep,10,5.75,0.69,-,-,-,24.90,0.73,6.28,,,
Sep,10,6.00,0.56,-,-,-,25.20,0.66,8.88,,,
Sep,10,6.25,0.45,-,-,-,24.90,0.59,9.64,,,
Sep,10,6.50,0.35,-,-,-,25.10,0.52,7.58,,,
Sep,10,6.75,0.28,-,-,-,25.10,0.45,5.96,,,
Dec,10,0.01,6.06,-,-,-,-,-,-,,,
Dec,10,5.50,0.93,-,-,-,27.60,0.77,4.47,,,
Dec,10,5.75,0.79,-,-,-,27.60,0.72,6.26,,,
Dec,10,6.00,0.67,-,-,-,27.80,0.67,8.37,,,
Dec,10,6.25,0.55,-,-,-,27.20,0.61,8.86,,,
Dec,10,6.50,0.46,-,-,-,27.60,0.56,7.40,,,
Dec,10,6.75,0.38,-,-,-,27.60,0.50,6.18,,,
AMP Ltd Last Sale Price $6.68,,,,,,,,,,,,
Jan,10,0.01,6.70,-,-,21,-,-,3.79,,,
Jan,10,5.00,1.70,-,-,10,2.00,1.00,3.04,,,
Jan,10,5.25,1.51,-,-,60,2.00,1.00,0.38,,,
Jan,10,5.50,1.23,0.98,-,84,2.00,1.00,-,,,
Jan,10,5.75,0.95,0.89,-,77,2.00,1.00,-,,,
Jan,10,6.00,0.75,0.66,37,777,18.90,0.97,1.14,,,
Jan,10,6.25,0.50,0.47,18,706,17.60,0.91,6.83,,,
Jan,10,6.50,0.30,0.26,251,1193,22.80,0.69,15.18,,,
Jan,10,6.51,0.32,-,-,-,22.70,0.68,15.18,,,
Jan,10,6.75,0.16,0.16,325,651,22.50,0.49,22.39,,,
Jan,10,6.76,0.19,0.17,12,12,23.60,0.48,23.91,,,
Jan,10,7.00,0.10,0.10,74,1888,24.60,0.31,13.28,,,
Jan,10,7.01,0.10,-,-,-,25.50,0.31,14.42,,,
Jan,10,7.25,0.07,0.06,68,308,28.80,0.21,7.97,,,
Jan,10,7.50,0.04,0.05,40,276,29.20,0.12,5.31,,,
