Derivatives: Call Options - Weekly,,,,,,,,,,,,
XAO 4516.5 at 16:37 11/6/2010  Report at 19:06 Friday 11/6/2010. Processed 19:50 Friday 11/6/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Weekly Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
CALL OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $14.86,,,,,,,,,,,,
Jun,10,0.01,14.88,-,-,-,-,-,4.39,,,
Jun,10,12.00,2.88,2.47,-,-,21.20,1.00,3.51,,,
Jun,10,12.50,2.38,2.06,-,1,21.00,1.00,3.51,,,
Jun,10,13.00,1.88,1.12,-,5,20.90,1.00,3.51,,,
Jun,10,13.50,1.39,1.32,2,10,20.70,0.99,4.39,,,
Jun,10,14.00,0.90,0.50,1,260,20.50,0.95,6.14,,,
Jun,10,14.50,0.47,0.40,47,285,20.30,0.76,18.42,,,
Jun,10,15.00,0.16,0.17,92,302,18.40,0.42,27.19,,,
Jun,10,15.50,0.04,0.11,20,357,19.10,0.14,6.14,,,
Jun,10,16.00,0.01,0.04,3,58,19.10,0.02,0.88,,,
Jun,10,16.50,-,-,-,-,19.20,-,-,,,
Jul,10,0.01,14.94,-,-,-,-,-,4.51,,,
Jul,10,13.00,1.95,-,-,-,19.90,0.98,4.51,,,
Jul,10,13.50,1.48,-,-,-,19.80,0.93,6.02,,,
Jul,10,14.00,1.04,0.53,-,4,19.70,0.84,9.27,,,
Jul,10,14.50,0.68,0.45,-,56,19.60,0.69,16.04,,,
Jul,10,15.00,0.38,0.32,31,77,18.40,0.50,18.80,,,
Jul,10,15.50,0.19,0.21,20,33,18.40,0.31,9.52,,,
Jul,10,16.00,0.07,0.09,10,16,18.00,0.16,3.76,,,
Jul,10,16.50,0.03,-,-,2,18.00,0.07,1.50,,,
Aug,10,0.01,15.00,-,-,-,-,-,4.78,,,
Aug,10,13.00,2.02,-,-,-,19.40,0.95,4.94,,,
Aug,10,13.50,1.56,1.35,-,17,19.30,0.90,6.54,,,
Aug,10,14.00,1.16,0.70,-,1,19.30,0.80,9.41,,,
Aug,10,14.50,0.81,0.28,-,27,19.30,0.68,14.20,,,
Aug,10,15.00,0.52,0.36,20,30,18.90,0.53,16.43,,,
Aug,10,15.50,0.30,0.19,-,8,18.60,0.38,9.73,,,
Aug,10,16.00,0.17,0.13,-,10,18.60,0.25,5.42,,,
Aug,10,16.50,0.09,0.13,-,16,18.60,0.15,2.71,,,
Sep,10,0.01,14.77,-,-,-,-,-,-,,,
Sep,10,13.00,2.05,-,-,3,20.00,0.93,4.44,,,
Sep,10,13.50,1.61,-,-,7,20.00,0.87,5.85,,,
Sep,10,14.00,1.21,0.90,-,44,19.80,0.78,8.19,,,
Sep,10,14.50,0.86,0.70,5,190,19.60,0.67,11.81,,,
