Derivatives: Call Options - Weekly,,,,,,,,,,,,
XAO 4437.0 at 16:39 16/7/2010  Report at 19:06 Friday 16/7/2010. Processed 12:57 Sunday 18/7/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Weekly Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
CALL OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $14.75,,,,,,,,,,,,
Jul,10,0.01,14.77,-,-,-,-,-,4.42,,,
Jul,10,13.00,1.77,-,-,-,16.20,1.00,3.54,,,
Jul,10,13.50,1.27,-,-,-,16.20,1.00,3.54,,,
Jul,10,14.00,0.78,0.87,2,51,16.10,0.96,5.30,,,
Jul,10,14.50,0.34,0.48,-,84,15.90,0.74,16.79,,,
Jul,10,15.00,0.09,0.08,17,143,15.80,0.32,15.02,,,
Jul,10,15.50,0.01,0.07,-,98,15.80,0.06,1.77,,,
Jul,10,16.00,0.00,0.09,-,16,15.80,-,0.18,,,
Jul,10,16.50,-,-,-,2,15.80,-,-,,,
Aug,10,0.01,14.82,-,-,-,-,-,4.71,,,
Aug,10,13.00,1.82,-,-,-,16.70,0.99,4.12,,,
Aug,10,13.50,1.34,1.35,-,17,16.70,0.96,5.01,,,
Aug,10,14.00,0.89,1.25,-,9,16.60,0.86,7.95,,,
Aug,10,14.50,0.51,0.53,40,56,16.30,0.68,15.32,,,
Aug,10,15.00,0.23,0.30,9,116,15.70,0.43,13.85,,,
Aug,10,15.50,0.08,0.14,-,141,15.20,0.21,4.71,,,
Aug,10,16.00,0.03,0.08,4,83,15.20,0.07,1.47,,,
Aug,10,16.50,0.01,0.13,-,16,15.20,0.02,0.29,,,
Sep,10,0.01,14.59,14.82,-,4,-,-,-,,,
Sep,10,13.00,1.85,-,-,5,15.90,0.98,3.36,,,
Sep,10,13.50,1.37,-,-,11,15.90,0.93,4.07,,,
Sep,10,14.00,0.92,0.90,-,44,15.90,0.83,6.01,,,
Sep,10,14.50,0.56,0.70,-,198,15.80,0.67,10.78,,,
Sep,10,15.00,0.29,0.32,18,133,15.70,0.48,10.25,,,
Sep,10,15.50,0.13,0.20,8,283,15.70,0.30,4.60,,,
Sep,10,16.00,0.05,0.40,-,32,15.70,0.16,1.77,,,
Sep,10,16.50,0.01,-,-,-,15.70,0.07,0.53,,,
Oct,10,13.00,1.85,-,-,-,16.80,0.95,2.36,,,
Oct,10,13.50,1.40,-,-,-,17.50,0.88,3.42,,,
Oct,10,14.00,0.99,-,-,-,17.70,0.78,5.66,,,
Oct,10,14.50,0.63,0.42,-,10,16.80,0.66,8.96,,,
Oct,10,15.00,0.38,0.47,-,9,16.70,0.52,8.96,,,
Oct,10,15.50,0.22,0.23,76,74,16.80,0.37,5.18,,,
Oct,10,16.00,0.12,0.18,-,8,16.80,0.25,2.71,,,
Nov,10,13.00,1.92,-,-,-,22.50,0.88,3.16,,,
Nov,10,13.50,1.52,-,-,-,22.50,0.81,5.02,,,
Nov,10,14.00,1.05,-,-,-,18.20,0.77,5.58,,,
Nov,10,14.50,0.88,-,-,-,22.50,0.64,11.72,,,
Nov,10,15.00,0.50,-,-,-,18.30,0.54,9.30,,,
