Derivatives: Call Options - Weekly,,,,,,,,,,,,
XAO 4685.1 at 16:41 17/9/2010  Report at 19:07 Friday 17/9/2010. Processed 18:10 Sunday 19/9/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Weekly Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
CALL OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $16.00,,,,,,,,,,,,
Oct,10,1.50,0.16,-,-,-,32.30,0.82,13.29,,,
Oct,10,1.60,0.09,-,-,10,27.40,0.64,26.58,,,
Oct,10,1.70,0.03,0.07,-,815,24.90,0.36,15.95,,,
Oct,10,1.80,0.01,0.04,-,1281,24.90,0.15,5.32,,,
Oct,10,1.90,0.00,0.03,-,422,24.90,0.05,1.06,,,
Nov,10,0.01,1.64,-,-,-,-,-,4.78,,,
Nov,10,1.40,0.26,-,-,-,29.10,0.92,6.38,,,
Nov,10,1.50,0.17,-,-,-,29.00,0.80,12.76,,,
Nov,10,1.60,0.11,0.14,40,40,27.20,0.63,22.32,,,
Nov,10,1.70,0.05,-,-,20,25.00,0.42,15.95,,,
Nov,10,1.80,0.02,0.03,128,1067,25.00,0.23,6.38,,,
Nov,10,1.90,0.01,0.03,-,197,25.00,0.11,2.87,,,
Dec,10,0.01,1.65,-,-,-,-,-,4.56,,,
Dec,10,1.40,0.26,-,-,-,25.40,0.91,5.69,,,
Dec,10,1.48,0.19,0.54,-,26,19.90,0.88,6.83,,,
Dec,10,1.57,0.11,0.23,-,116,15.80,0.77,9.11,,,
Dec,10,1.66,0.06,0.14,-,552,16.90,0.52,12.53,,,
Dec,10,1.75,0.03,0.10,-,275,16.70,0.29,5.69,,,
Dec,10,1.85,0.01,0.04,-,48,18.40,0.14,2.28,,,
Dec,10,1.96,0.00,0.03,-,179,16.70,0.03,0.23,,,
Dec,10,2.18,-,0.01,-,610,16.70,-,3.42,,,
Jan,11,1.40,0.27,-,-,-,23.80,0.90,5.87,,,
Jan,11,1.50,0.19,-,-,-,22.50,0.81,9.23,,,
Jan,11,1.60,0.12,-,-,-,21.70,0.65,14.27,,,
Jan,11,1.70,0.07,0.10,-,19,20.40,0.47,10.91,,,
Jan,11,1.80,0.04,-,-,-,20.70,0.29,5.87,,,
Feb,11,1.40,0.28,-,-,-,20.60,0.92,5.55,,,
Feb,11,1.50,0.20,-,-,-,21.80,0.80,8.32,,,
Feb,11,1.60,0.13,-,-,-,21.10,0.66,13.17,,,
Feb,11,1.70,0.07,-,-,-,20.80,0.49,10.40,,,
Feb,11,1.80,0.04,-,-,-,21.00,0.33,6.24,,,
Mar,11,0.01,1.67,-,-,-,-,-,5.32,,,
Mar,11,1.40,0.28,-,-,-,21.60,0.90,5.91,,,
Mar,11,1.50,0.20,-,-,-,21.60,0.80,8.27,,,
Mar,11,1.60,0.14,-,-,-,22.00,0.66,12.99,,,
Mar,11,1.70,0.09,0.10,-,50,21.80,0.51,10.63,,,
Mar,11,1.80,0.06,0.14,-,1020,21.40,0.36,6.50,,,
Jun,11,0.01,1.69,-,-,-,-,-,5.18,,,
Jun,11,1.40,0.32,-,-,-,24.00,0.85,6.78,,,
Jun,11,1.50,0.25,-,-,-,24.00,0.77,8.77,,,
Jun,11,1.60,0.19,0.28,-,150,24.00,0.66,11.96,,,
Jun,11,1.70,0.14,-,-,-,23.70,0.55,10.76,,,
Jun,11,1.80,0.10,-,-,6,23.80,0.44,7.57,,,
Jun,11,1.90,0.07,0.12,-,45,23.50,0.34,5.18,,,
Dec,12,1.13,0.67,-,-,10,29.00,0.90,4.32,,,
Dec,12,1.31,0.54,0.70,-,25,29.00,0.83,5.81,,,
Dec,12,1.40,0.48,0.69,-,8,29.00,0.83,6.76,,,
Dec,12,1.66,0.35,0.06,-,-,29.00,0.65,9.46,,,
Dec,12,1.75,0.32,-,-,-,29.50,0.65,8.65,,,
Dec,12,2.18,0.19,0.20,-,21,29.90,0.43,5.00,,,
Sep,14,1.70,0.66,-,-,-,44.70,0.72,10.02,,,
Sep,14,1.80,0.63,-,-,-,44.70,0.72,9.57,,,
Amcor Ltd Last Sale Price $6.77,,,,,,,,,,,,
Sep,10,0.01,6.76,-,-,-,-,1.00,3.85,,,
Sep,10,4.75,2.02,1.86,-,-,25.70,1.00,3.85,,,
