Derivatives: Call Options - Weekly,,,,,,,,,,,,
XAO 4507.4 at 16:36 30/7/2010  Report at 19:06 Friday 30/7/2010. Processed 18:13 Saturday 31/7/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Weekly Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
CALL OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $14.77,,,,,,,,,,,,
Aug,10,0.01,14.81,-,-,-,-,-,4.41,,,
Aug,10,13.00,1.81,-,-,-,17.70,1.00,3.97,,,
Aug,10,13.50,1.32,1.35,-,17,17.60,0.98,4.41,,,
Aug,10,14.00,0.85,1.25,5,14,17.40,0.89,7.50,,,
Aug,10,14.50,0.45,0.53,32,118,15.90,0.71,15.45,,,
Aug,10,15.00,0.15,0.16,32,130,14.10,0.39,13.24,,,
Aug,10,15.50,0.04,0.14,4,149,14.50,0.14,3.53,,,
Aug,10,16.00,0.01,0.08,-,90,14.50,0.03,0.53,,,
Aug,10,16.50,0.00,0.13,-,16,14.60,-,-,,,
Sep,10,0.01,14.59,14.82,-,4,-,-,-,,,
Sep,10,13.00,1.84,-,-,5,15.60,0.99,2.87,,,
Sep,10,13.50,1.35,-,-,11,15.60,0.95,3.31,,,
Sep,10,14.00,0.89,0.90,-,44,15.60,0.86,5.07,,,
Sep,10,14.50,0.50,0.44,6,200,15.20,0.69,9.93,,,
Sep,10,15.00,0.21,0.20,32,235,14.20,0.46,9.27,,,
Sep,10,15.50,0.08,0.10,6,273,14.60,0.25,3.53,,,
Sep,10,16.00,0.02,0.40,-,32,14.70,0.11,0.88,,,
Sep,10,16.50,0.01,-,-,-,14.70,0.04,0.22,,,
Oct,10,0.01,14.65,-,-,-,-,-,-,,,
Oct,10,13.00,1.84,-,-,-,16.80,0.96,1.90,,,
Oct,10,13.50,1.37,-,-,-,16.80,0.90,2.58,,,
Oct,10,14.00,0.94,-,-,-,16.80,0.80,4.48,,,
Oct,10,14.50,0.58,0.42,-,10,16.40,0.67,8.42,,,
Oct,10,15.00,0.33,0.47,4,6,16.20,0.51,8.83,,,
Oct,10,15.50,0.16,0.13,4,111,15.80,0.35,4.35,,,
Oct,10,16.00,0.07,0.18,-,8,15.80,0.21,2.04,,,
Nov,10,13.00,1.90,-,-,-,22.50,0.89,2.60,,,
Nov,10,13.50,1.48,-,-,-,22.50,0.82,4.26,,,
Nov,10,14.00,1.00,-,-,-,18.20,0.77,4.88,,,
Nov,10,14.50,0.82,-,-,-,22.50,0.64,11.53,,,
Nov,10,15.00,0.39,-,-,-,16.10,0.53,8.00,,,
Nov,10,15.50,0.23,-,-,6,16.00,0.39,4.67,,,
Nov,10,16.00,0.12,0.18,-,50,15.90,0.26,2.49,,,
Dec,10,0.01,14.77,-,-,-,-,-,-,,,
Dec,10,13.00,1.86,-,-,-,17.50,0.92,1.51,,,
Dec,10,13.50,1.42,1.68,-,1,17.40,0.86,2.52,,,
Dec,10,14.00,1.04,-,-,11,17.40,0.77,4.54,,,
Dec,10,14.50,0.72,0.58,-,13,17.00,0.67,7.65,,,
Dec,10,15.00,0.44,0.42,3,24,15.60,0.55,7.40,,,
Dec,10,15.50,0.27,0.35,-,213,15.40,0.42,4.45,,,
Dec,10,16.00,0.18,0.19,-,44,16.40,0.31,3.03,,,
Dec,10,16.50,0.11,0.32,-,4,16.50,0.22,1.77,,,
Dec,10,17.00,0.07,0.30,-,8,16.90,0.15,1.09,,,
Dec,10,17.50,0.04,0.22,-,10,17.30,0.10,0.67,,,
Jan,11,13.50,1.42,-,-,-,15.20,0.88,1.97,,,
Jan,11,14.00,1.04,-,-,-,15.20,0.79,3.67,,,
Jan,11,14.50,0.73,-,-,-,15.20,0.69,6.31,,,
Jan,11,15.00,0.51,-,-,-,15.20,0.57,6.86,,,
Jan,11,15.50,0.33,-,-,-,15.20,0.45,4.48,,,
Mar,11,0.01,14.97,-,-,-,-,-,2.13,,,
