Derivatives: Call Options - Weekly,,,,,,,,,,,,
XAO 4475.1 at 16:36 23/7/2010  Report at 19:06 Friday 23/7/2010. Processed 19:20 Saturday 24/7/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Weekly Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
CALL OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $14.91,,,,,,,,,,,,
Jul,10,0.01,14.91,-,-,-,-,1.00,3.50,,,
Jul,10,13.00,1.92,-,-,-,2.00,1.00,3.50,,,
Jul,10,13.50,1.42,-,-,-,2.00,1.00,3.50,,,
Jul,10,14.00,0.92,0.87,15,51,2.00,1.00,3.50,,,
Jul,10,14.50,0.42,0.43,6,82,12.80,0.96,5.25,,,
Jul,10,15.00,0.07,0.09,17,150,14.60,0.40,26.23,,,
Jul,10,15.50,0.00,0.07,10,98,14.60,0.02,0.70,,,
Jul,10,16.00,-,0.09,4,16,14.60,-,31.47,,,
Jul,10,16.50,-,-,-,2,14.60,-,-,,,
Aug,10,0.01,14.97,-,-,-,-,-,4.55,,,
Aug,10,13.00,1.97,-,-,-,14.50,1.00,3.85,,,
Aug,10,13.50,1.47,1.35,2,17,14.50,0.99,4.20,,,
Aug,10,14.00,0.99,1.25,-,9,14.50,0.94,5.60,,,
Aug,10,14.50,0.56,0.53,32,58,14.80,0.78,10.84,,,
Aug,10,15.00,0.26,0.26,10,124,14.90,0.50,18.19,,,
Aug,10,15.50,0.08,0.14,6,141,14.20,0.23,5.60,,,
Aug,10,16.00,0.02,0.08,7,90,14.20,0.07,1.40,,,
Aug,10,16.50,0.00,0.13,-,16,14.20,0.01,0.21,,,
Sep,10,0.01,14.74,14.82,-,4,-,-,-,,,
Sep,10,13.00,1.99,-,-,5,14.00,1.00,2.91,,,
Sep,10,13.50,1.50,-,-,11,14.00,0.97,3.30,,,
Sep,10,14.00,1.02,0.90,-,44,14.00,0.90,4.27,,,
Sep,10,14.50,0.61,0.70,-,198,14.50,0.75,7.77,,,
Sep,10,15.00,0.32,0.31,130,226,14.80,0.54,12.24,,,
