Derivatives: Call Options - Weekly,,,,,,,,,,,,
XAO 4439.4 at 16:38 25/6/2010  Report at 19:06 Friday 25/6/2010. Processed 21:10 Sunday 27/6/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Weekly Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
CALL OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $14.81,,,,,,,,,,,,
Jul,10,0.01,14.87,-,-,-,-,-,4.58,,,
Jul,10,13.00,1.87,-,-,-,17.80,0.99,4.22,,,
Jul,10,13.50,1.38,-,-,-,17.60,0.97,4.93,,,
Jul,10,14.00,0.92,0.53,30,34,17.50,0.88,7.75,,,
Jul,10,14.50,0.53,0.45,30,96,17.30,0.70,15.49,,,
Jul,10,15.00,0.23,0.23,17,98,15.80,0.45,16.20,,,
Jul,10,15.50,0.07,0.10,56,89,14.90,0.20,4.93,,,
Jul,10,16.00,0.01,0.09,-,16,14.90,0.06,1.06,,,
Jul,10,16.50,0.00,-,-,2,14.90,0.01,0.21,,,
Aug,10,0.01,14.92,-,-,-,-,-,4.69,,,
Aug,10,13.00,1.93,-,-,-,18.30,0.97,4.69,,,
Aug,10,13.50,1.47,1.35,-,17,18.20,0.92,6.06,,,
Aug,10,14.00,1.04,1.25,2,2,18.20,0.82,9.00,,,
Aug,10,14.50,0.69,0.69,7,34,18.10,0.67,14.67,,,
Aug,10,15.00,0.40,0.37,31,52,17.50,0.50,15.45,,,
Aug,10,15.50,0.17,0.19,46,88,15.90,0.30,6.85,,,
Aug,10,16.00,0.07,0.12,51,40,15.90,0.16,2.93,,,
Aug,10,16.50,0.03,0.13,-,16,15.90,0.07,1.17,,,
Sep,10,0.01,14.69,14.82,4,4,-,-,-,,,
Sep,10,13.00,1.96,-,-,3,18.60,0.95,3.93,,,
Sep,10,13.50,1.50,-,-,7,18.50,0.89,5.15,,,
Sep,10,14.00,1.09,0.90,-,44,18.30,0.79,7.45,,,
Sep,10,14.50,0.73,0.70,-,190,18.20,0.67,11.51,,,
Sep,10,15.00,0.42,0.40,69,34,16.70,0.52,11.51,,,
Sep,10,15.50,0.26,0.25,93,226,17.50,0.38,6.91,,,
Sep,10,16.00,0.14,0.40,-,32,17.50,0.25,3.66,,,
Sep,10,16.50,0.07,-,-,-,17.60,0.15,1.90,,,
Oct,10,13.00,2.00,-,-,-,21.30,0.90,3.72,,,
Oct,10,13.50,1.50,-,-,-,17.10,0.88,3.81,,,
Oct,10,14.00,1.20,-,-,-,21.10,0.75,7.63,,,
Oct,10,14.50,0.84,0.42,-,10,19.70,0.66,10.37,,,
Oct,10,15.00,0.50,0.33,-,1,17.10,0.55,9.78,,,
Oct,10,15.50,0.31,-,-,-,17.10,0.42,6.06,,,
Oct,10,16.00,0.22,-,-,4,18.30,0.31,4.21,,,
Nov,10,13.00,2.04,-,-,-,22.50,0.87,3.76,,,
Nov,10,13.50,1.65,-,-,-,22.50,0.81,5.44,,,
Nov,10,14.00,1.30,-,-,-,22.50,0.73,7.84,,,
Nov,10,14.50,0.95,-,-,-,21.10,0.66,10.24,,,
Nov,10,15.00,0.76,-,-,-,22.50,0.56,12.08,,,
Nov,10,15.50,0.56,-,-,-,22.50,0.47,8.96,,,
Nov,10,16.00,0.41,-,-,-,22.50,0.39,6.56,,,
Dec,10,0.01,14.89,-,-,-,-,-,1.15,,,
Dec,10,13.00,2.01,-,-,-,18.80,0.90,2.71,,,
Dec,10,13.50,1.60,1.68,-,1,18.80,0.84,3.86,,,
Dec,10,14.00,1.24,-,-,11,18.80,0.76,5.82,,,
Dec,10,14.50,0.93,0.58,-,13,18.70,0.67,8.40,,,
Dec,10,15.00,0.69,0.69,11,24,19.00,0.57,9.41,,,
Dec,10,15.50,0.46,0.61,150,188,17.80,0.47,6.16,,,
Dec,10,16.00,0.33,0.62,-,19,18.20,0.38,4.40,,,
Dec,10,16.50,0.22,0.32,-,4,18.30,0.29,2.98,,,
Dec,10,17.00,0.14,0.30,-,8,18.30,0.22,1.96,,,
Dec,10,17.50,0.10,0.22,-,10,18.40,0.16,1.29,,,
Mar,11,0.01,15.08,-,-,-,-,-,2.53,,,
