Derivatives: Call Options - Weekly
"Traded positions for the week ending Friday, October 30, 2015"
"Report at Friday, October 30, 2015. Processed Monday at 2/11/2015 5:03:52 PM."



ASX Code/Series,,Ex Price,Fair Value,Last Sale,Weekly Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,
CALL OPTIONS,
AGL Energy Last Sale Price $16.73,
Nov,2015,16.50,.51,.40,264,3324,20.60,.64,21.82,
Nov,2015,17.00,.27,.18,486,4659,20.30,.43,20.65,
Nov,2015,17.50,.11,.10,1026,2610,20.10,.24,8.57,
Nov,2015,18.00,.04,.29,125,923,19.90,.11,3.12,
Dec,2015,15.36,1.50,1.52,18,350,22.60,.88,6.01,
Dec,2015,16.32,.78,.80,750,1000,21.50,.68,16.25,
Dec,2015,16.80,.50,.50,115,2960,21.00,.53,22.04,
Dec,2015,17.28,.29,.29,40,3076,20.50,.38,12.91,
Dec,2015,17.76,.16,.14,1600,200,20.10,.25,6.90,
Jan,2016,16.50,.82,.50,1000,1010,19.80,.63,14.15,
Jan,2016,17.00,.57,.57,363,643,19.80,.51,13.79,
Feb,2016,17.00,.73,.56,7,7,21.60,.53,13.38,
Mar,2016,16.50,.99,.94,37,601,21.00,.64,11.36,
Mar,2016,17.00,.75,.73,1000,1107,20.90,.55,11.13,

Asciano Last Sale Price $8.20,
Nov,2015,7.76,.61,.32,27,87,39.60,.73,27.82,
Feb,2016,8.00,.68,.36,150,150,46.30,.62,17.77,

Amcor Last Sale Price $13.65,
Nov,2015,13.75,.25,.25,250,111,19.40,.49,23.87,
Nov,2015,14.00,.15,.16,1006,1122,19.00,.35,14.32,
Dec,2015,13.86,.32,.29,100,556,20.20,.47,17.46,
Dec,2015,14.30,.17,.13,540,934,19.80,.31,9.00,
Jan,2016,14.25,.28,.28,192,1230,17.90,.39,8.08,

AMP Last Sale Price $5.73,
Nov,2015,5.75,.14,.20,100,2120,24.00,.52,32.99,
Nov,2015,6.00,.06,.05,7899,9780,23.70,.27,12.51,
Nov,2015,6.50,.01,.02,500,500,24.50,.04,1.14,
Nov,2015,6.75,.00,.01,65,8038,25.00,.01,.23,
Dec,2015,5.75,.19,.23,50,857,23.40,.54,24.70,
Dec,2015,5.76,.19,.23,110,150,23.30,.53,24.05,
Dec,2015,6.00,.09,.09,12937,12365,22.10,.33,11.05,
Dec,2015,6.01,.09,.08,506,814,22.10,.32,11.05,
Dec,2015,6.25,.03,.03,200,2897,21.20,.16,3.90,
Dec,2015,6.26,.03,.07,554,1178,21.20,.16,3.90,
Jan,2016,6.00,.14,.27,1200,1330,21.40,.40,10.15,
Jan,2016,6.01,.14,.13,100,300,21.30,.40,10.15,
Feb,2016,6.25,.12,.14,110,1820,22.00,.32,6.42,
Mar,2016,0.01,5.62,5.70,30,1770,-,-,-,
Mar,2016,6.25,.12,.21,20,3614,21.10,.34,5.02,
Mar,2016,6.51,.05,.09,800,1168,20.70,.23,2.18,
Jun,2016,0.01,5.65,5.72,20,730,-,-,-,
Jun,2016,6.25,.20,.26,130,230,22.70,.43,5.35,

Ansell Last Sale Price $20.12,
Nov,2015,20.00,.76,.64,5,119,31.10,.57,41.14,
Nov,2015,20.50,.51,.36,18,28,30.10,.45,32.72,
Nov,2015,21.00,.32,.20,200,162,29.40,.33,20.41,
Nov,2015,21.50,.19,.13,40,140,28.80,.23,11.99,
Dec,2015,20.50,.75,.57,200,50,30.70,.48,27.58,

ANZ Banking Grp Last Sale Price $27.21,
Nov,2015,0.01,26.29,28.01,240,2240,-,-,-,
Nov,2015,24.01,2.48,2.91,20,2230,33.40,.93,-,
Nov,2015,26.01,.89,.90,10,43,25.80,.77,-,
Nov,2015,26.50,.87,.95,205,130,24.80,.69,7.67,
Nov,2015,27.00,.54,.54,800,107,24.00,.59,15.57,
Nov,2015,27.01,.40,.42,162,321,24.00,.58,9.34,
Nov,2015,27.50,.30,.28,315,2222,23.40,.47,14.61,
Nov,2015,27.51,.24,.20,4070,270,23.40,.47,11.50,
Nov,2015,28.00,.16,.15,1908,4410,23.10,.36,7.67,
Nov,2015,28.01,.13,.16,797,5375,22.20,.35,5.99,
Nov,2015,28.50,.09,.06,1494,4501,23.00,.26,4.07,
Nov,2015,28.51,.08,.10,1099,821,23.00,.26,3.83,
Nov,2015,29.00,.04,.04,6730,12905,23.30,.18,2.16,
Nov,2015,29.01,.04,.04,2030,8896,23.30,.18,2.16,
Nov,2015,29.50,.03,.02,873,13224,23.80,.13,1.20,
Nov,2015,29.51,.03,.09,50,506,23.80,.12,1.20,
Nov,2015,30.00,.01,.03,230,2003,24.50,.09,.72,
Nov,2015,30.01,.01,.04,1429,2967,24.50,.09,.72,
Nov,2015,30.50,.01,.11,50,911,25.20,.06,.48,
Nov,2015,31.01,.01,.01,1070,1640,25.90,.04,.34,
Nov,2015,31.51,.00,.03,300,1030,26.60,.03,.19,
Dec,2015,24.00,3.23,5.00,10,50,32.60,.88,.41,
Dec,2015,26.00,1.37,1.40,20,80,26.40,.73,4.24,
Dec,2015,26.50,1.00,1.04,1216,18,25.40,.66,7.80,
Dec,2015,26.51,.88,.89,100,-,25.40,.66,4.93,
Dec,2015,27.00,.69,.75,444,260,24.50,.59,13.28,
Dec,2015,27.01,.64,1.15,3541,3603,24.40,.58,12.05,
Dec,2015,27.50,.47,.44,104,454,23.60,.50,12.73,
Dec,2015,27.51,.43,.40,245,10,23.20,.50,11.77,
Dec,2015,28.00,.30,.31,504,1241,22.80,.42,8.21,
Dec,2015,28.01,.29,.98,710,2602,22.80,.41,8.08,
Dec,2015,28.50,.19,.22,449,3327,22.20,.33,5.20,
Dec,2015,28.51,.19,.16,2717,2544,22.20,.33,5.06,
Dec,2015,29.00,.12,.09,355,4328,21.70,.25,3.15,
Dec,2015,29.01,.12,.10,150,482,21.70,.25,3.15,
Dec,2015,29.50,.07,.07,195,7267,21.40,.18,1.92,
Dec,2015,29.51,.07,.19,8,1066,21.40,.18,1.92,
Dec,2015,30.00,.04,.11,406,3920,21.20,.13,1.10,
Dec,2015,30.01,.04,.12,690,5069,21.20,.13,1.10,
Dec,2015,30.50,.03,.10,45,169,21.20,.09,.68,
Dec,2015,31.50,.01,.07,50,110,21.40,.04,.22,
Dec,2015,34.01,-,.03,10,896,22.10,-,.68,
Dec,2015,35.01,-,.01,105,1265,22.40,-,.41,
Dec,2015,36.51,-,.03,6,50,22.90,-,.82,
Jan,2016,26.00,1.45,1.45,100,23,22.90,.72,3.54,
Jan,2016,27.50,.63,.72,10,8,20.60,.54,9.29,
Jan,2016,28.00,.46,.48,2750,125,19.90,.46,6.71,
Jan,2016,28.51,.32,.85,355,355,19.40,.39,4.64,
Jan,2016,29.00,.22,.25,2885,2963,19.00,.32,3.17,
Jan,2016,29.01,.22,.41,20,20,19.00,.32,3.17,
Jan,2016,29.50,.14,.29,400,616,18.80,.25,2.14,
Jan,2016,29.51,.14,.48,40,40,18.70,.25,2.14,
Jan,2016,30.00,.10,.10,40,5803,18.70,.20,1.47,
Jan,2016,30.01,.10,.11,85,290,18.70,.20,1.47,
Jan,2016,30.50,.07,.23,200,1273,18.70,.15,.96,
Jan,2016,31.00,.04,.14,500,960,18.70,.11,.66,
Feb,2016,24.50,2.84,2.80,3,130,27.70,.81,1.47,
Feb,2016,29.50,.26,.73,16,54,19.50,.31,2.93,
Feb,2016,30.00,.19,.52,2000,2085,19.20,.25,2.09,
Feb,2016,30.50,.13,.40,200,1339,19.00,.20,1.47,
Feb,2016,31.00,.10,.30,516,1706,18.90,.16,1.07,
Feb,2016,32.00,.04,.13,400,400,18.80,.10,.51,
Mar,2016,28.00,.85,.82,10,1370,21.80,.51,7.86,
Mar,2016,28.50,.67,.65,40,254,21.30,.46,6.16,
Mar,2016,29.00,.53,.90,94,719,20.90,.40,4.82,
Mar,2016,29.50,.41,.83,9,1400,20.50,.35,3.72,
Mar,2016,30.00,.30,.34,95,3590,20.20,.30,2.80,
Mar,2016,30.01,.30,.69,6,40,20.20,.30,2.80,
Mar,2016,31.00,.17,.33,90,1612,19.70,.21,1.56,
Mar,2016,32.00,.09,.21,10,320,19.40,.14,.83,
Mar,2016,32.01,.09,.11,710,807,19.40,.14,.83,
Mar,2016,36.51,.01,.07,20,147,19.20,.01,-,
Jun,2016,27.00,1.57,2.33,25,25,23.00,.63,7.67,
Jun,2016,28.00,1.14,1.16,200,426,22.30,.56,6.43,
Jun,2016,29.00,.80,1.35,50,670,21.70,.48,4.48,
Jun,2016,29.01,.69,1.10,17,934,21.70,.48,3.89,
Jun,2016,30.51,.38,.64,10,90,20.70,.35,2.11,
Jun,2016,31.01,.30,.51,8,272,20.50,.32,1.69,
Jun,2016,32.00,.22,.43,9500,10073,20.10,.25,1.21,
Jun,2016,32.01,.19,.17,495,1041,20.10,.25,1.07,
Jun,2016,32.51,.16,.28,215,258,20.00,.22,.87,
Jun,2016,33.01,.13,.11,30,339,20.00,.19,.70,
Jun,2016,33.51,.10,.27,56,3806,20.00,.16,.56,
Sep,2016,31.01,.54,.49,455,10,20.70,.39,2.16,
Sep,2016,32.01,.38,.56,126,166,20.30,.32,1.52,
Dec,2016,30.00,.88,.86,60,1610,21.70,.49,2.81,
Jun,2018,26.00,3.02,2.75,70,30,26.10,.76,2.49,

ASX Last Sale Price $41.22,
Nov,2015,40.00,1.60,1.83,5,1115,18.40,.76,12.02,
Nov,2015,41.00,.94,.68,50,280,17.90,.59,22.93,
Nov,2015,41.50,.69,1.03,10,10,17.70,.49,21.82,
Nov,2015,42.00,.48,.56,200,205,17.50,.39,15.18,
Nov,2015,43.00,.21,.23,44,37,17.30,.22,6.64,
Nov,2015,44.00,.08,.23,250,250,17.20,.10,2.53,
Nov,2015,44.50,.04,.07,42,52,17.20,.06,1.42,
Dec,2015,40.58,1.52,1.60,12,446,18.70,.65,15.90,
Dec,2015,42.07,.78,.81,30,107,18.40,.44,14.10,
Dec,2015,43.06,.47,.46,10,10,18.40,.31,8.40,
Dec,2015,43.55,.35,.40,150,150,18.50,.25,6.42,
Dec,2015,44.54,.20,.32,50,80,18.80,.16,3.61,
Jan,2016,41.00,1.64,1.76,10,38,17.40,.61,13.82,
Jan,2016,41.50,1.37,1.35,403,468,17.20,.55,13.33,
Jan,2016,42.00,1.14,1.19,120,186,17.00,.50,11.04,
Jan,2016,42.50,.93,.85,6,-,16.90,.44,9.05,
Mar,2016,45.50,.48,.63,50,115,18.00,.27,2.94,
Mar,2016,46.00,.40,.49,50,95,17.90,.24,2.40,
Mar,2016,47.50,.22,.29,50,134,17.90,.16,1.33,
Jun,2016,43.00,1.65,1.95,5,5,19.00,.52,6.14,

Alumina Last Sale Price $1.09,
Dec,2015,1.10,.06,.06,200,100,42.90,.52,41.19,
Dec,2015,1.15,.04,.04,110,100,41.70,.40,27.46,
Dec,2015,1.20,.03,.04,75,1625,41.00,.29,17.16,
Dec,2015,1.25,.01,.01,795,800,40.50,.20,10.30,
Jan,2016,1.15,.06,.07,3000,-,40.10,.45,22.18,
Mar,2016,1.00,.16,.17,500,1300,42.00,.70,16.13,
Jun,2016,1.00,.17,.23,50,50,38.40,.71,12.01,

Aurizon Hldgs Last Sale Price $5.17,
Nov,2015,5.25,.11,.07,772,1468,24.20,.45,26.47,
Dec,2015,5.00,.28,.26,122,2000,23.60,.70,15.85,
Dec,2015,5.25,.14,.11,546,17682,21.90,.48,19.45,
Dec,2015,5.50,.05,.05,4500,1200,20.80,.25,7.20,
Jan,2016,5.25,.20,.16,934,3800,21.70,.52,15.52,

Bendigo&Adelaide Bk Last Sale Price $10.70,
Nov,2015,10.25,.57,.64,150,320,24.40,.77,14.62,
Nov,2015,10.75,.24,.25,100,683,21.90,.51,29.24,
Nov,2015,11.00,.13,.13,30,950,21.00,.35,15.84,
Nov,2015,11.25,.07,.09,590,870,20.30,.21,7.92,
Dec,2015,9.75,1.05,1.15,20,20,26.40,.86,7.31,
Dec,2015,10.00,.84,.87,20,20,25.10,.81,10.09,
Dec,2015,10.75,.33,.40,100,200,21.80,.53,22.97,
Dec,2015,11.00,.22,.29,50,100,21.10,.41,14.97,
Jan,2016,11.00,.31,.38,25,115,19.50,.46,11.62,
Jan,2016,12.00,.06,.07,46,86,18.00,.14,2.06,

BHP Billiton Last Sale Price $23.02,
Nov,2015,19.51,3.64,3.70,70,140,44.80,.93,7.36,
Nov,2015,21.51,1.86,1.90,80,130,36.30,.78,19.54,
Nov,2015,22.00,1.47,2.01,16,1050,34.40,.72,25.48,
Nov,2015,22.50,1.12,1.53,23,2271,32.80,.64,33.69,
Nov,2015,22.51,1.11,1.21,36,281,32.70,.63,33.98,
Nov,2015,23.00,.81,.78,193,2310,31.40,.54,44.74,
Nov,2015,23.01,.81,.86,75,250,31.40,.54,45.02,
Nov,2015,23.50,.56,.50,1359,2619,30.30,.44,31.71,
Nov,2015,24.00,.38,.34,2150,8873,29.50,.34,21.24,
Nov,2015,24.01,.37,.41,420,554,29.50,.33,20.95,
Nov,2015,24.50,.24,.22,9348,1935,29.10,.24,13.59,
Nov,2015,24.51,.23,.45,190,284,29.10,.24,13.31,
Nov,2015,25.00,.15,.13,2003,4430,29.00,.17,8.49,
Nov,2015,25.01,.15,.18,3479,3116,29.00,.17,8.49,
Nov,2015,25.50,.10,.07,4192,15444,29.30,.12,5.38,
Nov,2015,25.51,.10,.15,625,720,29.30,.12,5.38,
Nov,2015,26.00,.06,.08,3169,7619,29.80,.08,3.40,
Nov,2015,26.01,.06,.09,873,1338,29.80,.08,3.40,
Nov,2015,26.50,.04,.06,1873,11607,30.50,.05,2.27,
Nov,2015,26.51,.04,.05,175,195,30.50,.05,2.27,
Nov,2015,27.00,.03,.09,975,4302,31.30,.04,1.42,
Nov,2015,27.01,.03,.06,180,3523,31.30,.04,1.42,
Nov,2015,27.50,.01,.03,455,1257,32.00,.03,.85,
Nov,2015,28.50,.01,.02,400,491,33.40,.01,.40,
Nov,2015,29.51,.00,.01,125,125,34.20,-,.17,
Dec,2015,18.70,4.53,4.58,729,481,45.30,.92,6.80,
Dec,2015,20.57,2.87,4.45,1,1,39.10,.82,13.43,
Dec,2015,22.91,1.17,1.14,218,236,32.40,.57,34.14,
Dec,2015,23.38,.91,.92,884,2281,31.40,.50,29.45,
Dec,2015,23.39,.91,1.07,236,396,31.40,.49,29.28,
Dec,2015,23.85,.69,.65,534,1260,30.50,.42,22.49,
Dec,2015,24.31,.52,.48,303,2367,29.70,.35,16.83,
Dec,2015,24.32,.52,.52,1151,1252,29.70,.35,16.66,
Dec,2015,24.78,.38,.35,3153,11614,29.00,.28,12.13,
Dec,2015,25.25,.27,.25,1629,7756,28.50,.22,8.58,
Dec,2015,25.26,.27,.33,353,1144,28.50,.22,8.58,
Dec,2015,25.72,.19,.16,263,1482,28.20,.17,5.99,
Dec,2015,25.73,.19,.73,10,631,28.20,.17,5.99,
Dec,2015,26.18,.13,.14,724,5640,27.90,.13,4.21,
Dec,2015,26.19,.13,.19,296,1392,27.90,.13,4.04,
Dec,2015,26.65,.09,.14,63,4475,27.80,.09,2.75,
Dec,2015,27.12,.06,.06,1337,9168,27.80,.07,1.94,
