Derivatives: Call Options - Weekly,,,,,,,,,,,,
XAO 4929.5 at 16:35 15/1/2010  Report at 19:05 Friday 15/1/2010. Processed 20:04 Friday 15/1/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Weekly Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
CALL OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $14.09,,,,,,,,,,,,
Jan,10,0.01,14.10,-,-,-,-,-,3.70,,,
Jan,10,12.50,1.61,-,-,-,10.80,1.00,2.78,,,
Jan,10,13.00,1.11,1.32,5,81,10.80,1.00,2.78,,,
Jan,10,13.50,0.61,0.45,-,32,10.80,0.99,3.70,,,
Jan,10,14.00,0.20,0.28,1,208,13.20,0.64,20.35,,,
Jan,10,14.50,0.04,0.11,-,196,14.90,0.18,6.48,,,
Jan,10,15.00,0.00,0.11,-,10,15.10,0.02,0.37,,,
Feb,10,0.01,14.15,-,-,-,-,-,4.01,,,
Feb,10,12.50,1.65,-,-,-,14.60,1.00,3.39,,,
Feb,10,13.00,1.16,-,-,-,14.60,0.96,4.32,,,
Feb,10,13.50,0.71,0.74,6,24,14.60,0.85,7.40,,,
Feb,10,14.00,0.35,0.41,-,98,14.20,0.62,16.04,,,
Feb,10,14.50,0.13,0.14,18,112,13.70,0.32,7.71,,,
Feb,10,15.00,0.04,0.07,-,38,14.30,0.13,2.47,,,
Mar,10,0.01,13.93,-,-,-,-,-,-,,,
Mar,10,12.00,2.15,-,-,-,15.50,1.00,2.41,,,
Mar,10,12.50,1.67,-,-,-,15.40,0.98,2.78,,,
Mar,10,13.00,1.19,1.42,-,12,15.40,0.92,3.52,,,
Mar,10,13.50,0.76,0.92,-,43,15.30,0.80,6.11,,,
Mar,10,14.00,0.41,0.54,-,233,14.80,0.62,11.66,,,
Mar,10,14.50,0.17,0.26,12,171,14.20,0.40,6.29,,,
Mar,10,15.00,0.06,0.12,-,293,14.10,0.21,2.22,,,
Mar,10,15.50,0.01,0.16,-,69,14.10,0.09,0.56,,,
Mar,10,16.00,0.00,0.23,-,47,14.10,0.03,0.15,,,
Mar,10,16.50,0.00,0.44,-,5,14.10,-,-,,,
Jun,10,0.01,14.09,-,-,-,-,-,0.16,,,
Jun,10,12.00,2.17,2.47,-,2,16.00,0.96,1.21,,,
Jun,10,12.50,1.71,1.80,1,1,16.90,0.91,1.93,,,
Jun,10,13.00,1.29,1.40,-,3,16.50,0.85,3.22,,,
Jun,10,13.50,0.92,-,-,-,15.90,0.76,5.23,,,
Jun,10,14.00,0.61,0.66,-,59,15.30,0.64,8.37,,,
Jun,10,14.50,0.43,0.41,13,169,16.30,0.51,6.92,,,
Jun,10,15.00,0.23,0.29,10,11,15.20,0.38,3.78,,,
Jun,10,15.50,0.14,0.18,-,73,15.30,0.26,2.25,,,
Jun,10,16.00,0.07,0.46,-,20,15.30,0.17,1.21,,,
Sep,10,0.01,13.96,-,-,-,-,-,-,,,
Sep,10,12.50,1.86,-,-,-,17.50,0.88,2.72,,,
Sep,10,13.00,1.49,-,-,-,17.50,0.82,4.06,,,
Sep,10,13.50,1.16,-,-,1,17.50,0.74,5.81,,,
Sep,10,14.00,0.90,1.11,-,43,17.80,0.65,8.28,,,
Sep,10,14.50,0.65,0.67,-,22,17.40,0.56,6.68,,,
Sep,10,15.00,0.47,0.95,-,5,17.40,0.47,4.78,,,
Sep,10,15.50,0.32,0.39,4,43,17.20,0.38,3.29,,,
Dec,10,0.01,14.14,-,-,-,-,-,0.42,,,
Dec,10,13.00,1.70,-,-,-,21.10,0.78,4.61,,,
Dec,10,15.00,0.68,-,-,-,19.80,0.52,5.14,,,
Jun,11,14.00,1.53,1.91,-,8,23.40,0.72,7.11,,,
Dec,12,13.00,2.88,-,-,-,26.70,0.77,4.34,,,
Dec,12,18.00,1.27,1.18,-,2,26.40,0.57,3.07,,,
Jun,14,16.00,2.26,-,-,-,25.20,0.73,3.60,,,
Asciano Grp Last Sale Price $1.90,,,,,,,,,,,,
Jan,10,0.01,1.90,-,-,90,-,-,6.86,,,
Jan,10,1.57,0.34,0.12,-,50,54.50,0.97,6.86,,,
Jan,10,1.66,0.25,0.10,-,504,41.60,0.96,6.86,,,
Jan,10,1.75,0.16,0.18,100,1470,27.40,0.95,6.86,,,
Jan,10,1.85,0.07,0.06,6,295,24.70,0.74,20.58,,,
Jan,10,1.96,0.03,0.03,-,85,32.90,0.33,34.30,,,
Jan,10,2.18,0.00,-,-,-,35.70,0.02,1.37,,,
Feb,10,0.01,1.90,-,-,-,-,-,4.57,,,
Feb,10,1.66,0.26,0.14,150,151,30.90,0.92,6.86,,,
Feb,10,1.75,0.18,0.13,-,415,30.30,0.82,13.72,,,
Feb,10,1.85,0.11,0.09,9,1512,29.40,0.65,25.16,,,
Feb,10,1.96,0.05,0.07,-,148,28.90,0.42,22.87,,,
Feb,10,2.18,0.01,-,-,-,29.80,0.10,4.12,,,
Mar,10,0.01,1.91,-,-,-,-,-,4.12,,,
Mar,10,1.13,0.78,-,-,10,36.10,1.00,2.74,,,
Mar,10,1.22,0.69,-,-,40,35.90,1.00,2.74,,,
Mar,10,1.31,0.60,-,-,20,35.80,0.99,2.74,,,
Mar,10,1.40,0.52,0.52,-,310,35.60,0.98,4.12,,,
Mar,10,1.48,0.44,-,-,90,35.50,0.96,4.12,,,
Mar,10,1.57,0.35,0.37,10,57,35.30,0.92,6.86,,,
Mar,10,1.66,0.28,0.16,-,2370,35.20,0.85,10.98,,,
Mar,10,1.75,0.20,0.13,-,508,33.70,0.76,15.09,,,
Mar,10,1.96,0.08,0.10,7,161,30.00,0.46,21.95,,,
Mar,10,2.18,0.04,-,-,-,35.80,0.23,9.61,,,
Mar,10,2.40,0.01,0.03,-,40,36.40,0.09,2.74,,,
Jun,10,0.01,1.93,-,-,-,-,-,4.18,,,
Jun,10,1.40,0.54,0.40,-,55,35.50,0.94,4.77,,,
Jun,10,1.50,0.46,0.41,-,142,35.30,0.89,6.56,,,
