Derivatives: Call Options - Weekly,,,,,,,,,,,,
XAO 4574.1 at 16:41 18/6/2010  Report at 19:06 Friday 18/6/2010. Processed 20:42 Friday 18/6/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Weekly Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
CALL OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $14.83,,,,,,,,,,,,
Jun,10,0.01,14.83,-,-,-,-,1.00,3.52,,,
Jun,10,12.00,2.84,2.47,-,-,30.00,1.00,3.52,,,
Jun,10,12.50,2.34,2.06,-,1,29.40,1.00,3.52,,,
Jun,10,13.00,1.84,1.12,-,5,28.80,1.00,3.52,,,
Jun,10,13.50,1.34,1.32,-,10,28.20,1.00,3.52,,,
Jun,10,14.00,0.84,0.88,2,259,22.20,0.98,5.27,,,
Jun,10,14.50,0.38,0.31,18,277,20.40,0.82,17.58,,,
Jun,10,15.00,0.07,0.13,16,300,18.50,0.33,26.37,,,
Jun,10,15.50,0.01,0.03,40,352,18.70,0.04,1.76,,,
Jun,10,16.00,-,0.04,-,58,18.70,-,12.31,,,
Jun,10,16.50,-,-,-,-,18.70,-,-,,,
Jul,10,0.01,14.90,-,-,-,-,-,4.69,,,
Jul,10,13.00,1.91,-,-,-,19.00,0.99,4.40,,,
Jul,10,13.50,1.43,-,-,-,18.90,0.95,5.57,,,
Jul,10,14.00,0.98,0.53,-,4,18.70,0.85,8.79,,,
Jul,10,14.50,0.60,0.45,10,66,18.60,0.69,15.82,,,
Jul,10,15.00,0.29,0.33,6,91,17.00,0.48,17.29,,,
Jul,10,15.50,0.13,0.21,-,33,17.20,0.27,7.62,,,
Jul,10,16.00,0.04,0.09,-,16,16.60,0.11,2.34,,,
Jul,10,16.50,0.01,-,-,2,16.60,0.04,0.59,,,
Aug,10,0.01,14.96,-,-,-,-,-,4.75,,,
Aug,10,13.00,1.97,-,-,-,18.60,0.96,4.75,,,
Aug,10,13.50,1.50,1.35,-,17,18.60,0.91,6.15,,,
Aug,10,14.00,1.09,1.25,1,1,18.50,0.81,9.14,,,
Aug,10,14.50,0.73,0.82,1,28,18.50,0.68,14.24,,,
Aug,10,15.00,0.45,0.36,-,30,18.20,0.51,15.82,,,
