Derivatives: Call Options - Weekly,,,,,,,,,,,,
XAO 4942.2 at 16:42 8/1/2010  Report at 19:05 Friday 8/1/2010. Processed 12:17 Saturday 9/1/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Weekly Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
CALL OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $14.14,,,,,,,,,,,,
Jan,10,0.01,14.16,-,-,-,-,-,3.69,,,
Jan,10,12.50,1.67,-,-,-,16.30,1.00,3.07,,,
Jan,10,13.00,1.17,1.27,5,81,16.00,0.99,3.69,,,
Jan,10,13.50,0.69,0.45,-,32,15.70,0.91,6.15,,,
Jan,10,14.00,0.27,0.33,7,207,12.90,0.67,15.98,,,
Jan,10,14.50,0.05,0.11,16,196,12.40,0.23,6.15,,,
Jan,10,15.00,0.00,0.11,-,10,12.40,0.03,0.49,,,
Feb,10,0.01,14.21,-,-,-,-,-,3.95,,,
Feb,10,12.50,1.71,-,-,-,15.70,0.99,3.69,,,
Feb,10,13.00,1.23,-,-,-,15.60,0.95,4.48,,,
Feb,10,13.50,0.79,0.77,-,21,15.50,0.84,7.64,,,
Feb,10,14.00,0.41,0.41,14,98,14.40,0.64,14.22,,,
Feb,10,14.50,0.16,0.17,77,123,13.40,0.37,8.43,,,
Feb,10,15.00,0.05,0.07,35,38,13.40,0.15,2.63,,,
Mar,10,0.01,13.98,-,-,-,-,-,-,,,
Mar,10,12.50,1.73,-,-,-,15.60,0.97,2.85,,,
Mar,10,13.00,1.25,1.42,-,12,15.50,0.92,3.52,,,
Mar,10,13.50,0.81,0.92,-,43,15.40,0.81,5.87,,,
Mar,10,14.00,0.45,0.54,-,233,14.20,0.65,10.22,,,
Mar,10,14.50,0.21,0.27,-,165,14.20,0.43,7.04,,,
Mar,10,15.00,0.07,0.12,30,293,13.80,0.24,2.51,,,
Mar,10,15.50,0.03,0.16,-,69,13.80,0.11,0.84,,,
Mar,10,16.00,0.01,0.23,-,47,13.80,0.04,0.20,,,
Mar,10,16.50,0.00,0.44,-,5,13.80,0.01,-,,,
Jun,10,0.01,14.15,-,-,-,-,-,0.23,,,
Jun,10,12.00,2.23,2.47,-,2,16.00,0.97,1.31,,,
Jun,10,12.50,1.75,-,-,-,16.00,0.92,1.77,,,
Jun,10,13.00,1.35,1.40,1,3,16.50,0.85,3.15,,,
Jun,10,13.50,0.96,-,-,-,15.90,0.77,4.99,,,
Jun,10,14.00,0.66,0.66,-,59,15.50,0.66,7.99,,,
Jun,10,14.50,0.40,0.48,1,169,14.50,0.53,6.07,,,
Jun,10,15.00,0.26,0.42,-,6,15.00,0.39,3.92,,,
Jun,10,15.50,0.16,0.18,1,73,15.30,0.28,2.46,,,
Jun,10,16.00,0.08,0.46,-,20,14.80,0.18,1.23,,,
Sep,10,0.01,14.01,-,-,-,-,-,-,,,
Sep,10,12.50,1.91,-,-,-,17.50,0.88,2.64,,,
Sep,10,13.00,1.53,-,-,-,17.50,0.82,3.89,,,
Sep,10,13.50,1.20,-,-,1,17.50,0.75,5.58,,,
Sep,10,14.00,0.92,1.11,-,43,17.50,0.66,7.77,,,
Sep,10,14.50,0.69,0.67,-,22,17.40,0.57,6.83,,,
Sep,10,15.00,0.50,0.95,-,5,17.40,0.48,4.93,,,
Sep,10,15.50,0.36,0.47,-,39,17.60,0.39,3.59,,,
Dec,10,0.01,14.19,-,-,-,-,-,0.41,,,
Dec,10,13.00,1.75,-,-,-,21.10,0.78,4.50,,,
Dec,10,15.00,0.75,-,-,-,20.40,0.53,5.49,,,
Jun,11,14.00,1.58,1.91,-,8,23.40,0.72,6.96,,,
Dec,12,13.00,2.94,-,-,-,26.70,0.77,4.30,,,
Dec,12,18.00,1.29,1.18,-,2,26.40,0.57,3.10,,,
Jun,14,16.00,2.29,-,-,-,25.20,0.73,3.63,,,
Asciano Grp Last Sale Price $1.90,,,,,,,,,,,,
Jan,10,0.01,1.89,-,-,90,-,-,4.59,,,
Jan,10,1.57,0.34,0.12,-,50,58.20,0.93,9.17,,,
Jan,10,1.66,0.26,0.10,438,504,54.10,0.87,18.34,,,
Jan,10,1.75,0.16,0.10,-,1470,31.80,0.87,13.76,,,
Jan,10,1.85,0.07,0.07,25,289,26.50,0.68,27.52,,,
Jan,10,1.96,0.03,0.03,13,85,29.00,0.34,22.93,,,
Feb,10,0.01,1.90,-,-,-,-,-,3.93,,,
Feb,10,1.66,0.26,0.14,-,174,31.70,0.90,7.86,,,
Feb,10,1.75,0.18,0.13,-,415,31.50,0.79,13.76,,,
Feb,10,1.85,0.12,0.12,1500,1512,31.10,0.63,27.52,,,
Feb,10,1.96,0.06,0.07,108,106,29.90,0.43,23.59,,,
Mar,10,0.01,1.90,-,-,-,-,-,3.75,,,
Mar,10,1.13,0.78,-,-,10,35.90,1.00,2.50,,,
Mar,10,1.22,0.69,-,-,40,35.70,1.00,2.50,,,
Mar,10,1.31,0.59,-,-,20,35.50,0.99,2.50,,,
Mar,10,1.40,0.51,0.52,15,310,35.30,0.98,3.75,,,
Mar,10,1.48,0.44,-,-,90,35.10,0.96,5.00,,,
Mar,10,1.57,0.35,0.38,10,57,34.90,0.91,6.25,,,
Mar,10,1.66,0.28,0.16,-,2370,34.70,0.84,11.26,,,
Mar,10,1.75,0.20,0.13,92,508,32.60,0.76,15.01,,,
Mar,10,1.96,0.09,0.12,25,154,31.20,0.47,21.26,,,
Mar,10,2.40,0.01,0.03,-,40,31.20,0.07,1.75,,,
Jun,10,0.01,1.93,-,-,-,-,-,4.59,,,
Jun,10,1.40,0.55,0.40,-,55,38.10,0.92,5.73,,,
Jun,10,1.50,0.46,0.41,-,142,38.00,0.87,7.45,,,
Jun,10,1.60,0.39,0.29,-,43,37.90,0.81,10.32,,,
Jun,10,1.70,0.32,0.33,10,128,37.80,0.74,13.76,,,
Jun,10,1.80,0.26,0.23,-,163,36.80,0.67,18.34,,,
Jun,10,1.90,0.20,0.19,150,146,35.00,0.59,22.36,,,
Jun,10,2.00,0.14,-,-,7,34.30,0.50,16.62,,,
Sep,10,0.01,1.95,-,-,-,-,-,4.46,,,
Sep,10,1.60,0.41,-,-,10,34.40,0.81,8.92,,,
Sep,10,1.70,0.35,-,-,-,34.40,0.75,11.53,,,
Sep,10,1.80,0.29,0.30,100,562,34.80,0.68,14.87,,,
Sep,10,1.90,0.25,-,-,50,34.70,0.61,18.22,,,
Sep,10,2.00,0.20,0.17,-,15,34.10,0.54,14.50,,,
Sep,10,2.25,0.12,0.14,375,375,34.10,0.38,8.55,,,
Dec,10,0.01,1.97,-,-,-,-,-,4.68,,,
Dec,10,1.66,0.44,0.26,-,7,38.30,0.75,11.28,,,
Dec,10,1.75,0.39,0.32,-,10,38.00,0.71,13.21,,,
Dec,10,1.96,0.27,0.20,-,61,35.40,0.59,14.86,,,
Dec,12,1.13,0.97,-,-,10,34.60,0.94,3.75,,,
Dec,12,1.31,0.86,-,-,25,34.60,0.90,4.91,,,
Dec,12,1.66,0.67,0.06,-,-,34.60,0.77,7.68,,,
Dec,12,1.75,0.61,-,-,-,33.90,0.77,8.40,,,
Dec,12,1.96,0.54,-,-,-,34.60,0.67,9.56,,,
Sep,14,1.70,0.94,-,-,-,44.70,0.82,8.28,,,
Sep,14,1.80,0.90,-,-,-,44.70,0.82,9.00,,,
Amcor Ltd Last Sale Price $6.16,,,,,,,,,,,,
Jan,10,0.01,6.17,6.14,5,15,-,-,4.23,,,
Jan,10,5.26,0.91,0.90,-,75,2.00,1.00,2.82,,,
Jan,10,5.49,0.68,0.76,19,34,2.00,1.00,2.82,,,
Jan,10,5.72,0.46,0.47,145,261,19.50,0.96,4.23,,,
Jan,10,5.95,0.25,0.30,-,642,18.40,0.82,11.29,,,
Jan,10,6.18,0.11,0.11,284,430,18.80,0.51,29.63,,,
Jan,10,6.41,0.03,0.06,-,35,18.40,0.20,8.46,,,
Jan,10,6.64,0.01,0.06,-,50,18.40,0.05,1.41,,,
Feb,10,0.01,6.01,-,-,-,-,-,-,,,
Feb,10,4.81,1.38,0.88,-,-,24.30,1.00,3.02,,,
Feb,10,5.26,0.93,0.98,-,50,24.10,0.97,3.63,,,
Feb,10,5.49,0.71,-,-,50,24.00,0.93,5.44,,,
Feb,10,5.72,0.52,0.27,-,26,23.90,0.84,9.07,,,
Feb,10,5.95,0.34,0.34,12,182,22.90,0.71,15.12,,,
Feb,10,6.18,0.19,0.19,7,289,21.40,0.54,22.98,,,
Feb,10,6.41,0.10,0.08,84,110,20.90,0.35,11.49,,,
Feb,10,6.64,0.06,0.10,-,19,23.20,0.22,6.65,,,
Mar,10,0.01,6.03,-,-,-,-,-,-,,,
Mar,10,4.12,2.06,2.00,-,18,23.10,1.00,1.54,,,
Mar,10,4.81,1.38,-,-,13,23.00,0.99,1.92,,,
Mar,10,5.03,1.16,0.85,-,38,23.00,0.98,1.92,,,
Mar,10,5.26,0.93,-,-,-,23.00,0.95,2.31,,,
Mar,10,5.49,0.71,0.47,-,51,22.90,0.90,3.46,,,
Mar,10,5.72,0.52,0.50,50,502,22.90,0.81,6.16,,,
Mar,10,5.95,0.35,0.36,-,119,22.70,0.69,10.77,,,
Mar,10,6.18,0.22,0.18,-,151,22.00,0.56,16.54,,,
Mar,10,6.41,0.12,0.15,3,128,21.40,0.41,8.85,,,
Mar,10,6.64,0.06,-,-,-,21.40,0.28,4.62,,,
Apr,10,0.01,6.05,-,-,-,-,-,-,,,
Apr,10,5.26,0.95,-,-,30,27.10,0.89,2.65,,,
Apr,10,5.49,0.75,-,-,40,26.60,0.84,4.23,,,
Apr,10,5.72,0.54,0.30,25,26,22.00,0.79,5.03,,,
Apr,10,5.95,0.36,-,-,-,21.10,0.69,8.20,,,
Apr,10,6.18,0.28,0.23,-,154,24.50,0.57,15.08,,,
Apr,10,6.41,0.17,0.25,35,39,22.00,0.45,8.73,,,
Apr,10,6.64,0.10,-,-,-,21.80,0.34,5.29,,,
May,10,0.01,6.08,-,-,-,-,-,-,,,
May,10,5.26,0.95,-,-,-,25.00,0.89,2.12,,,
May,10,5.49,0.76,-,-,-,24.90,0.83,3.60,,,
May,10,5.72,0.57,-,-,-,23.90,0.77,5.71,,,
May,10,5.95,0.45,-,-,80,24.90,0.67,9.95,,,
May,10,6.18,0.33,-,-,1,24.70,0.58,13.76,,,
May,10,6.41,0.19,0.22,-,109,21.30,0.47,8.04,,,
May,10,6.64,0.16,-,-,-,23.50,0.39,6.56,,,
Jun,10,0.01,6.10,-,-,1557,-,-,-,,,
Jun,10,3.89,2.29,1.63,-,1,23.40,1.00,0.71,,,
Jun,10,4.12,2.06,1.46,-,29,23.30,1.00,0.88,,,
Jun,10,4.58,1.61,-,-,6,23.20,0.98,0.88,,,
Jun,10,4.81,1.38,-,-,57,23.20,0.97,1.06,,,
Jun,10,5.03,1.17,0.43,-,30,23.10,0.94,1.23,,,
Jun,10,5.26,0.95,-,-,-,23.10,0.90,1.94,,,
Jun,10,5.49,0.76,-,-,52,23.00,0.84,3.17,,,
Jun,10,5.72,0.61,0.45,-,10,24.00,0.76,6.00,,,
Jun,10,5.95,0.45,-,-,-,22.60,0.68,8.46,,,
Jun,10,6.18,0.33,0.23,-,14,22.10,0.59,11.46,,,
Jun,10,6.41,0.24,0.30,-,83,22.40,0.50,8.46,,,
Jun,10,6.64,0.17,-,-,-,22.40,0.40,6.17,,,
Sep,10,0.01,5.99,-,-,-,-,-,-,,,
Sep,10,4.75,1.47,1.49,-,30,29.40,0.91,1.26,,,
Sep,10,5.25,1.02,-,-,-,26.00,0.85,2.63,,,
Sep,10,5.50,0.83,0.73,-,1,24.90,0.80,4.00,,,
Sep,10,5.75,0.71,-,-,-,27.10,0.72,6.98,,,
Sep,10,6.00,0.55,-,-,-,25.00,0.67,8.81,,,
Sep,10,6.25,0.41,0.45,-,10,24.00,0.59,9.38,,,
Sep,10,6.50,0.33,-,-,-,24.50,0.52,7.44,,,
Sep,10,6.75,0.25,-,-,-,24.50,0.44,5.72,,,
Dec,10,0.01,6.07,-,-,-,-,-,-,,,
Dec,10,5.50,0.94,-,-,-,29.10,0.77,4.82,,,
Dec,10,5.75,0.81,0.86,20,20,29.10,0.72,6.69,,,
Dec,10,6.00,0.67,-,-,-,28.50,0.67,8.63,,,
Dec,10,6.25,0.55,-,-,-,27.90,0.61,9.31,,,
Dec,10,6.50,0.44,-,-,-,27.30,0.56,7.45,,,
Dec,10,6.75,0.35,0.40,4,4,26.80,0.50,5.93,,,
AMP Ltd Last Sale Price $6.43,,,,,,,,,,,,
Jan,10,0.01,6.43,-,-,21,-,-,4.05,,,
Jan,10,5.00,1.44,-,-,10,20.40,1.00,2.70,,,
Jan,10,5.25,1.19,-,-,60,20.40,1.00,2.70,,,
Jan,10,5.50,0.94,0.98,-,84,20.40,1.00,2.70,,,
Jan,10,5.75,0.69,0.89,-,61,20.40,0.99,4.05,,,
Jan,10,6.00,0.47,0.66,520,485,26.90,0.88,10.81,,,
Jan,10,6.25,0.27,0.32,62,636,25.50,0.71,22.98,,,
Jan,10,6.50,0.13,0.16,101,1143,25.40,0.46,33.79,,,
Jan,10,6.51,0.13,-,-,-,26.10,0.45,33.79,,,
Jan,10,6.75,0.06,0.07,225,722,27.80,0.25,16.22,,,
Jan,10,6.76,0.07,0.17,17,29,29.40,0.26,17.57,,,
Jan,10,7.00,0.04,0.07,149,1904,32.40,0.15,9.46,,,
Jan,10,7.01,0.04,-,-,-,31.90,0.14,9.46,,,
Jan,10,7.25,0.01,0.04,130,392,32.90,0.07,4.05,,,
Jan,10,7.50,0.01,0.04,45,291,33.30,0.03,1.35,,,
Feb,10,0.01,6.46,-,-,-,-,-,4.05,,,
