Derivatives: Call Options - Weekly,,,,,,,,,,,,
XAO 4925.9 at 16:34 1/4/2010  Report at 17:15 Thursday 1/4/2010. Processed 18:19 Thursday 1/4/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Weekly Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
CALL OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $15.07,,,,,,,,,,,,
Apr,10,0.01,15.11,-,-,-,-,-,3.76,,,
Apr,10,13.00,2.11,-,-,-,16.50,1.00,3.34,,,
Apr,10,13.50,1.62,1.10,-,-,16.40,0.99,3.76,,,
Apr,10,14.00,1.13,1.14,-,13,16.20,0.96,4.59,,,
Apr,10,14.50,0.68,0.68,25,299,16.10,0.84,8.77,,,
Apr,10,15.00,0.30,0.35,90,214,14.50,0.60,19.63,,,
Apr,10,15.50,0.10,0.18,30,92,14.30,0.28,7.93,,,
Apr,10,16.00,0.02,0.03,20,-,14.10,0.08,1.67,,,
May,10,0.01,15.15,-,-,-,-,-,4.04,,,
May,10,13.00,2.15,-,-,-,15.20,1.00,3.61,,,
May,10,13.50,1.67,-,-,-,15.20,0.98,4.04,,,
May,10,14.00,1.20,-,-,3,15.10,0.92,5.31,,,
May,10,14.50,0.78,0.69,-,32,15.10,0.80,8.71,,,
May,10,15.00,0.43,0.43,81,143,14.50,0.61,15.30,,,
May,10,15.50,0.20,0.23,6,71,14.10,0.37,8.29,,,
May,10,16.00,0.07,0.12,10,10,13.90,0.18,3.19,,,
Jun,10,0.01,15.21,-,-,-,-,-,4.27,,,
Jun,10,12.00,3.19,2.47,-,-,16.70,1.00,3.42,,,
Jun,10,12.50,2.69,2.06,-,1,16.60,0.99,3.56,,,
Jun,10,13.00,2.20,1.40,-,5,13.70,0.99,3.70,,,
Jun,10,13.50,1.74,1.80,5,5,16.60,0.94,4.70,,,
Jun,10,14.00,1.29,1.18,-,57,16.30,0.88,6.27,,,
Jun,10,14.50,0.90,0.42,-,210,15.90,0.76,9.26,,,
Jun,10,15.00,0.54,0.70,-,226,14.60,0.62,13.25,,,
Jun,10,15.50,0.30,0.37,27,227,14.60,0.43,8.55,,,
Jun,10,16.00,0.14,0.20,1,42,14.00,0.26,3.99,,,
Jul,10,0.01,15.29,-,-,-,-,-,4.54,,,
Jul,10,13.00,2.27,-,-,-,15.10,0.98,4.14,,,
Jul,10,13.50,1.81,-,-,-,15.10,0.94,4.84,,,
Jul,10,14.00,1.38,-,-,1,15.10,0.87,6.16,,,
Jul,10,14.50,1.01,0.54,-,1,16.10,0.75,8.98,,,
Jul,10,15.00,0.69,0.79,-,12,15.50,0.62,12.41,,,
Jul,10,15.50,0.42,-,-,2,15.10,0.47,8.58,,,
Jul,10,16.00,0.24,0.20,-,8,14.70,0.33,4.84,,,
Jul,10,16.50,0.13,-,-,-,14.40,0.20,2.52,,,
Aug,10,13.00,2.34,-,-,-,15.40,0.96,4.34,,,
Aug,10,13.50,1.88,-,-,-,15.40,0.92,5.07,,,
Aug,10,14.00,1.46,-,-,-,15.40,0.85,6.30,,,
Aug,10,14.50,1.08,-,-,-,15.40,0.75,8.35,,,
Aug,10,15.00,0.79,0.48,-,10,15.90,0.63,11.78,,,
Aug,10,15.50,0.53,-,-,-,15.60,0.50,8.59,,,
Aug,10,16.00,0.32,-,-,20,15.00,0.37,5.24,,,
Sep,10,0.01,15.11,-,-,-,-,-,0.69,,,
Sep,10,13.00,2.36,-,-,-,16.00,0.95,3.99,,,
Sep,10,13.50,1.90,-,-,7,15.10,0.91,4.54,,,
Sep,10,14.00,1.49,1.11,-,43,15.50,0.84,5.78,,,
Sep,10,14.50,1.13,1.16,13,190,15.90,0.75,7.71,,,
Sep,10,15.00,0.79,0.50,-,11,15.00,0.64,9.91,,,
Sep,10,15.50,0.53,0.61,-,136,15.00,0.52,7.29,,,
Sep,10,16.00,0.34,0.38,-,15,14.90,0.40,4.68,,,
Dec,10,0.01,15.30,-,-,-,-,-,2.18,,,
Dec,10,13.00,2.43,-,-,-,17.80,0.91,3.27,,,
Dec,10,13.50,2.02,-,-,-,17.90,0.86,4.08,,,
Dec,10,14.00,1.64,-,-,-,17.70,0.80,5.13,,,
Dec,10,14.50,1.28,-,-,-,17.10,0.73,6.49,,,
Dec,10,15.00,1.00,1.01,-,31,17.00,0.65,8.39,,,
Dec,10,15.50,0.75,0.53,-,4,16.80,0.57,6.76,,,
Dec,10,16.00,0.55,0.62,-,16,16.60,0.48,4.94,,,
Mar,11,0.01,15.50,-,-,-,-,-,2.98,,,
Mar,11,14.00,1.83,-,-,-,18.80,0.79,5.14,,,
Mar,11,14.50,1.51,-,-,-,18.60,0.73,6.39,,,
Mar,11,15.00,1.22,1.26,6,6,18.00,0.67,7.75,,,
Mar,11,15.50,0.98,-,-,-,18.00,0.60,6.63,,,
Mar,11,16.00,0.78,0.81,10,10,17.90,0.53,5.28,,,
Jun,11,14.00,1.99,1.33,-,13,18.70,0.81,4.94,,,
Dec,12,13.00,3.38,-,-,-,17.50,0.87,3.18,,,
Dec,12,17.00,1.58,1.15,-,1,19.30,0.59,3.85,,,
Dec,12,18.00,1.30,0.95,-,8,19.80,0.59,3.18,,,
