National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-05-25T23:15:08+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,May 20,May 21,May 22,May 23,May 24,,
Volume ('000s),,
Industrials,"817,078","805,074","968,184","1,003,944","983,021",,
Mining,"691,374","798,084","852,022","952,659","698,906",,
TOTAL,"1,508,452","1,603,158","1,820,206","1,956,603","1,681,927",,
Value ($'000s),,
Industrials,"2,888,440","3,480,837","3,938,828","5,310,196","4,981,756",,
Mining,"831,279","973,187","1,093,962","1,230,762","891,937",,
TOTAL,"3,719,719","4,454,024","5,032,790","6,540,958","5,873,693",,
MOVEMENTS:,,
Industrials,,
Up,330,232,230,155,170,,
Down,223,346,307,433,400,,
Steady,150,145,164,122,142,,
TOTAL,703,723,701,710,712,,
Mining,,
Up,138,194,180,129,185,,
Down,318,243,247,306,239,,
Steady,217,235,234,248,230,,
TOTAL,673,672,661,683,654,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"210,182","213,944","203,339","361,066","416,849",,
Put Options,"205,043","173,667","268,006","530,132","496,418",,
TOTAL,"415,225","387,611","471,345","891,198","913,267",,
Value ($'000s),,
Call Options,"23,164","49,945","34,434","70,148","66,498",,
Put Options,"12,831","11,300","12,278","25,692","50,937",,
TOTAL,"35,995","61,245","46,712","95,840","117,435",,
MOVEMENTS:,,
Call Options,,
Up,459,162,265,185,117,,
Down,169,348,312,636,757,,
Steady,20,10,14,11,11,,
TOTAL,648,520,591,832,885,,
Put Options,,
Up,100,271,266,677,828,,
Down,456,267,283,280,187,,
Steady,16,18,23,17,22,,
TOTAL,572,556,572,974,"1,037",,
,
