National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-09-28T23:15:09+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Sep 23,Sep 24,Sep 25,Sep 26,Sep 27,,
Volume ('000s),,
Industrials,"674,735","600,645","694,703","648,595","702,066",,
Mining,"757,258","715,506","765,657","713,774","750,417",,
TOTAL,"1,431,993","1,316,151","1,460,360","1,362,369","1,452,483",,
Value ($'000s),,
Industrials,"2,455,212","2,282,472","3,159,187","2,616,119","4,002,861",,
Mining,"767,799","698,639","768,144","749,606","1,681,017",,
TOTAL,"3,223,011","2,981,111","3,927,331","3,365,725","5,683,878",,
MOVEMENTS:,,
Industrials,,
Up,213,244,345,312,342,,
Down,361,307,200,253,208,,
Steady,139,148,148,143,160,,
TOTAL,713,699,693,708,710,,
Mining,,
Up,138,150,230,212,190,,
Down,269,261,188,193,175,,
Steady,190,206,200,213,231,,
TOTAL,597,617,618,618,596,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"243,007","1,326,367","463,171","700,893","252,113",,
Put Options,"167,441","224,959","328,420","369,970","176,382",,
TOTAL,"410,448","1,551,326","791,591","1,070,863","428,495",,
Value ($'000s),,
Call Options,"170,283","812,614","71,708","161,912","55,863",,
Put Options,"15,559","23,448","42,164","49,333","9,587",,
TOTAL,"185,842","836,062","113,872","211,245","65,450",,
MOVEMENTS:,,
Call Options,,
Up,121,127,442,582,350,,
Down,416,446,257,448,251,,
Steady,11,12,20,32,29,,
TOTAL,548,585,719,"1,062",630,,
Put Options,,
Up,223,274,112,151,67,,
Down,235,244,429,596,427,,
Steady,25,25,12,24,13,,
TOTAL,483,543,553,771,507,,
,
