National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-08-31T23:15:09+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Aug 26,Aug 27,Aug 28,Aug 29,Aug 30,,
Volume ('000s),,
Industrials,"714,557","651,426","870,671","840,909","989,996",,
Mining,"1,039,903","1,129,719","874,929","874,963","717,163",,
TOTAL,"1,754,460","1,781,145","1,745,600","1,715,872","1,707,159",,
Value ($'000s),,
Industrials,"2,869,024","2,971,211","3,795,187","3,610,199","4,816,881",,
Mining,"1,092,075","748,395","1,105,265","1,159,102","1,383,498",,
TOTAL,"3,961,099","3,719,606","4,900,452","4,769,301","6,200,379",,
MOVEMENTS:,,
Industrials,,
Up,299,277,190,263,384,,
Down,274,289,362,299,226,,
Steady,137,137,136,137,130,,
TOTAL,710,703,688,699,740,,
Mining,,
Up,259,186,187,187,247,,
Down,182,242,249,213,164,,
Steady,202,204,178,202,195,,
TOTAL,643,632,614,602,606,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"275,787","284,958","382,967","592,320","264,632",,
Put Options,"156,703","219,367","285,146","396,981","167,436",,
TOTAL,"432,490","504,325","668,113","989,301","432,068",,
Value ($'000s),,
Call Options,"199,378","29,340","129,456","214,211","42,628",,
Put Options,"11,392","17,776","20,652","29,747","15,483",,
TOTAL,"210,770","47,116","150,108","243,958","58,111",,
MOVEMENTS:,,
Call Options,,
Up,374,259,196,324,336,,
Down,222,324,521,469,265,,
Steady,18,17,12,23,21,,
TOTAL,614,600,729,816,622,,
Put Options,,
Up,48,105,382,280,118,,
Down,427,371,277,418,375,,
Steady,13,29,27,30,22,,
TOTAL,488,505,686,728,515,,
,
