National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2010-10-30T23:15:09+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Oct 25,Oct 26,Oct 27,Oct 28,Oct 29,,
Volume ('000s),,
Industrials,"991,249","1,409,530","1,539,062","1,031,913","1,219,668",,
Mining,"1,989,960","1,789,375","1,687,336","1,547,658","1,810,566",,
TOTAL,"2,981,209","3,198,905","3,226,398","2,579,571","3,030,234",,
Value ($'000s),,
Industrials,"3,550,799","3,730,139","4,707,735","3,910,670","5,576,041",,
Mining,"1,898,079","1,905,504","1,928,297","1,966,963","3,205,127",,
TOTAL,"5,448,878","5,635,643","6,636,032","5,877,633","8,781,168",,
MOVEMENTS:,,
Industrials,,
Up,378,272,244,326,270,,
Down,190,319,340,247,339,,
Steady,207,194,191,192,179,,
TOTAL,775,785,775,765,788,,
Mining,,
Up,413,296,238,299,300,,
Down,265,340,421,319,333,,
Steady,172,216,187,227,214,,
TOTAL,850,852,846,845,847,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"58,872","34,656","59,482","101,633","40,245",,
Put Options,"36,971","35,165","43,223","59,119","41,826",,
TOTAL,"95,843","69,821","102,705","160,752","82,071",,
Value ($'000s),,
Call Options,"38,175","20,544","77,875","92,882","39,437",,
Put Options,"15,005","14,354","17,294","26,115","18,151",,
TOTAL,"53,180","34,898","95,169","118,997","57,588",,
MOVEMENTS:,,
Call Options,,
Up,513,189,180,354,172,,
Down,117,301,405,344,369,,
Steady,17,24,11,26,18,,
TOTAL,647,514,596,724,559,,
Put Options,,
Up,61,196,282,184,246,,
Down,453,240,257,427,231,,
Steady,8,20,14,20,23,,
TOTAL,522,456,553,631,500,,
,
