National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-04-19T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Apr 11,Apr 14,Apr 15,Apr 16,Apr 17,,
Volume ('000s),,
Industrials,"761,308","658,612","681,816","633,539","649,576",,
Mining,"812,850","613,460","526,395","585,615","686,629",,
TOTAL,"1,574,158","1,272,072","1,208,211","1,219,154","1,336,205",,
Value ($'000s),,
Industrials,"2,976,654","2,969,192","2,586,027","2,497,687","2,762,441",,
Mining,"803,942","728,370","708,060","827,063","794,512",,
TOTAL,"3,780,596","3,697,562","3,294,087","3,324,750","3,556,953",,
MOVEMENTS:,,
Industrials,,
Up,158,142,328,372,372,,
Down,452,457,228,206,200,,
Steady,151,155,169,160,157,,
TOTAL,761,754,725,738,729,,
Mining,,
Up,139,142,160,162,184,,
Down,222,224,185,191,174,,
Steady,210,220,199,190,216,,
TOTAL,571,586,544,543,574,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"168,385","151,282","174,595","177,357","250,954",,
Put Options,"184,316","239,317","167,499","181,886","228,914",,
TOTAL,"352,701","390,599","342,094","359,243","479,868",,
Value ($'000s),,
Call Options,"105,217","20,002","39,223","8,699","226,201",,
Put Options,"6,512","10,033","9,225","9,842","8,214",,
TOTAL,"111,729","30,035","48,448","18,541","234,415",,
MOVEMENTS:,,
Call Options,,
Up,90,57,168,250,310,,
Down,375,410,264,203,199,,
Steady,14,8,21,26,14,,
TOTAL,479,475,453,479,523,,
Put Options,,
Up,323,369,185,112,74,,
Down,175,151,256,318,366,,
Steady,19,18,14,13,16,,
TOTAL,517,538,455,443,456,,
,
