National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-08-18T23:15:08+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Aug 13,Aug 14,Aug 15,Aug 16,Aug 17,,
Volume ('000s),,
Industrials,"788,890","802,498","841,894","753,631","769,939",,
Mining,"700,936","716,623","730,269","849,333","1,317,813",,
TOTAL,"1,489,826","1,519,121","1,572,163","1,602,964","2,087,752",,
Value ($'000s),,
Industrials,"2,461,119","2,640,672","2,956,556","3,363,707","3,285,325",,
Mining,"827,596","761,118","1,070,017","1,150,786","930,938",,
TOTAL,"3,288,715","3,401,790","4,026,573","4,514,493","4,216,263",,
MOVEMENTS:,,
Industrials,,
Up,287,251,236,302,375,,
Down,207,243,241,175,154,,
Steady,147,141,159,143,134,,
TOTAL,641,635,636,620,663,,
Mining,,
Up,230,186,217,253,331,,
Down,205,225,245,207,176,,
Steady,212,216,194,206,194,,
TOTAL,647,627,656,666,701,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"236,860","314,538","320,889","384,762","621,404",,
Put Options,"248,159","246,370","285,266","253,693","372,491",,
TOTAL,"485,019","560,908","606,155","638,455","993,895",,
Value ($'000s),,
Call Options,"8,675","99,133","12,961","126,973","333,666",,
Put Options,"12,567","8,873","19,381","12,957","15,460",,
TOTAL,"21,242","108,006","32,342","139,930","349,126",,
MOVEMENTS:,,
Call Options,,
Up,260,196,167,357,550,,
Down,261,319,406,223,165,,
Steady,30,22,16,27,24,,
TOTAL,551,537,589,607,739,,
Put Options,,
Up,175,179,294,137,111,,
Down,326,278,266,439,561,,
Steady,18,23,33,13,16,,
TOTAL,519,480,593,589,688,,
,
