National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-09-20T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Sep 15,Sep 16,Sep 17,Sep 18,Sep 19,,
Volume ('000s),,
Industrials,"740,149","825,067","793,821","1,047,550","1,155,240",,
Mining,"1,149,280","867,843","1,040,235","879,675","1,051,187",,
TOTAL,"1,889,429","1,692,910","1,834,056","1,927,225","2,206,427",,
Value ($'000s),,
Industrials,"3,064,290","3,570,951","4,280,455","4,289,381","4,536,021",,
Mining,"1,008,095","893,074","1,060,244","934,861","1,244,053",,
TOTAL,"4,072,385","4,464,025","5,340,699","5,224,242","5,780,074",,
MOVEMENTS:,,
Industrials,,
Up,218,243,243,326,385,,
Down,429,404,388,289,231,,
Steady,167,175,164,187,162,,
TOTAL,814,822,795,802,778,,
Mining,,
Up,143,149,167,144,206,,
Down,266,253,209,241,181,,
Steady,224,198,219,204,195,,
TOTAL,633,600,595,589,582,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"495,072","237,693","265,431","261,107","222,826",,
Put Options,"206,372","266,619","344,700","272,147","234,004",,
TOTAL,"701,444","504,312","610,131","533,254","456,830",,
Value ($'000s),,
Call Options,"565,141","90,245","11,532","68,297","8,291",,
Put Options,"9,811","11,134","16,059","17,724","16,577",,
TOTAL,"574,952","101,379","27,591","86,021","24,868",,
MOVEMENTS:,,
Call Options,,
Up,73,79,118,88,165,,
Down,251,425,420,376,252,,
Steady,13,20,15,22,21,,
TOTAL,337,524,553,486,438,,
Put Options,,
Up,215,392,448,376,197,,
Down,107,139,143,153,273,,
Steady,11,31,28,19,11,,
TOTAL,333,562,619,548,481,,
,
