National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-02-12T23:15:10+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Feb  7,Feb  8,Feb  9,Feb 10,Feb 11,,
Volume ('000s),,
Industrials,"1,023,201","1,166,009","1,415,724","1,193,221","1,318,117",,
Mining,"1,566,277","1,930,058","2,347,017","1,884,656","1,549,788",,
TOTAL,"2,589,478","3,096,067","3,762,741","3,077,877","2,867,905",,
Value ($'000s),,
Industrials,"2,464,883","3,426,874","4,755,722","3,722,501","3,311,615",,
Mining,"1,439,138","1,868,946","2,184,059","1,684,202","1,553,892",,
TOTAL,"3,904,021","5,295,820","6,939,781","5,406,703","4,865,507",,
MOVEMENTS:,,
Industrials,,
Up,338,324,333,263,259,,
Down,271,287,287,322,353,,
Steady,202,198,207,207,192,,
TOTAL,811,809,827,792,804,,
Mining,,
Up,355,316,328,343,299,,
Down,328,353,343,340,346,,
Steady,227,234,240,213,246,,
TOTAL,910,903,911,896,891,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"36,505","44,372","57,138","49,155","51,035",,
Put Options,"30,570","33,590","45,164","47,487","38,950",,
TOTAL,"67,075","77,962","102,302","96,642","89,985",,
Value ($'000s),,
Call Options,"15,673","42,242","27,548","28,676","261,020",,
Put Options,"8,877","9,719","16,388","15,749","11,830",,
TOTAL,"24,550","51,961","43,936","44,425","272,850",,
MOVEMENTS:,,
Call Options,,
Up,214,332,342,261,122,,
Down,236,174,204,237,301,,
Steady,30,15,19,35,25,,
TOTAL,480,521,565,533,448,,
Put Options,,
Up,121,84,122,131,225,,
Down,298,424,394,348,242,,
Steady,30,17,15,31,45,,
TOTAL,449,525,531,510,512,,
,
