National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-11-21T23:15:04+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Nov 16,Nov 17,Nov 18,Nov 19,Nov 20,,
Volume ('000s),,
Industrials,"758,226","906,280","792,161","988,564","828,063",,
Mining,"1,051,864","1,078,567","857,832","799,380","850,889",,
TOTAL,"1,810,090","1,984,847","1,649,993","1,787,944","1,678,952",,
Value ($'000s),,
Industrials,"3,115,250","3,994,188","3,641,326","4,276,667","3,504,446",,
Mining,"687,051","668,628","783,664","756,883","762,968",,
TOTAL,"3,802,301","4,662,816","4,424,990","5,033,550","4,267,414",,
MOVEMENTS:,,
Industrials,,
Up,207,471,387,480,381,,
Down,502,233,321,245,317,,
Steady,167,144,168,166,182,,
TOTAL,876,848,876,891,880,,
Mining,,
Up,142,151,134,185,168,,
Down,191,173,198,146,153,,
Steady,188,178,187,184,190,,
TOTAL,521,502,519,515,511,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"137,192","141,743","139,399","190,152","165,259",,
Put Options,"175,842","128,662","116,301","186,247","158,198",,
TOTAL,"313,034","270,405","255,700","376,399","323,457",,
Value ($'000s),,
Call Options,"70,150","9,474","18,344","11,289","14,485",,
Put Options,"13,643","9,486","9,875","11,309","8,646",,
TOTAL,"83,793","18,960","28,219","22,598","23,131",,
MOVEMENTS:,,
Call Options,,
Up,59,198,218,407,381,,
Down,333,214,240,129,140,,
Steady,10,20,27,15,25,,
TOTAL,402,432,485,551,546,,
Put Options,,
Up,326,107,148,49,64,,
Down,99,246,264,403,368,,
Steady,17,8,3,3,6,,
TOTAL,442,361,415,455,438,,
,
