National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-11-22T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Nov 17,Nov 18,Nov 19,Nov 20,Nov 21,,
Volume ('000s),,
Industrials,"594,691","590,422","724,416","793,950","772,330",,
Mining,"680,749","737,376","791,420","807,752","779,244",,
TOTAL,"1,275,440","1,327,798","1,515,836","1,601,702","1,551,574",,
Value ($'000s),,
Industrials,"2,433,789","2,479,783","2,957,578","3,226,135","3,182,736",,
Mining,"673,338","611,559","869,805","995,293","817,574",,
TOTAL,"3,107,127","3,091,342","3,827,383","4,221,428","4,000,310",,
MOVEMENTS:,,
Industrials,,
Up,247,279,285,232,256,,
Down,383,345,328,374,349,,
Steady,177,177,189,192,192,,
TOTAL,807,801,802,798,797,,
Mining,,
Up,156,162,156,118,171,,
Down,193,185,206,228,182,,
Steady,215,231,208,216,208,,
TOTAL,564,578,570,562,561,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"137,170","129,806","219,776","295,848","320,591",,
Put Options,"136,979","164,803","267,568","379,600","330,081",,
TOTAL,"274,149","294,609","487,344","675,448","650,672",,
Value ($'000s),,
Call Options,"26,280","8,654","23,231","68,582","41,041",,
Put Options,"6,343","8,066","17,689","27,147","20,203",,
TOTAL,"32,623","16,720","40,920","95,729","61,244",,
MOVEMENTS:,,
Call Options,,
Up,111,91,91,47,95,,
Down,324,308,378,450,371,,
Steady,13,18,16,16,16,,
TOTAL,448,417,485,513,482,,
Put Options,,
Up,247,262,433,514,338,,
Down,148,133,108,106,178,,
Steady,19,21,24,12,17,,
TOTAL,414,416,565,632,533,,
,
