National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-03-19T23:15:11+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,,
Volume ('000s),,
Industrials,"1,126,252","1,545,594","1,697,804","1,682,172","1,799,849",,
Mining,"2,285,000","3,090,245","2,927,196","2,217,873","2,653,510",,
TOTAL,"3,411,252","4,635,839","4,625,000","3,900,045","4,453,359",,
Value ($'000s),,
Industrials,"3,164,523","4,137,801","4,730,105","5,807,407","5,053,723",,
Mining,"2,370,718","2,600,070","2,830,514","3,480,210","3,389,894",,
TOTAL,"5,535,241","6,737,871","7,560,619","9,287,617","8,443,617",,
MOVEMENTS:,,
Industrials,,
Up,155,111,365,224,425,,
Down,432,552,253,367,163,,
Steady,170,157,165,186,185,,
TOTAL,757,820,783,777,773,,
Mining,,
Up,103,55,541,276,593,,
Down,620,776,171,381,109,,
Steady,182,112,158,203,166,,
TOTAL,905,943,870,860,868,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"54,118","49,867","52,619","41,857","57,988",,
Put Options,"67,415","86,436","61,735","49,684","63,743",,
TOTAL,"121,533","136,303","114,354","91,541","121,731",,
Value ($'000s),,
Call Options,"12,129","15,327","15,169","18,345","21,024",,
Put Options,"25,873","44,245","29,198","19,594","29,808",,
TOTAL,"38,002","59,572","44,367","37,939","50,832",,
MOVEMENTS:,,
Call Options,,
Up,41,55,326,200,368,,
Down,561,638,353,375,206,,
Steady,18,25,34,37,34,,
TOTAL,620,718,713,612,608,,
Put Options,,
Up,654,910,469,652,151,,
Down,169,62,542,248,515,,
Steady,27,20,20,22,12,,
TOTAL,850,992,"1,031",922,678,,
,
