National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-06-02T23:15:13+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,May 28,May 29,May 30,May 31,Jun  1,,
Volume ('000s),,
Industrials,"626,465","769,110","725,229","1,249,253","776,561",,
Mining,"707,698","931,748","833,088","897,632","754,660",,
TOTAL,"1,334,163","1,700,858","1,558,317","2,146,885","1,531,221",,
Value ($'000s),,
Industrials,"2,281,580","2,667,765","2,556,387","4,720,795","2,669,407",,
Mining,"1,041,385","1,285,174","1,137,478","1,638,452","1,164,688",,
TOTAL,"3,322,965","3,952,939","3,693,865","6,359,247","3,834,095",,
MOVEMENTS:,,
Industrials,,
Up,276,292,232,275,194,,
Down,227,199,260,234,316,,
Steady,165,168,167,196,157,,
TOTAL,668,659,659,705,667,,
Mining,,
Up,274,294,205,229,152,,
Down,184,216,292,291,333,,
Steady,221,198,208,216,217,,
TOTAL,679,708,705,736,702,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"289,270","315,120","245,193","243,027","232,610",,
Put Options,"214,245","199,835","206,662","220,679","222,704",,
TOTAL,"503,515","514,955","451,855","463,706","455,314",,
Value ($'000s),,
Call Options,"11,252","13,723","82,744","17,786","12,068",,
Put Options,"21,253","14,429","19,910","17,892","24,833",,
TOTAL,"32,505","28,152","102,654","35,678","36,901",,
MOVEMENTS:,,
Call Options,,
Up,311,437,183,104,180,,
Down,327,198,353,408,339,,
Steady,57,39,34,38,31,,
TOTAL,695,674,570,550,550,,
Put Options,,
Up,187,123,207,347,262,,
Down,385,413,261,155,211,,
Steady,8,8,23,19,20,,
TOTAL,580,544,491,521,493,,
,
