National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-10-25T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Oct 20,Oct 21,Oct 22,Oct 23,Oct 24,,
Volume ('000s),,
Industrials,"581,126","843,129","697,732","837,202","704,174",,
Mining,"742,293","943,449","859,090","831,082","840,192",,
TOTAL,"1,323,419","1,786,578","1,556,822","1,668,284","1,544,366",,
Value ($'000s),,
Industrials,"2,442,656","2,946,083","2,998,654","2,914,739","2,993,155",,
Mining,"673,518","857,784","821,521","901,748","636,772",,
TOTAL,"3,116,174","3,803,867","3,820,175","3,816,487","3,629,927",,
MOVEMENTS:,,
Industrials,,
Up,437,296,457,289,399,,
Down,172,297,161,329,208,,
Steady,194,185,172,167,194,,
TOTAL,803,778,790,785,801,,
Mining,,
Up,173,157,210,150,181,,
Down,191,194,157,205,167,,
Steady,215,216,204,192,191,,
TOTAL,579,567,571,547,539,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"176,797","129,150","209,980","183,808","205,907",,
Put Options,"168,285","130,915","180,048","211,849","211,957",,
TOTAL,"345,082","260,065","390,028","395,657","417,864",,
Value ($'000s),,
Call Options,"13,260","8,522","9,412","17,661","14,922",,
Put Options,"12,340","6,262","11,651","8,391","10,273",,
TOTAL,"25,600","14,784","21,063","26,052","25,195",,
MOVEMENTS:,,
Call Options,,
Up,354,142,387,204,352,,
Down,78,245,105,211,118,,
Steady,12,24,16,15,9,,
TOTAL,444,411,508,430,479,,
Put Options,,
Up,47,42,27,97,60,,
Down,370,299,435,265,380,,
Steady,5,10,1,15,4,,
TOTAL,422,351,463,377,444,,
,
