National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-10-17T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Oct 12,Oct 13,Oct 14,Oct 15,Oct 16,,
Volume ('000s),,
Industrials,"657,439","779,764","751,685","745,398","807,607",,
Mining,"1,292,694","1,145,965","980,413","1,170,880","1,036,916",,
TOTAL,"1,950,133","1,925,729","1,732,098","1,916,278","1,844,523",,
Value ($'000s),,
Industrials,"3,308,007","3,497,372","3,445,075","3,363,118","3,538,766",,
Mining,"870,955","908,788","841,559","866,209","774,202",,
TOTAL,"4,178,962","4,406,160","4,286,634","4,229,327","4,312,968",,
MOVEMENTS:,,
Industrials,,
Up,273,264,348,414,478,,
Down,431,405,355,284,230,,
Steady,177,166,147,167,167,,
TOTAL,881,835,850,865,875,,
Mining,,
Up,217,166,171,219,192,,
Down,143,174,174,144,177,,
Steady,180,186,166,167,170,,
TOTAL,540,526,511,530,539,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"138,922","123,249","125,806","178,672","174,006",,
Put Options,"124,452","186,347","108,805","129,015","138,733",,
TOTAL,"263,374","309,596","234,611","307,687","312,739",,
Value ($'000s),,
Call Options,"6,275","9,035","10,924","25,594","6,578",,
Put Options,"8,099","8,180","7,142","6,019","7,794",,
TOTAL,"14,374","17,215","18,066","31,613","14,372",,
MOVEMENTS:,,
Call Options,,
Up,183,95,103,214,322,,
Down,242,302,248,176,133,,
Steady,11,9,14,16,19,,
TOTAL,436,406,365,406,474,,
Put Options,,
Up,117,212,176,67,26,,
Down,236,151,166,257,368,,
Steady,21,17,23,6,7,,
TOTAL,374,380,365,330,401,,
,
