National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-03-21T23:15:07+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,,
Volume ('000s),,
Industrials,"791,148","844,449","869,599","1,316,355","1,415,614",,
Mining,"854,093","627,731","1,124,234","879,236","1,407,545",,
TOTAL,"1,645,241","1,472,180","1,993,833","2,195,591","2,823,159",,
Value ($'000s),,
Industrials,"2,921,781","3,603,695","4,096,667","5,949,337","6,201,139",,
Mining,"715,443","634,504","830,978","939,567","1,524,792",,
TOTAL,"3,637,224","4,238,199","4,927,645","6,888,904","7,725,931",,
MOVEMENTS:,,
Industrials,,
Up,312,372,304,449,366,,
Down,368,307,361,235,283,,
Steady,148,148,137,159,167,,
TOTAL,828,827,802,843,816,,
Mining,,
Up,152,179,133,167,165,,
Down,183,147,204,149,149,,
Steady,181,209,197,210,202,,
TOTAL,516,535,534,526,516,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"159,659","236,795","182,602","272,141","195,645",,
Put Options,"210,057","214,390","289,589","218,848","151,889",,
TOTAL,"369,716","451,185","472,191","490,989","347,534",,
Value ($'000s),,
Call Options,"17,918","297,926","29,928","145,400","95,771",,
Put Options,"19,257","14,473","17,175","17,114","11,768",,
TOTAL,"37,175","312,399","47,103","162,514","107,539",,
MOVEMENTS:,,
Call Options,,
Up,92,320,170,519,338,,
Down,263,202,283,112,135,,
Steady,9,20,14,7,19,,
TOTAL,364,542,467,638,492,,
Put Options,,
Up,235,105,185,58,54,,
Down,186,311,206,426,308,,
Steady,6,9,17,6,15,,
TOTAL,427,425,408,490,377,,
,
