National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-03-10T23:15:14+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Mar  5,Mar  6,Mar  7,Mar  8,Mar  9,,
Volume ('000s),,
Industrials,"750,421","1,003,723","987,665","1,029,417","1,126,950",,
Mining,"1,063,131","1,208,521","1,062,040","1,110,253","1,105,190",,
TOTAL,"1,813,552","2,212,244","2,049,705","2,139,670","2,232,140",,
Value ($'000s),,
Industrials,"2,227,299","3,436,067","3,416,953","3,764,545","3,363,734",,
Mining,"1,225,943","1,794,569","1,738,315","1,651,486","1,602,170",,
TOTAL,"3,453,242","5,230,636","5,155,268","5,416,031","4,965,904",,
MOVEMENTS:,,
Industrials,,
Up,250,184,127,303,323,,
Down,263,327,393,215,195,,
Steady,196,159,146,163,162,,
TOTAL,709,670,666,681,680,,
Mining,,
Up,233,152,112,301,320,,
Down,303,421,447,221,220,,
Steady,211,194,220,221,212,,
TOTAL,747,767,779,743,752,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"255,359","277,700","312,367","260,081","250,330",,
Put Options,"162,922","275,668","403,520","227,529","179,928",,
TOTAL,"418,281","553,368","715,887","487,610","430,258",,
Value ($'000s),,
Call Options,"9,924","16,931","16,505","34,595","8,463",,
Put Options,"15,524","24,053","31,398","19,130","19,169",,
TOTAL,"25,448","40,984","47,903","53,725","27,632",,
MOVEMENTS:,,
Call Options,,
Up,124,127,47,160,327,,
Down,377,492,553,349,206,,
Steady,24,18,15,45,33,,
TOTAL,525,637,615,554,566,,
Put Options,,
Up,241,500,638,228,123,,
Down,197,157,128,278,370,,
Steady,34,22,22,30,13,,
TOTAL,472,679,788,536,506,,
,
