National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-05-30T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,May 25,May 26,May 27,May 28,May 29,,
Volume ('000s),,
Industrials,"806,502","799,260","882,161","1,105,881","1,165,580",,
Mining,"884,889","641,760","833,206","666,105","788,425",,
TOTAL,"1,691,391","1,441,020","1,715,367","1,771,986","1,954,005",,
Value ($'000s),,
Industrials,"2,783,140","3,085,235","3,905,614","3,494,160","4,745,678",,
Mining,"680,643","680,843","962,686","795,854","1,019,828",,
TOTAL,"3,463,783","3,766,078","4,868,300","4,290,014","5,765,506",,
MOVEMENTS:,,
Industrials,,
Up,393,382,265,327,430,,
Down,283,279,410,337,268,,
Steady,182,203,193,190,177,,
TOTAL,858,864,868,854,875,,
Mining,,
Up,183,190,149,186,208,,
Down,199,178,198,177,154,,
Steady,192,205,203,200,227,,
TOTAL,574,573,550,563,589,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"157,568","160,623","152,886","482,415","314,421",,
Put Options,"142,173","169,799","222,478","402,539","185,902",,
TOTAL,"299,741","330,422","375,364","884,954","500,323",,
Value ($'000s),,
Call Options,"30,092","11,492","16,192","39,502","25,766",,
Put Options,"13,601","12,339","22,492","48,377","17,226",,
TOTAL,"43,693","23,831","38,684","87,879","42,992",,
MOVEMENTS:,,
Call Options,,
Up,302,370,159,199,454,,
Down,175,118,272,399,161,,
Steady,21,14,12,19,18,,
TOTAL,498,502,443,617,633,,
Put Options,,
Up,42,49,201,240,34,,
Down,349,377,215,319,368,,
Steady,3,3,17,25,5,,
TOTAL,394,429,433,584,407,,
,
