National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-03-31T23:15:12+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Mar 26,Mar 27,Mar 28,Mar 29,Mar 30,,
Volume ('000s),,
Industrials,"797,599","1,021,515","971,106","911,966","1,157,812",,
Mining,"1,358,818","1,471,437","1,526,812","1,508,703","1,626,728",,
TOTAL,"2,156,417","2,492,952","2,497,918","2,420,669","2,784,540",,
Value ($'000s),,
Industrials,"2,322,452","3,109,471","3,543,424","3,503,134","5,273,764",,
Mining,"1,258,321","1,446,336","1,469,971","1,642,639","2,856,987",,
TOTAL,"3,580,773","4,555,807","5,013,395","5,145,773","8,130,751",,
MOVEMENTS:,,
Industrials,,
Up,265,324,331,267,307,,
Down,263,189,186,259,231,,
Steady,157,187,160,172,160,,
TOTAL,685,700,677,698,698,,
Mining,,
Up,302,282,256,207,293,,
Down,275,250,279,343,251,,
Steady,216,245,257,218,242,,
TOTAL,793,777,792,768,786,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"561,652","547,584","572,768","961,041","471,682",,
Put Options,"205,783","339,386","408,890","688,858","280,269",,
TOTAL,"767,435","886,970","981,658","1,649,899","751,951",,
Value ($'000s),,
Call Options,"121,355","125,787","35,136","64,909","22,472",,
Put Options,"17,625","33,502","39,349","78,446","15,574",,
TOTAL,"138,980","159,289","74,485","143,355","38,046",,
MOVEMENTS:,,
Call Options,,
Up,218,390,565,491,315,,
Down,318,209,157,432,415,,
Steady,25,35,26,42,39,,
TOTAL,561,634,748,965,769,,
Put Options,,
Up,178,109,69,256,186,,
Down,373,510,682,636,481,,
Steady,27,19,12,39,28,,
TOTAL,578,638,763,931,695,,
,
