National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-12-28T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Dec 19,Dec 20,Dec 23,Dec 24,Dec 27,,
Volume ('000s),,
Industrials,"1,095,631","1,501,384","694,315","432,298","351,355",,
Mining,"558,719","843,686","530,379","348,640","328,478",,
TOTAL,"1,654,350","2,345,070","1,224,694","780,938","679,833",,
Value ($'000s),,
Industrials,"4,750,360","6,890,205","2,472,342","1,322,818","1,171,038",,
Mining,"1,095,136","2,106,087","627,707","303,952","292,620",,
TOTAL,"5,845,496","8,996,292","3,100,049","1,626,770","1,463,658",,
MOVEMENTS:,,
Industrials,,
Up,428,354,363,366,312,,
Down,152,247,212,180,225,,
Steady,148,138,124,141,152,,
TOTAL,728,739,699,687,689,,
Mining,,
Up,197,183,194,168,193,,
Down,172,180,182,139,114,,
Steady,218,213,187,185,157,,
TOTAL,587,576,563,492,464,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"842,423","345,921","226,581","121,233","80,087",,
Put Options,"668,990","252,530","160,268","121,882","114,835",,
TOTAL,"1,511,413","598,451","386,849","243,115","194,922",,
Value ($'000s),,
Call Options,"333,170","21,615","10,647","18,335","4,564",,
Put Options,"82,086","17,553","6,877","5,450","5,866",,
TOTAL,"415,256","39,168","17,524","23,785","10,430",,
MOVEMENTS:,,
Call Options,,
Up,621,563,415,336,300,,
Down,374,167,141,91,81,,
Steady,23,15,35,12,14,,
TOTAL,"1,018",745,591,439,395,,
Put Options,,
Up,232,52,45,18,27,,
Down,785,562,430,366,322,,
Steady,12,3,15,7,15,,
TOTAL,"1,029",617,490,391,364,,
,
