National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-04-09T23:15:10+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Apr  4,Apr  5,Apr  6,Apr  7,Apr  8,,
Volume ('000s),,
Industrials,"1,464,347","1,649,291","1,405,014","1,307,606","1,471,278",,
Mining,"1,958,054","1,860,570","1,886,625","1,749,274","2,137,473",,
TOTAL,"3,422,401","3,509,861","3,291,639","3,056,880","3,608,751",,
Value ($'000s),,
Industrials,"3,044,803","3,624,652","3,501,372","3,499,936","3,327,325",,
Mining,"2,411,461","2,336,348","2,758,573","2,236,181","2,509,245",,
TOTAL,"5,456,264","5,961,000","6,259,945","5,736,117","5,836,570",,
MOVEMENTS:,,
Industrials,,
Up,394,292,320,280,337,,
Down,214,296,271,317,260,,
Steady,205,205,208,186,177,,
TOTAL,813,793,799,783,774,,
Mining,,
Up,395,342,353,313,360,,
Down,283,294,312,339,293,,
Steady,222,248,208,248,233,,
TOTAL,900,884,873,900,886,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"41,175","51,006","33,683","38,005","46,726",,
Put Options,"34,027","41,913","38,632","35,480","39,573",,
TOTAL,"75,202","92,919","72,315","73,485","86,299",,
Value ($'000s),,
Call Options,"16,651","21,422","99,559","39,601","23,235",,
Put Options,"9,260","9,077","10,160","10,548","8,159",,
TOTAL,"25,911","30,499","109,719","50,149","31,394",,
MOVEMENTS:,,
Call Options,,
Up,537,401,352,297,413,,
Down,207,261,249,299,182,,
Steady,28,34,28,27,36,,
TOTAL,772,696,629,623,631,,
Put Options,,
Up,110,143,216,226,144,,
Down,559,534,407,359,453,,
Steady,29,27,57,57,27,,
TOTAL,698,704,680,642,624,,
,
