National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2010-11-20T23:15:10+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Nov 15,Nov 16,Nov 17,Nov 18,Nov 19,,
Volume ('000s),,
Industrials,"1,007,304","1,388,618","1,101,934","1,426,272","998,492",,
Mining,"1,576,334","1,569,493","1,600,926","1,721,381","1,642,658",,
TOTAL,"2,583,638","2,958,111","2,702,860","3,147,653","2,641,150",,
Value ($'000s),,
Industrials,"3,044,268","4,021,358","3,644,220","3,583,813","3,160,195",,
Mining,"1,724,715","1,858,382","2,468,954","2,183,696","1,746,105",,
TOTAL,"4,768,983","5,879,740","6,113,174","5,767,509","4,906,300",,
MOVEMENTS:,,
Industrials,,
Up,250,290,152,295,303,,
Down,318,265,431,268,250,,
Steady,188,209,173,186,223,,
TOTAL,756,764,756,749,776,,
Mining,,
Up,239,247,135,341,343,,
Down,407,408,539,265,258,,
Steady,199,201,182,217,236,,
TOTAL,845,856,856,823,837,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"27,676","29,534","65,834","49,364","35,518",,
Put Options,"37,876","37,397","51,196","39,397","38,813",,
TOTAL,"65,552","66,931","117,030","88,761","74,331",,
Value ($'000s),,
Call Options,"11,862","16,108","25,732","16,967","11,782",,
Put Options,"16,221","13,903","22,972","15,713","11,473",,
TOTAL,"28,083","30,011","48,704","32,680","23,255",,
MOVEMENTS:,,
Call Options,,
Up,156,147,60,164,170,,
Down,284,271,433,335,286,,
Steady,23,14,15,17,20,,
TOTAL,463,432,508,516,476,,
Put Options,,
Up,241,186,458,277,199,,
Down,227,217,102,196,261,,
Steady,19,21,20,10,19,,
TOTAL,487,424,580,483,479,,
,
