National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-08-23T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Aug 18,Aug 19,Aug 20,Aug 21,Aug 22,,
Volume ('000s),,
Industrials,"614,422","865,200","817,039","922,976","733,201",,
Mining,"1,162,637","1,092,308","1,107,910","1,014,656","806,675",,
TOTAL,"1,777,059","1,957,508","1,924,949","1,937,632","1,539,876",,
Value ($'000s),,
Industrials,"2,498,110","4,316,872","3,618,359","4,652,039","3,093,945",,
Mining,"599,482","947,974","1,221,410","1,089,056","882,255",,
TOTAL,"3,097,592","5,264,846","4,839,769","5,741,095","3,976,200",,
MOVEMENTS:,,
Industrials,,
Up,400,421,352,340,341,,
Down,230,210,258,296,279,,
Steady,157,153,156,154,175,,
TOTAL,787,784,766,790,795,,
Mining,,
Up,180,247,191,209,203,,
Down,224,181,217,198,191,,
Steady,227,218,203,212,224,,
TOTAL,631,646,611,619,618,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"239,004","349,255","285,264","482,447","284,354",,
Put Options,"232,999","315,113","236,774","332,186","216,664",,
TOTAL,"472,003","664,368","522,038","814,633","501,018",,
Value ($'000s),,
Call Options,"31,635","22,787","165,816","171,027","80,084",,
Put Options,"8,392","11,923","9,942","10,725","9,837",,
TOTAL,"40,027","34,710","175,758","181,752","89,921",,
MOVEMENTS:,,
Call Options,,
Up,223,498,379,443,230,,
Down,224,128,190,190,216,,
Steady,35,20,22,23,17,,
TOTAL,482,646,591,656,463,,
Put Options,,
Up,92,49,97,91,151,,
Down,272,451,414,442,291,,
Steady,21,8,13,19,28,,
TOTAL,385,508,524,552,470,,
,
