National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-07-20T23:15:09+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jul 15,Jul 16,Jul 17,Jul 18,Jul 19,,
Volume ('000s),,
Industrials,"542,993","578,251","716,893","689,011","728,219",,
Mining,"586,820","639,648","704,841","789,900","789,462",,
TOTAL,"1,129,813","1,217,899","1,421,734","1,478,911","1,517,681",,
Value ($'000s),,
Industrials,"2,323,435","2,356,420","2,564,771","2,890,054","3,209,375",,
Mining,"627,269","566,891","943,483","881,103","865,791",,
TOTAL,"2,950,704","2,923,311","3,508,254","3,771,157","4,075,166",,
MOVEMENTS:,,
Industrials,,
Up,312,280,249,278,284,,
Down,188,254,273,239,264,,
Steady,140,132,136,147,128,,
TOTAL,640,666,658,664,676,,
Mining,,
Up,187,175,216,204,218,,
Down,175,192,152,171,160,,
Steady,166,165,181,189,188,,
TOTAL,528,532,549,564,566,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"135,752","170,552","238,332","213,862","213,083",,
Put Options,"133,816","159,506","171,755","177,700","209,350",,
TOTAL,"269,568","330,058","410,087","391,562","422,433",,
Value ($'000s),,
Call Options,"16,306","17,309","44,614","32,979","110,377",,
Put Options,"9,614","12,454","12,389","11,031","12,488",,
TOTAL,"25,920","29,763","57,003","44,010","122,865",,
MOVEMENTS:,,
Call Options,,
Up,210,233,289,291,170,,
Down,316,268,279,298,390,,
Steady,23,20,14,24,14,,
TOTAL,549,521,582,613,574,,
Put Options,,
Up,97,71,106,95,280,,
Down,353,399,372,449,275,,
Steady,24,14,12,11,24,,
TOTAL,474,484,490,555,579,,
,
