National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-01-19T23:15:09+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jan 14,Jan 15,Jan 16,Jan 17,Jan 18,,
Volume ('000s),,
Industrials,"469,798","631,530","670,902","723,557","713,152",,
Mining,"877,778","772,188","772,314","879,238","915,567",,
TOTAL,"1,347,576","1,403,718","1,443,216","1,602,795","1,628,719",,
Value ($'000s),,
Industrials,"1,881,005","2,606,135","2,631,116","3,367,860","2,474,215",,
Mining,"774,513","948,503","1,059,709","1,337,934","1,072,911",,
TOTAL,"2,655,518","3,554,638","3,690,825","4,705,794","3,547,126",,
MOVEMENTS:,,
Industrials,,
Up,346,256,341,297,321,,
Down,218,282,187,246,189,,
Steady,144,139,158,148,183,,
TOTAL,708,677,686,691,693,,
Mining,,
Up,238,219,257,209,259,,
Down,217,261,214,266,227,,
Steady,241,229,216,233,217,,
TOTAL,696,709,687,708,703,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"214,948","234,515","199,268","333,853","268,732",,
Put Options,"163,319","187,009","235,103","257,331","218,279",,
TOTAL,"378,267","421,524","434,371","591,184","487,011",,
Value ($'000s),,
Call Options,"12,009","12,755","17,877","31,871","17,813",,
Put Options,"5,265","8,727","10,442","16,704","13,624",,
TOTAL,"17,274","21,482","28,319","48,575","31,437",,
MOVEMENTS:,,
Call Options,,
Up,243,234,306,554,443,,
Down,277,267,247,213,199,,
Steady,18,31,25,17,33,,
TOTAL,538,532,578,784,675,,
Put Options,,
Up,123,151,107,126,119,,
Down,348,339,378,514,407,,
Steady,18,38,25,22,28,,
TOTAL,489,528,510,662,554,,
,
