National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-11-30T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Nov 25,Nov 26,Nov 27,Nov 28,Nov 29,,
Volume ('000s),,
Industrials,"834,781","1,418,194","910,836","1,113,665","1,039,813",,
Mining,"754,015","904,763","844,405","580,526","579,351",,
TOTAL,"1,588,796","2,322,957","1,755,241","1,694,191","1,619,164",,
Value ($'000s),,
Industrials,"3,016,077","4,965,843","2,802,560","3,307,626","3,781,111",,
Mining,"662,150","1,064,079","823,356","759,085","1,554,227",,
TOTAL,"3,678,227","6,029,922","3,625,916","4,066,711","5,335,338",,
MOVEMENTS:,,
Industrials,,
Up,341,280,253,309,284,,
Down,255,314,344,281,308,,
Steady,153,148,156,175,152,,
TOTAL,749,742,753,765,744,,
Mining,,
Up,172,188,134,181,193,,
Down,241,210,259,238,190,,
Steady,216,227,208,208,236,,
TOTAL,629,625,601,627,619,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"180,333","224,351","227,177","600,123","251,431",,
Put Options,"170,347","212,901","311,719","734,821","214,677",,
TOTAL,"350,680","437,252","538,896","1,334,944","466,108",,
Value ($'000s),,
Call Options,"14,056","22,332","21,221","203,266","150,253",,
Put Options,"10,840","16,658","25,103","54,837","11,407",,
TOTAL,"24,896","38,990","46,324","258,103","161,660",,
MOVEMENTS:,,
Call Options,,
Up,258,236,167,304,132,,
Down,213,312,368,499,438,,
Steady,22,20,14,28,13,,
TOTAL,493,568,549,831,583,,
Put Options,,
Up,114,160,306,353,301,,
Down,348,388,294,439,304,,
Steady,13,20,19,46,30,,
TOTAL,475,568,619,838,635,,
,
