National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-10-27T23:15:09+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Oct 22,Oct 23,Oct 24,Oct 25,Oct 26,,
Volume ('000s),,
Industrials,"667,978","640,017","726,019","705,152","836,687",,
Mining,"1,083,589","963,905","896,692","980,808","1,328,101",,
TOTAL,"1,751,567","1,603,922","1,622,711","1,685,960","2,164,788",,
Value ($'000s),,
Industrials,"2,804,968","2,637,017","2,804,102","2,674,211","4,229,907",,
Mining,"1,084,716","965,824","1,150,439","951,338","1,876,270",,
TOTAL,"3,889,684","3,602,841","3,954,541","3,625,549","6,106,177",,
MOVEMENTS:,,
Industrials,,
Up,214,280,186,260,193,,
Down,323,234,345,254,324,,
Steady,127,170,135,165,155,,
TOTAL,664,684,666,679,672,,
Mining,,
Up,178,253,178,226,204,,
Down,322,242,322,258,298,,
Steady,216,217,198,202,205,,
TOTAL,716,712,698,686,707,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"388,139","421,895","557,998","884,210","342,760",,
Put Options,"284,014","320,949","352,992","502,833","306,140",,
TOTAL,"672,153","742,844","910,990","1,387,043","648,900",,
Value ($'000s),,
Call Options,"125,960","75,815","78,879","173,597","48,850",,
Put Options,"30,479","37,547","17,702","26,837","12,404",,
TOTAL,"156,439","113,362","96,581","200,434","61,254",,
MOVEMENTS:,,
Call Options,,
Up,140,349,173,330,130,,
Down,481,274,557,547,460,,
Steady,17,41,19,31,17,,
TOTAL,638,664,749,908,607,,
Put Options,,
Up,317,121,449,318,344,,
Down,211,399,226,398,282,,
Steady,26,44,34,41,37,,
TOTAL,554,564,709,757,663,,
,
