National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-01-08T23:15:09+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Dec 31,Jan  4,Jan  5,Jan  6,Jan  7,,
Volume ('000s),,
Industrials,"436,468","1,004,422","1,138,853","1,063,051","993,309",,
Mining,"1,016,995","1,771,183","1,713,191","1,627,353","1,500,009",,
TOTAL,"1,453,463","2,775,605","2,852,044","2,690,404","2,493,318",,
Value ($'000s),,
Industrials,"1,006,917","2,487,928","2,897,070","2,813,783","2,162,808",,
Mining,"767,670","1,637,034","1,676,034","1,497,983","1,507,056",,
TOTAL,"1,774,587","4,124,962","4,573,104","4,311,766","3,669,864",,
MOVEMENTS:,,
Industrials,,
Up,240,282,234,312,255,,
Down,258,295,321,254,300,,
Steady,177,191,215,187,223,,
TOTAL,675,768,770,753,778,,
Mining,,
Up,300,442,251,323,255,,
Down,251,257,429,327,398,,
Steady,239,204,199,225,204,,
TOTAL,790,903,879,875,857,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"14,727","22,306","28,061","24,473","24,631",,
Put Options,"17,348","24,926","30,456","35,761","25,508",,
TOTAL,"32,075","47,232","58,517","60,234","50,139",,
Value ($'000s),,
Call Options,"6,011","7,840","8,780","13,244","9,294",,
Put Options,"9,813","7,617","8,544","13,703","10,724",,
TOTAL,"15,824","15,457","17,324","26,947","20,018",,
MOVEMENTS:,,
Call Options,,
Up,52,97,56,131,97,,
Down,190,273,356,299,283,,
Steady,13,19,10,20,23,,
TOTAL,255,389,422,450,403,,
Put Options,,
Up,238,216,339,286,211,,
Down,81,156,89,169,151,,
Steady,9,15,13,19,16,,
TOTAL,328,387,441,474,378,,
,
