National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-02-26T23:15:10+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Feb 21,Feb 22,Feb 23,Feb 24,Feb 25,,
Volume ('000s),,
Industrials,"1,205,649","1,000,771","1,175,750","1,439,562","1,378,560",,
Mining,"2,134,051","2,570,290","2,415,421","2,355,095","2,421,120",,
TOTAL,"3,339,700","3,571,061","3,591,171","3,794,657","3,799,680",,
Value ($'000s),,
Industrials,"3,533,941","3,417,534","3,703,421","3,570,937","4,111,735",,
Mining,"2,092,273","3,291,127","3,231,505","2,633,832","2,604,855",,
TOTAL,"5,626,214","6,708,661","6,934,926","6,204,769","6,716,590",,
MOVEMENTS:,,
Industrials,,
Up,250,169,212,253,339,,
Down,364,446,385,356,258,,
Steady,199,184,186,188,203,,
TOTAL,813,799,783,797,800,,
Mining,,
Up,264,166,238,291,322,,
Down,447,564,437,356,304,,
Steady,225,191,216,224,222,,
TOTAL,936,921,891,871,848,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"52,335","53,331","59,003","63,512","43,918",,
Put Options,"51,425","69,146","56,913","101,781","44,949",,
TOTAL,"103,760","122,477","115,916","165,293","88,867",,
Value ($'000s),,
Call Options,"45,532","35,715","151,987","107,063","13,149",,
Put Options,"16,042","20,320","18,477","44,084","17,700",,
TOTAL,"61,574","56,035","170,464","151,147","30,849",,
MOVEMENTS:,,
Call Options,,
Up,154,141,113,123,143,,
Down,394,418,407,518,362,,
Steady,20,10,24,9,35,,
TOTAL,568,569,544,650,540,,
Put Options,,
Up,328,438,363,476,237,,
Down,248,205,203,213,348,,
Steady,35,21,29,33,29,,
TOTAL,611,664,595,722,614,,
,
