National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-01-12T23:15:08+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jan  3,Jan  4,Jan  7,Jan  8,Jan 11,,
Volume ('000s),,
Industrials,"487,855","486,588","503,092","536,801","514,357",,
Mining,"925,026","653,595","758,015","807,635","943,451",,
TOTAL,"1,412,881","1,140,183","1,261,107","1,344,436","1,457,808",,
Value ($'000s),,
Industrials,"1,795,829","1,629,843","2,095,059","2,907,148","2,119,656",,
Mining,"986,714","821,177","973,067","1,016,937","1,020,026",,
TOTAL,"2,782,543","2,451,020","3,068,126","3,924,085","3,139,682",,
MOVEMENTS:,,
Industrials,,
Up,353,210,281,215,284,,
Down,164,265,238,285,216,,
Steady,150,172,165,156,163,,
TOTAL,667,647,684,656,663,,
Mining,,
Up,315,183,217,181,232,,
Down,154,271,230,288,210,,
Steady,189,209,214,209,219,,
TOTAL,658,663,661,678,661,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"390,625","215,696","238,691","231,605","187,800",,
Put Options,"301,303","166,670","211,352","200,764","181,904",,
TOTAL,"691,928","382,366","450,043","432,369","369,704",,
Value ($'000s),,
Call Options,"63,965","15,749","27,443","17,283","8,791",,
Put Options,"9,874","6,535","7,916","8,829","7,073",,
TOTAL,"73,839","22,284","35,359","26,112","15,864",,
MOVEMENTS:,,
Call Options,,
Up,641,264,350,230,227,,
Down,103,271,262,336,285,,
Steady,15,18,24,19,22,,
TOTAL,759,553,636,585,534,,
Put Options,,
Up,17,194,167,300,219,,
Down,597,321,367,288,264,,
Steady,8,35,32,34,37,,
TOTAL,622,550,566,622,520,,
,
