National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-12-31T23:15:12+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Dec 22,Dec 23,Dec 28,Dec 29,Dec 30,,
Volume ('000s),,
Industrials,"830,404","589,134","510,962","487,255","360,671",,
Mining,"650,269","494,633","374,728","353,936","338,313",,
TOTAL,"1,480,673","1,083,767","885,690","841,191","698,984",,
Value ($'000s),,
Industrials,"2,441,925","2,514,728","1,250,849","1,172,867","840,560",,
Mining,"979,832","1,826,712","633,037","595,600","426,470",,
TOTAL,"3,421,757","4,341,440","1,883,886","1,768,467","1,267,030",,
MOVEMENTS:,,
Industrials,,
Up,172,306,170,170,233,,
Down,329,150,277,257,182,,
Steady,177,136,134,143,154,,
TOTAL,678,592,581,570,569,,
Mining,,
Up,189,267,171,130,202,,
Down,291,156,218,259,173,,
Steady,221,188,185,204,175,,
TOTAL,701,611,574,593,550,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"661,045","412,492","154,597","153,125","81,680",,
Put Options,"592,577","137,214","102,528","132,215","87,680",,
TOTAL,"1,253,622","549,706","257,125","285,340","169,360",,
Value ($'000s),,
Call Options,"49,979","22,345","56,818","5,407","2,974",,
Put Options,"82,016","7,955","7,619","30,090","4,462",,
TOTAL,"131,995","30,300","64,437","35,497","7,436",,
MOVEMENTS:,,
Call Options,,
Up,136,319,68,43,93,,
Down,589,282,344,373,197,,
Steady,23,28,9,14,26,,
TOTAL,748,629,421,430,316,,
Put Options,,
Up,467,60,184,339,132,,
Down,358,310,162,103,139,,
Steady,18,7,14,12,16,,
TOTAL,843,377,360,454,287,,
,
