National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-10-08T23:15:13+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Oct  3,Oct  4,Oct  5,Oct  6,Oct  7,,
Volume ('000s),,
Industrials,"590,326","1,085,965","1,155,801","1,081,032","1,175,014",,
Mining,"565,665","1,216,758","1,050,280","1,071,551","992,263",,
TOTAL,"1,155,991","2,302,723","2,206,081","2,152,583","2,167,277",,
Value ($'000s),,
Industrials,"1,922,100","3,649,607","3,333,950","3,838,039","4,853,193",,
Mining,"1,008,094","2,062,125","2,063,762","2,138,767","2,015,461",,
TOTAL,"2,930,194","5,711,732","5,397,712","5,976,806","6,868,654",,
MOVEMENTS:,,
Industrials,,
Up,97,178,290,415,410,,
Down,379,329,209,131,140,,
Steady,127,164,174,134,147,,
TOTAL,603,671,673,680,697,,
Mining,,
Up,116,149,247,423,418,,
Down,360,364,214,124,145,,
Steady,170,210,233,181,174,,
TOTAL,646,723,694,728,737,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"185,849","288,952","326,644","458,241","431,519",,
Put Options,"184,141","283,902","275,673","305,017","303,055",,
TOTAL,"369,990","572,854","602,317","763,258","734,574",,
Value ($'000s),,
Call Options,"15,943","23,150","19,059","24,651","30,295",,
Put Options,"25,318","44,680","38,452","32,818","20,248",,
TOTAL,"41,261","67,830","57,511","57,469","50,543",,
MOVEMENTS:,,
Call Options,,
Up,41,119,349,709,810,,
Down,535,547,386,183,114,,
Steady,7,31,56,23,17,,
TOTAL,583,697,791,915,941,,
Put Options,,
Up,510,559,360,69,32,,
Down,76,132,377,592,650,,
Steady,8,20,9,9,5,,
TOTAL,594,711,746,670,687,,
,
