National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-06-22T23:15:07+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jun 17,Jun 18,Jun 19,Jun 20,Jun 21,,
Volume ('000s),,
Industrials,"695,837","781,277","713,333","1,031,337","1,072,112",,
Mining,"683,797","629,944","673,021","848,131","1,540,031",,
TOTAL,"1,379,634","1,411,221","1,386,354","1,879,468","2,612,143",,
Value ($'000s),,
Industrials,"3,651,125","3,629,712","3,674,320","5,557,811","4,527,618",,
Mining,"818,291","850,668","902,005","1,314,154","1,475,052",,
TOTAL,"4,469,416","4,480,380","4,576,325","6,871,965","6,002,670",,
MOVEMENTS:,,
Industrials,,
Up,277,268,360,176,228,,
Down,269,275,188,389,343,,
Steady,158,148,166,160,160,,
TOTAL,704,691,714,725,731,,
Mining,,
Up,183,162,203,139,146,,
Down,263,278,252,319,332,,
Steady,207,227,245,229,245,,
TOTAL,653,667,700,687,723,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"214,402","177,062","257,041","256,667","393,308",,
Put Options,"209,331","182,618","199,123","382,124","259,313",,
TOTAL,"423,733","359,680","456,164","638,791","652,621",,
Value ($'000s),,
Call Options,"15,543","26,181","22,951","22,561","165,204",,
Put Options,"115,382","15,055","18,422","25,548","30,351",,
TOTAL,"130,925","41,236","41,373","48,109","195,555",,
MOVEMENTS:,,
Call Options,,
Up,327,153,339,117,147,,
Down,254,369,196,553,542,,
Steady,17,16,28,5,25,,
TOTAL,598,538,563,675,714,,
Put Options,,
Up,173,235,143,500,552,,
Down,340,283,400,244,199,,
Steady,15,19,7,11,28,,
TOTAL,528,537,550,755,779,,
,
