National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-05-19T23:15:15+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,May 14,May 15,May 16,May 17,May 18,,
Volume ('000s),,
Industrials,"702,124","934,211","1,057,743","887,851","924,362",,
Mining,"778,257","1,262,698","1,240,459","1,131,922","1,090,667",,
TOTAL,"1,480,381","2,196,909","2,298,202","2,019,773","2,015,029",,
Value ($'000s),,
Industrials,"2,906,814","3,341,467","3,765,958","3,561,712","3,886,827",,
Mining,"1,004,625","1,740,048","1,871,524","1,526,306","1,992,586",,
TOTAL,"3,911,439","5,081,515","5,637,482","5,088,018","5,879,413",,
MOVEMENTS:,,
Industrials,,
Up,249,163,108,232,93,,
Down,235,373,467,278,473,,
Steady,202,160,126,179,148,,
TOTAL,686,696,701,689,714,,
Mining,,
Up,177,82,68,251,143,,
Down,341,507,538,253,411,,
Steady,217,206,189,216,195,,
TOTAL,735,795,795,720,749,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"268,869","477,344","528,199","408,404","493,049",,
Put Options,"204,099","451,689","559,292","457,154","620,140",,
TOTAL,"472,968","929,033","1,087,491","865,558","1,113,189",,
Value ($'000s),,
Call Options,"12,041","18,058","22,809","19,628","22,621",,
Put Options,"10,510","25,541","52,985","35,607","56,269",,
TOTAL,"22,551","43,599","75,794","55,235","78,890",,
MOVEMENTS:,,
Call Options,,
Up,242,190,53,137,97,,
Down,263,440,649,494,790,,
Steady,36,21,12,32,12,,
TOTAL,541,651,714,663,899,,
Put Options,,
Up,134,490,820,564,"1,013",,
Down,344,189,104,196,95,,
Steady,17,18,10,22,7,,
TOTAL,495,697,934,782,"1,115",,
,
