National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-02-28T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Feb 23,Feb 24,Feb 25,Feb 26,Feb 27,,
Volume ('000s),,
Industrials,"935,950","965,017","1,069,460","1,105,803","1,183,582",,
Mining,"593,889","666,797","652,965","693,941","920,959",,
TOTAL,"1,529,839","1,631,814","1,722,425","1,799,744","2,104,541",,
Value ($'000s),,
Industrials,"3,245,130","4,644,285","4,438,199","4,536,566","7,163,733",,
Mining,"580,447","918,937","920,942","760,757","1,572,314",,
TOTAL,"3,825,577","5,563,222","5,359,141","5,297,323","8,736,047",,
MOVEMENTS:,,
Industrials,,
Up,393,335,387,335,405,,
Down,299,349,289,338,286,,
Steady,180,171,172,174,173,,
TOTAL,872,855,848,847,864,,
Mining,,
Up,158,166,178,166,179,,
Down,178,182,153,184,155,,
Steady,224,206,191,188,211,,
TOTAL,560,554,522,538,545,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"255,491","351,889","470,538","749,654","273,951",,
Put Options,"211,042","191,942","285,721","395,841","229,385",,
TOTAL,"466,533","543,831","756,259","1,145,495","503,336",,
Value ($'000s),,
Call Options,"30,916","37,475","64,170","143,696","26,355",,
Put Options,"12,590","14,337","21,407","28,461","13,411",,
TOTAL,"43,506","51,812","85,577","172,157","39,766",,
MOVEMENTS:,,
Call Options,,
Up,301,337,507,291,278,,
Down,217,254,189,508,278,,
Steady,18,16,13,13,17,,
TOTAL,536,607,709,812,573,,
Put Options,,
Up,70,86,52,188,155,,
Down,321,391,443,394,346,,
Steady,13,11,16,20,14,,
TOTAL,404,488,511,602,515,,
,
