National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-06-08T23:15:09+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jun  3,Jun  4,Jun  5,Jun  6,Jun  7,,
Volume ('000s),,
Industrials,"635,239","696,493","842,277","753,856","708,449",,
Mining,"742,829","721,067","971,174","704,500","675,179",,
TOTAL,"1,378,068","1,417,560","1,813,451","1,458,356","1,383,628",,
Value ($'000s),,
Industrials,"3,177,037","2,914,356","4,026,998","3,863,333","3,470,611",,
Mining,"934,205","822,991","1,058,265","989,301","990,675",,
TOTAL,"4,111,242","3,737,347","5,085,263","4,852,634","4,461,286",,
MOVEMENTS:,,
Industrials,,
Up,149,258,168,163,218,,
Down,373,251,353,386,330,,
Steady,162,159,146,153,132,,
TOTAL,684,668,667,702,680,,
Mining,,
Up,152,215,166,135,192,,
Down,250,197,242,302,224,,
Steady,213,211,217,226,201,,
TOTAL,615,623,625,663,617,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"297,796","333,002","290,212","357,101","403,641",,
Put Options,"297,352","248,887","271,571","351,201","274,538",,
TOTAL,"595,148","581,889","561,783","708,302","678,179",,
Value ($'000s),,
Call Options,"16,422","14,491","17,032","41,360","83,487",,
Put Options,"20,160","15,022","14,979","22,978","26,725",,
TOTAL,"36,582","29,513","32,011","64,338","110,212",,
MOVEMENTS:,,
Call Options,,
Up,184,177,98,37,33,,
Down,456,374,513,594,572,,
Steady,13,20,18,21,8,,
TOTAL,653,571,629,652,613,,
Put Options,,
Up,430,296,531,600,703,,
Down,236,284,139,105,59,,
Steady,20,22,12,26,9,,
TOTAL,686,602,682,731,771,,
,
