National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-08-16T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Aug 11,Aug 12,Aug 13,Aug 14,Aug 15,,
Volume ('000s),,
Industrials,"703,229","703,815","776,818","885,476","711,629",,
Mining,"807,787","1,043,627","955,010","826,051","785,288",,
TOTAL,"1,511,016","1,747,442","1,731,828","1,711,527","1,496,917",,
Value ($'000s),,
Industrials,"2,456,266","3,506,683","3,092,101","4,094,186","3,141,511",,
Mining,"710,927","1,004,615","936,806","937,507","959,941",,
TOTAL,"3,167,193","4,511,298","4,028,907","5,031,693","4,101,452",,
MOVEMENTS:,,
Industrials,,
Up,347,467,268,424,376,,
Down,253,166,336,201,221,,
Steady,176,152,175,163,193,,
TOTAL,776,785,779,788,790,,
Mining,,
Up,193,198,202,232,217,,
Down,208,197,197,161,189,,
Steady,211,218,241,206,190,,
TOTAL,612,613,640,599,596,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"127,989","182,683","162,493","239,016","388,024",,
Put Options,"154,260","153,596","155,001","195,334","212,496",,
TOTAL,"282,249","336,279","317,494","434,350","600,520",,
Value ($'000s),,
Call Options,"8,058","17,753","10,480","13,371","292,178",,
Put Options,"9,866","8,972","8,326","6,716","5,649",,
TOTAL,"17,924","26,725","18,806","20,087","297,827",,
MOVEMENTS:,,
Call Options,,
Up,184,331,153,272,304,,
Down,217,151,250,181,171,,
Steady,25,11,17,17,22,,
TOTAL,426,493,420,470,497,,
Put Options,,
Up,179,85,139,94,74,,
Down,237,329,222,307,354,,
Steady,21,11,16,13,14,,
TOTAL,437,425,377,414,442,,
,
