National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-12-29T23:15:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Dec 20,Dec 21,Dec 24,Dec 27,Dec 28,,
Volume ('000s),,
Industrials,"1,099,437","1,170,195","204,068","325,934","420,008",,
Mining,"911,741","1,218,809","399,790","488,734","497,843",,
TOTAL,"2,011,178","2,389,004","603,858","814,668","917,851",,
Value ($'000s),,
Industrials,"4,550,076","5,616,834","633,141","881,928","1,024,708",,
Mining,"1,643,395","2,678,469","255,106","330,589","513,023",,
TOTAL,"6,193,471","8,295,303","888,247","1,212,517","1,537,731",,
MOVEMENTS:,,
Industrials,,
Up,290,254,256,305,301,,
Down,219,285,182,150,170,,
Steady,156,145,156,149,151,,
TOTAL,665,684,594,604,622,,
Mining,,
Up,210,175,186,209,229,,
Down,246,284,206,158,158,,
Steady,203,218,163,190,194,,
TOTAL,659,677,555,557,581,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"1,115,655","374,234","86,315","124,706","169,644",,
Put Options,"550,594","353,934","81,036","108,517","153,442",,
TOTAL,"1,666,249","728,168","167,351","233,223","323,086",,
Value ($'000s),,
Call Options,"343,095","26,888","4,546","7,179","37,586",,
Put Options,"47,817","17,490","3,814","6,410","7,701",,
TOTAL,"390,912","44,378","8,360","13,589","45,287",,
MOVEMENTS:,,
Call Options,,
Up,639,366,222,226,396,,
Down,477,367,129,138,71,,
Steady,46,36,29,29,17,,
TOTAL,"1,162",769,380,393,484,,
Put Options,,
Up,315,296,61,84,19,,
Down,623,436,280,286,415,,
Steady,35,29,14,33,16,,
TOTAL,973,761,355,403,450,,
,
