National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-10-01T23:15:14+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Sep 26,Sep 27,Sep 28,Sep 29,Sep 30,,
Volume ('000s),,
Industrials,"1,025,661","1,192,979","1,182,637","933,514","1,274,492",,
Mining,"1,557,963","1,224,851","1,082,335","858,360","823,306",,
TOTAL,"2,583,624","2,417,830","2,264,972","1,791,874","2,097,798",,
Value ($'000s),,
Industrials,"3,402,779","3,769,311","3,889,909","2,998,718","4,870,707",,
Mining,"2,365,238","2,285,765","2,201,376","1,813,230","2,962,146",,
TOTAL,"5,768,017","6,055,076","6,091,285","4,811,948","7,832,853",,
MOVEMENTS:,,
Industrials,,
Up,158,384,335,199,275,,
Down,400,150,167,324,211,,
Steady,143,170,170,142,160,,
TOTAL,701,704,672,665,646,,
Mining,,
Up,78,397,327,172,266,,
Down,608,139,214,352,199,,
Steady,164,186,215,191,216,,
TOTAL,850,722,756,715,681,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"727,377","421,633","503,278","1,447,460","474,148",,
Put Options,"523,623","438,503","461,260","617,354","233,882",,
TOTAL,"1,251,000","860,136","964,538","2,064,814","708,030",,
Value ($'000s),,
Call Options,"124,338","19,858","39,944","559,292","38,835",,
Put Options,"105,990","71,739","59,616","128,457","21,774",,
TOTAL,"230,328","91,597","99,560","687,749","60,609",,
MOVEMENTS:,,
Call Options,,
Up,210,560,542,217,279,,
Down,468,250,321,552,484,,
Steady,33,27,49,29,23,,
TOTAL,711,837,912,798,786,,
Put Options,,
Up,651,214,181,503,190,,
Down,209,551,634,343,376,,
Steady,16,9,13,23,25,,
TOTAL,876,774,828,869,591,,
,
