National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-07-16T23:15:11+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jul 11,Jul 12,Jul 13,Jul 14,Jul 15,,
Volume ('000s),,
Industrials,"977,073","1,688,956","1,118,606","1,318,057","1,012,581",,
Mining,"1,248,138","1,261,472","1,020,578","1,135,694","913,267",,
TOTAL,"2,225,211","2,950,428","2,139,184","2,453,751","1,925,848",,
Value ($'000s),,
Industrials,"2,569,427","3,608,255","3,205,912","3,360,269","3,210,669",,
Mining,"1,430,328","2,410,688","2,159,295","1,806,306","1,888,429",,
TOTAL,"3,999,755","6,018,943","5,365,207","5,166,575","5,099,098",,
MOVEMENTS:,,
Industrials,,
Up,199,115,286,186,195,,
Down,362,452,249,338,329,,
Steady,177,158,186,193,182,,
TOTAL,738,725,721,717,706,,
Mining,,
Up,217,135,322,320,236,,
Down,386,487,239,247,320,,
Steady,192,183,218,223,207,,
TOTAL,795,805,779,790,763,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"218,643","298,109","248,738","333,520","261,653",,
Put Options,"200,364","403,263","291,808","416,499","305,795",,
TOTAL,"419,007","701,372","540,546","750,019","567,448",,
Value ($'000s),,
Call Options,"15,768","12,893","11,151","12,678","14,650",,
Put Options,"10,019","31,235","22,299","30,335","25,043",,
TOTAL,"25,787","44,128","33,450","43,013","39,693",,
MOVEMENTS:,,
Call Options,,
Up,59,24,195,128,146,,
Down,452,550,307,422,412,,
Steady,8,8,33,26,26,,
TOTAL,519,582,535,576,584,,
Put Options,,
Up,375,615,378,514,426,,
Down,119,91,239,133,194,,
Steady,12,17,26,18,25,,
TOTAL,506,723,643,665,645,,
,
