National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-03-01T23:15:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Feb 24,Feb 25,Feb 26,Feb 27,Feb 28,,
Volume ('000s),,
Industrials,"987,082","891,174","892,155","901,083","1,020,220",,
Mining,"787,943","915,688","977,219","855,760","866,356",,
TOTAL,"1,775,025","1,806,862","1,869,374","1,756,843","1,886,576",,
Value ($'000s),,
Industrials,"3,772,889","3,290,541","3,645,878","3,034,727","5,413,492",,
Mining,"1,361,693","1,136,831","1,263,042","1,050,896","2,568,414",,
TOTAL,"5,134,582","4,427,372","4,908,920","4,085,623","7,981,906",,
MOVEMENTS:,,
Industrials,,
Up,363,325,305,253,307,,
Down,260,307,317,346,287,,
Steady,156,164,161,167,176,,
TOTAL,779,796,783,766,770,,
Mining,,
Up,208,207,206,158,191,,
Down,203,209,218,234,205,,
Steady,213,219,206,214,215,,
TOTAL,624,635,630,606,611,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"359,271","351,769","444,624","585,064","334,029",,
Put Options,"288,955","228,828","304,631","423,561","316,700",,
TOTAL,"648,226","580,597","749,255","1,008,625","650,729",,
Value ($'000s),,
Call Options,"60,936","147,404","55,975","113,201","45,103",,
Put Options,"16,247","14,137","17,071","34,038","11,335",,
TOTAL,"77,183","161,541","73,046","147,239","56,438",,
MOVEMENTS:,,
Call Options,,
Up,420,349,393,294,213,,
Down,221,311,298,585,425,,
Steady,19,25,28,16,25,,
TOTAL,660,685,719,895,663,,
Put Options,,
Up,99,153,188,360,187,,
Down,459,445,419,379,376,,
Steady,23,39,21,45,43,,
TOTAL,581,637,628,784,606,,
,
