National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-12-26T23:15:04+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Dec 18,Dec 21,Dec 22,Dec 23,Dec 24,,
Volume ('000s),,
Industrials,"1,142,073","739,424","656,988","595,603","327,713",,
Mining,"1,178,902","798,426","696,068","746,403","592,561",,
TOTAL,"2,320,975","1,537,850","1,353,056","1,342,006","920,274",,
Value ($'000s),,
Industrials,"6,616,557","2,796,805","2,874,060","2,418,589","1,414,515",,
Mining,"1,761,957","534,517","498,084","529,215","437,061",,
TOTAL,"8,378,514","3,331,322","3,372,144","2,947,804","1,851,576",,
MOVEMENTS:,,
Industrials,,
Up,362,332,418,455,465,,
Down,332,415,293,251,215,,
Steady,194,164,196,198,161,,
TOTAL,888,911,907,904,841,,
Mining,,
Up,123,135,161,176,157,,
Down,191,188,159,131,115,,
Steady,166,150,174,183,148,,
TOTAL,480,473,494,490,420,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"235,399","159,558","91,892","150,895","121,669",,
Put Options,"106,142","76,414","54,887","72,192","57,081",,
TOTAL,"341,541","235,972","146,779","223,087","178,750",,
Value ($'000s),,
Call Options,"73,534","29,894","4,073","39,707","6,481",,
Put Options,"6,624","7,916","3,553","5,080","3,853",,
TOTAL,"80,158","37,810","7,626","44,787","10,334",,
MOVEMENTS:,,
Call Options,,
Up,149,165,180,245,346,,
Down,312,217,181,127,92,,
Steady,23,22,25,22,14,,
TOTAL,484,404,386,394,452,,
Put Options,,
Up,211,86,47,23,15,,
Down,170,211,185,245,252,,
Steady,11,16,8,3,4,,
TOTAL,392,313,240,271,271,,
,
