National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-09-26T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Sep 21,Sep 22,Sep 23,Sep 24,Sep 25,,
Volume ('000s),,
Industrials,"699,296","650,628","776,550","793,184","993,508",,
Mining,"721,334","696,236","817,173","746,616","880,094",,
TOTAL,"1,420,630","1,346,864","1,593,723","1,539,800","1,873,602",,
Value ($'000s),,
Industrials,"3,398,319","2,941,334","4,059,251","3,838,575","4,490,166",,
Mining,"655,526","643,392","827,020","803,338","1,317,491",,
TOTAL,"4,053,845","3,584,726","4,886,271","4,641,913","5,807,657",,
MOVEMENTS:,,
Industrials,,
Up,212,440,207,444,328,,
Down,490,250,474,227,349,,
Steady,151,150,161,163,165,,
TOTAL,853,840,842,834,842,,
Mining,,
Up,130,151,116,156,197,,
Down,188,158,177,142,125,,
Steady,181,185,184,163,182,,
TOTAL,499,494,477,461,504,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"201,348","1,508,870","366,256","402,897","224,270",,
Put Options,"184,259","230,925","430,762","510,558","242,571",,
TOTAL,"385,607","1,739,795","797,018","913,455","466,841",,
Value ($'000s),,
Call Options,"13,962","1,266,133","232,785","36,339","18,345",,
Put Options,"26,988","41,382","74,097","158,748","11,684",,
TOTAL,"40,950","1,307,515","306,882","195,087","30,029",,
MOVEMENTS:,,
Call Options,,
Up,51,179,67,228,206,,
Down,365,289,467,390,337,,
Steady,6,28,14,24,19,,
TOTAL,422,496,548,642,562,,
Put Options,,
Up,409,163,569,350,163,,
Down,171,291,168,407,198,,
Steady,5,7,8,16,18,,
TOTAL,585,461,745,773,379,,
,
