National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-07-23T23:15:12+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jul 18,Jul 19,Jul 20,Jul 21,Jul 22,,
Volume ('000s),,
Industrials,"843,893","836,728","1,058,235","878,826","1,049,884",,
Mining,"1,295,651","1,355,335","1,565,551","1,391,426","1,326,649",,
TOTAL,"2,139,544","2,192,063","2,623,786","2,270,252","2,376,533",,
Value ($'000s),,
Industrials,"2,238,580","2,899,229","3,280,975","2,969,582","3,457,146",,
Mining,"1,656,665","1,666,198","1,908,773","1,767,164","1,897,588",,
TOTAL,"3,895,245","4,565,427","5,189,748","4,736,746","5,354,734",,
MOVEMENTS:,,
Industrials,,
Up,256,215,414,275,407,,
Down,304,323,150,252,155,,
Steady,170,186,163,189,150,,
TOTAL,730,724,727,716,712,,
Mining,,
Up,299,286,426,343,407,,
Down,282,277,195,246,206,,
Steady,214,228,203,212,202,,
TOTAL,795,791,824,801,815,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"229,646","275,640","349,933","377,152","323,679",,
Put Options,"234,771","262,549","291,920","299,694","332,383",,
TOTAL,"464,417","538,189","641,853","676,846","656,062",,
Value ($'000s),,
Call Options,"19,666","19,019","24,141","22,427","22,479",,
Put Options,"19,450","22,507","19,476","26,341","14,290",,
TOTAL,"39,116","41,526","43,617","48,768","36,769",,
MOVEMENTS:,,
Call Options,,
Up,135,212,461,343,397,,
Down,438,357,151,192,220,,
Steady,39,32,20,39,20,,
TOTAL,612,601,632,574,637,,
Put Options,,
Up,339,236,97,68,112,,
Down,275,321,527,440,413,,
Steady,26,24,6,14,14,,
TOTAL,640,581,630,522,539,,
,
