National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-05-28T23:15:08+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,May 23,May 24,May 25,May 26,May 27,,
Volume ('000s),,
Industrials,"979,729","1,197,212","1,391,925","1,242,987","1,108,724",,
Mining,"1,421,634","1,040,949","1,189,486","1,181,657","967,971",,
TOTAL,"2,401,363","2,238,161","2,581,411","2,424,644","2,076,695",,
Value ($'000s),,
Industrials,"3,167,637","3,584,865","3,990,430","4,672,083","3,488,125",,
Mining,"1,728,973","1,926,020","1,825,499","2,148,902","2,451,089",,
TOTAL,"4,896,610","5,510,885","5,815,929","6,820,985","5,939,214",,
MOVEMENTS:,,
Industrials,,
Up,153,202,182,326,355,,
Down,411,357,401,227,206,,
Steady,186,196,170,190,181,,
TOTAL,750,755,753,743,742,,
Mining,,
Up,155,197,206,363,335,,
Down,478,396,397,208,254,,
Steady,208,256,246,249,233,,
TOTAL,841,849,849,820,822,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"362,377","346,723","376,892","591,549","372,620",,
Put Options,"537,839","614,651","622,868","651,247","263,838",,
TOTAL,"900,216","961,374","999,760","1,242,796","636,458",,
Value ($'000s),,
Call Options,"40,801","43,503","70,873","48,527","17,928",,
Put Options,"37,212","47,513","56,197","43,195","15,032",,
TOTAL,"78,013","91,016","127,070","91,722","32,960",,
MOVEMENTS:,,
Call Options,,
Up,25,41,52,348,327,,
Down,490,543,519,335,255,,
Steady,3,18,24,29,46,,
TOTAL,518,602,595,712,628,,
Put Options,,
Up,513,538,603,175,71,,
Down,92,162,154,552,438,,
Steady,21,29,28,13,13,,
TOTAL,626,729,785,740,522,,
,
