National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-07-09T23:15:11+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jul  4,Jul  5,Jul  6,Jul  7,Jul  8,,
Volume ('000s),,
Industrials,"978,161","890,242","941,829","883,915","1,022,122",,
Mining,"1,181,199","1,026,450","948,555","931,257","1,214,345",,
TOTAL,"2,159,360","1,916,692","1,890,384","1,815,172","2,236,467",,
Value ($'000s),,
Industrials,"2,540,393","2,801,795","2,957,929","2,792,203","2,928,345",,
Mining,"1,375,013","1,360,552","1,605,208","1,312,549","1,544,486",,
TOTAL,"3,915,406","4,162,347","4,563,137","4,104,752","4,472,831",,
MOVEMENTS:,,
Industrials,,
Up,367,270,289,276,395,,
Down,183,287,244,245,170,,
Steady,162,165,181,185,156,,
TOTAL,712,722,714,706,721,,
Mining,,
Up,391,287,347,345,413,,
Down,201,268,226,237,204,,
Steady,208,217,193,210,210,,
TOTAL,800,772,766,792,827,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"333,376","173,714","301,565","246,634","293,461",,
Put Options,"234,105","216,201","240,727","285,549","218,913",,
TOTAL,"567,481","389,915","542,292","532,183","512,374",,
Value ($'000s),,
Call Options,"21,640","11,580","18,009","8,686","9,430",,
Put Options,"10,344","12,479","14,237","8,886","7,123",,
TOTAL,"31,984","24,059","32,246","17,572","16,553",,
MOVEMENTS:,,
Call Options,,
Up,390,156,218,182,446,,
Down,188,300,268,287,118,,
Steady,30,31,34,44,36,,
TOTAL,608,487,520,513,600,,
Put Options,,
Up,44,172,173,145,37,,
Down,477,298,313,300,496,,
Steady,13,26,25,33,10,,
TOTAL,534,496,511,478,543,,
,
