National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-09-22T23:15:07+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Sep 17,Sep 18,Sep 19,Sep 20,Sep 21,,
Volume ('000s),,
Industrials,"658,884","724,447","1,035,354","1,087,599","992,667",,
Mining,"1,056,166","930,176","1,107,682","1,041,346","1,380,587",,
TOTAL,"1,715,050","1,654,623","2,143,036","2,128,945","2,373,254",,
Value ($'000s),,
Industrials,"2,608,003","2,550,050","4,071,457","4,791,294","3,423,607",,
Mining,"1,452,439","1,444,129","1,674,476","1,764,196","1,392,971",,
TOTAL,"4,060,442","3,994,179","5,745,933","6,555,490","4,816,578",,
MOVEMENTS:,,
Industrials,,
Up,247,238,274,227,266,,
Down,273,258,209,260,228,,
Steady,167,157,164,168,161,,
TOTAL,687,653,647,655,655,,
Mining,,
Up,269,228,285,225,273,,
Down,243,264,212,288,223,,
Steady,186,215,219,211,200,,
TOTAL,698,707,716,724,696,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"281,871","290,443","330,288","346,689","489,114",,
Put Options,"200,069","230,716","205,460","222,708","200,954",,
TOTAL,"481,940","521,159","535,748","569,397","690,068",,
Value ($'000s),,
Call Options,"42,431","152,771","62,555","105,104","139,736",,
Put Options,"10,028","9,781","11,914","10,348","13,662",,
TOTAL,"52,459","162,552","74,469","115,452","153,398",,
MOVEMENTS:,,
Call Options,,
Up,491,197,375,203,202,,
Down,169,350,221,371,289,,
Steady,28,35,24,28,36,,
TOTAL,688,582,620,602,527,,
Put Options,,
Up,86,178,62,202,124,,
Down,484,265,424,345,370,,
Steady,10,27,23,37,29,,
TOTAL,580,470,509,584,523,,
,
