National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-08-25T23:15:08+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Aug 20,Aug 21,Aug 22,Aug 23,Aug 24,,
Volume ('000s),,
Industrials,"846,265","827,660","717,170","795,354","676,339",,
Mining,"983,075","1,243,321","949,834","1,056,514","1,052,948",,
TOTAL,"1,829,340","2,070,981","1,667,004","1,851,868","1,729,287",,
Value ($'000s),,
Industrials,"4,656,510","3,305,623","2,912,735","2,888,029","2,526,683",,
Mining,"807,391","1,025,060","1,141,969","1,333,738","1,400,638",,
TOTAL,"5,463,901","4,330,683","4,054,704","4,221,767","3,927,321",,
MOVEMENTS:,,
Industrials,,
Up,337,298,235,260,193,,
Down,186,205,255,240,290,,
Steady,142,166,154,149,158,,
TOTAL,665,669,644,649,641,,
Mining,,
Up,262,243,228,307,218,,
Down,226,251,245,205,273,,
Steady,201,184,196,178,196,,
TOTAL,689,678,669,690,687,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"419,640","380,921","307,449","337,143","253,077",,
Put Options,"291,477","295,119","283,769","286,033","251,278",,
TOTAL,"711,117","676,040","591,218","623,176","504,355",,
Value ($'000s),,
Call Options,"46,632","66,818","150,522","27,483","16,442",,
Put Options,"12,024","14,370","13,648","12,883","15,258",,
TOTAL,"58,656","81,188","164,170","40,366","31,700",,
MOVEMENTS:,,
Call Options,,
Up,492,506,329,462,228,,
Down,213,151,311,199,405,,
Steady,26,37,19,31,9,,
TOTAL,731,694,659,692,642,,
Put Options,,
Up,123,107,212,133,386,,
Down,457,478,368,413,221,,
Steady,18,21,31,30,19,,
TOTAL,598,606,611,576,626,,
,
