National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-10-13T23:15:07+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Oct  8,Oct  9,Oct 10,Oct 11,Oct 12,,
Volume ('000s),,
Industrials,"712,023","652,605","639,178","567,023","575,148",,
Mining,"814,841","862,295","948,102","1,060,958","917,834",,
TOTAL,"1,526,864","1,514,900","1,587,280","1,627,981","1,492,982",,
Value ($'000s),,
Industrials,"2,463,369","2,137,231","2,349,974","2,275,339","2,077,833",,
Mining,"748,164","983,352","1,153,536","926,356","829,969",,
TOTAL,"3,211,533","3,120,583","3,503,510","3,201,695","2,907,802",,
MOVEMENTS:,,
Industrials,,
Up,242,302,201,229,283,,
Down,256,222,306,302,211,,
Steady,151,149,179,152,161,,
TOTAL,649,673,686,683,655,,
Mining,,
Up,206,250,212,193,270,,
Down,264,236,291,302,209,,
Steady,215,207,188,205,214,,
TOTAL,685,693,691,700,693,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"189,602","290,640","228,802","190,884","203,552",,
Put Options,"188,084","273,768","240,270","170,988","147,948",,
TOTAL,"377,686","564,408","469,072","361,872","351,500",,
Value ($'000s),,
Call Options,"19,423","82,793","34,979","35,058","23,026",,
Put Options,"7,699","10,957","7,597","8,703","7,444",,
TOTAL,"27,122","93,750","42,576","43,761","30,470",,
MOVEMENTS:,,
Call Options,,
Up,288,435,193,178,250,,
Down,259,150,302,263,182,,
Steady,27,36,24,25,24,,
TOTAL,574,621,519,466,456,,
Put Options,,
Up,139,59,245,224,112,,
Down,330,452,256,255,313,,
Steady,29,20,22,33,34,,
TOTAL,498,531,523,512,459,,
,
